"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
311,"41Q0HrwWBtuUkJc7C1Rp6K","76gD6khgQBEqRwCABL5Dod",2023,0.759,0.605,-14.008,0.153,0.00107,0.00892,0.0693,0.763,175.657,"27NHHWbBf1olJC4t8EKezI",4,58122,"Raga Drop (feat. Daddy Freddy)","Music (30th Anniversary Expanded Edition)","C# major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","76gD6khgQBEqRwCABL5Dod",2023,0.661,0.89,-8.949,0.0568,0.00196,0.000805,0.139,0.523,117.565,"6X3Qu7ALEECQaFMLSCZN6T",4,225267,"Fuck The Bullshit","Music (30th Anniversary Expanded Edition)","E minor"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.5,0.868,-5.675,0.0578,6.81e-05,0.795,0.364,0.407,170.154,"2hDRzIOSh1sSfD4TsW00YI",4,158306,"Crossfire (Instrumental)","Voyager (Instrumentals)","G major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.398,0.697,-7.409,0.0436,0.00058,0.744,0.108,0.0614,135.064,"4jf4CU78fVfLTqX5NOzONj",4,216752,"Don't You Worry (Instrumental)","Voyager (Instrumentals)","C major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.649,0.827,-8.831,0.0326,0.00234,0.81,0.0957,0.399,128.019,"5zP3psaqDkWl3ri0th8Ndq",4,228666,"Stainless (Instrumental)","Voyager (Instrumentals)","F# minor"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.589,0.926,-7.568,0.0449,0.013,0.578,0.0863,0.795,92.036,"3xjhKhLkmWqMLVtTy6v5jW",4,211945,"Space and Time (Instrumental)","Voyager (Instrumentals)","F major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.438,0.882,-7.823,0.0472,2.72e-06,0.751,0.27,0.342,137.016,"394NGAx4mJnBqr58PHr7Bf",4,194517,"Dream State (Instrumental)","Voyager (Instrumentals)","F major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.604,0.795,-8.439,0.037,8.54e-05,0.787,0.0824,0.297,99.994,"1kA2NOq7wbIVLcjaqUmlD8",4,203750,"Good Feeling (Instrumental)","Voyager (Instrumentals)","D major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.585,0.906,-7.45,0.0451,0.000239,0.867,0.0646,0.81,91.997,"3ZeCUE2AqoZWnZg4FvkC0S",4,212633,"What The?! (Instrumental)","Voyager (Instrumentals)","E major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.311,0.789,-7.021,0.0367,4.11e-05,0.82,0.243,0.149,200.057,"0mmi4L2MnmQp5MAVyWUxbj",4,204323,"Better Space (Instrumental)","Voyager (Instrumentals)","D major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.644,0.649,-10.297,0.0691,0.0133,0.921,0.377,0.46,75.02,"0dmBPXlnSAvDzyo9qr8HS9",4,209601,"Dodging Raindrops (Instrumental)","Voyager (Instrumentals)","D major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.444,0.727,-8.588,0.0353,3.29e-05,0.867,0.0772,0.811,179.383,"1yY4JrdkRX2JSVl3kImvbO",4,174355,"Rolling Through (Instrumental)","Voyager (Instrumentals)","A major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.663,0.844,-6.953,0.0461,0.000252,0.89,0.0897,0.916,108.035,"7rODbe5s1dN8NORCtLUa3W",4,209474,"Born To Live (Instrumental)","Voyager (Instrumentals)","B major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.266,0.889,-8.186,0.0343,5.82e-05,0.932,0.314,0.793,166.328,"5XEzJR3bDeuvuXqdfYXFyf",4,191066,"Charge It Up (Instrumental)","Voyager (Instrumentals)","A major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","3hme4CuibzzBoxnzkLC6cZ",2019,0.629,0.586,-11.281,0.0486,0.00532,0.682,0.092,0.407,169.019,"3MmADrzq42KGnmkKrf6VDg",4,229351,"Lucid Dreams (Instrumental)","Voyager (Instrumentals)","A# major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","5PdXV8lvbR9xLOPYTdrDEG",2019,0.455,0.972,-3.303,0.152,0.00171,8.89e-06,0.405,0.257,170.151,"35av3FylJNkRgmnoTuZqGU",4,158386,"Crossfire","Voyager","G major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","5PdXV8lvbR9xLOPYTdrDEG",2019,0.322,0.789,-6.788,0.0546,0.00195,1.39e-05,0.105,0.123,137.017,"0YleAlDtwk9L5iXHn4DZxF",4,217672,"Don't You Worry","Voyager","C major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","5PdXV8lvbR9xLOPYTdrDEG",2019,0.646,0.855,-6.572,0.0479,0.0239,9.51e-06,0.0616,0.526,127.985,"5wKMO17jgtlSQAClxNfB9r",4,230320,"Stainless","Voyager","F# minor"
311,"41Q0HrwWBtuUkJc7C1Rp6K","5PdXV8lvbR9xLOPYTdrDEG",2019,0.479,0.917,-6.632,0.104,0.103,0,0.056,0.852,184.04,"6PMNeFrjxWip9trxYR4EXQ",4,214480,"Space and Time","Voyager","F major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","5PdXV8lvbR9xLOPYTdrDEG",2019,0.447,0.88,-6.257,0.058,0.000252,0,0.306,0.346,136.992,"6JmuHgApTj0BXXU4yqLWCA",4,195333,"Dream State","Voyager","F major"
311,"41Q0HrwWBtuUkJc7C1Rp6K","5PdXV8lvbR9xLOPYTdrDEG",2019,0.687,0.898,-3.926,0.0464,0.00127,0.000444,0.0743,0.436,100.014,"6ZXODzDislboN4mffec8NM",4,203912,"Good Feeling","Voyager","E minor"
311,"41Q0HrwWBtuUkJc7C1Rp6K","5PdXV8lvbR9xLOPYTdrDEG",2019,0.632,0.918,-6.085,0.0622,0.00187,2.02e-05,0.0458,0.846,92.006,"6sKTl051atmx0Gtf4TQIz0",4,214666,"What The?!","Voyager","E major"
