"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.521,0.365,-10.914,0.0317,0.626,0.012,0.185,0.324,143.789,"1zx6GSqLYI2ynzAHnPRKBR",4,265798,"There’d Better Be A Mirrorball","The Car","D# major"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.544,0.337,-9.846,0.0653,0.357,6.34e-05,0.085,0.667,192.685,"1UwUhKmFxGKs59xiWO60Sx",4,191173,"I Ain’t Quite Where I Think I Am","The Car","A# major"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.591,0.309,-11.087,0.0287,0.704,0.0122,0.102,0.257,71.573,"5hljqZrl0h7RcIhUnOPuve",4,239151,"Sculptures Of Anything Goes","The Car","E minor"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.651,0.244,-11.925,0.0544,0.856,0.00165,0.0895,0.395,149.759,"2HReNSxrMRcJ0cYMzKAJK6",3,197576,"Jet Skis On The Moat","The Car","G major"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.556,0.315,-11.651,0.0625,0.568,0,0.0774,0.256,143.327,"42GuKw49pPxNAkIhWGwgFs",4,290584,"Body Paint","The Car","G minor"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.428,0.365,-11.889,0.0276,0.78,0.0033,0.113,0.236,94.033,"0C6dSPCqwKqwos6s1CrDrh",3,198554,"The Car","The Car","E minor"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.548,0.328,-9.973,0.0296,0.663,0.00365,0.0972,0.343,67.023,"4KPi4VNvPOfKqIp1sx19Xf",3,237984,"Big Ideas","The Car","A minor"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.394,0.452,-9.923,0.0321,0.276,0.00998,0.193,0.653,169.298,"5ygEUpyZy5qtZ1423zymBW",4,244932,"Hello You","The Car","E minor"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.569,0.335,-13.637,0.0322,0.802,0.018,0.0834,0.388,127.587,"5fClRRa7P9nPIpstj50veV",4,210012,"Mr Schwartz","The Car","B minor"
"Arctic Monkeys","7Ln80lUS6He07XvHI8qqHH","2GROf0WKoP5Er2M9RXVNNs",2022,0.52,0.478,-10.862,0.0276,0.61,0.00122,0.105,0.545,82.932,"0z5x3VmmQ7cyTeOP7VAf3T",4,167379,"Perfect Sense","The Car","E major"
