"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5Csjy4XeA7KnizkhIvI7y2",2024,0.575,0.725,8,-6.144,1,0.119,0.053,0,0.12,0.51,76.548,"3iJOkxYP59kFJ5OLgHo4Tp",4,163381,"supernatural (with Troye Sivan)","eternal sunshine (slightly deluxe)","G# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.501,0.373,10,-9.488,1,0.0493,0.671,0,0.177,0.38,84.682,"2o1pb13quMReXZqE7jWsgq",4,92400,"intro (end of the world)","eternal sunshine","A# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.638,0.647,2,-4.834,0,0.028,0.217,0,0.156,0.51,110.003,"1Rweq7vNjK4kZBbGrmxQsl",4,164927,"bye","eternal sunshine","D minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.41,0.726,9,-5.204,0,0.33,0.456,0,0.11,0.556,193.956,"0o3ua5ufFK7nfRzbDUNoGA",4,174006,"don't wanna break up again","eternal sunshine","A minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.513,0.366,9,-13.363,1,0.117,0.892,0.000255,0.148,0.938,124.44,"13jRSCLoWbCoU1XEdJRbgn",5,42166,"Saturn Returns Interlude","eternal sunshine","A major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.658,0.505,9,-6.947,1,0.105,0.537,0,0.113,0.331,159.947,"3RwWW7KeVhHGayYJgUL5eZ",4,210200,"eternal sunshine","eternal sunshine","A major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.57,0.729,8,-6.839,1,0.104,0.0971,0,0.128,0.519,76.56,"142PiXzA84lmEw2RstFHFa",4,163381,"supernatural","eternal sunshine","G# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.725,0.526,9,-6.179,0,0.0629,0.478,1.63e-05,0.312,0.377,137.962,"14kyXBpg91RVq8bNRDS1q2",4,163278,"true story","eternal sunshine","A minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.796,0.623,7,-5.819,0,0.0522,0.149,0,0.0746,0.443,98.003,"0Lmbke3KNVFXtoH2mMSHCw",4,173639,"the boy is mine","eternal sunshine","G minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.785,0.766,1,-6.551,1,0.0503,0.194,7.57e-05,0.107,0.804,119.029,"5D34wRmbFS29AjtTOP2QJe",4,214994,"yes, and?","eternal sunshine","C# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.645,0.663,5,-8.305,1,0.0447,0.0657,3.18e-05,0.0751,0.287,115.83,"51ZQ1vr10ffzbwIjDCwqm4",4,228639,"we can't be friends (wait for your love)","eternal sunshine","F major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.577,0.246,7,-9.169,1,0.0334,0.855,0,0.105,0.296,65.418,"5cQX9BexkPIEESTZijJhXg",4,153633,"i wish i hated you","eternal sunshine","G major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.635,0.389,4,-7.413,1,0.0333,0.505,0,0.433,0.24,150.116,"6XXKB32Om6WuXg3uEWwTob",3,182566,"imperfect for you","eternal sunshine","E major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","5EYKrEDnKhhcNxGedaRQeK",2024,0.7,0.544,6,-8.243,1,0.0729,0.713,0,0.319,0.29,114.971,"4mHM5d2fK3n8xgymjf92w2",4,168500,"ordinary things (feat. Nonna)","eternal sunshine","F# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","2VSBGJ8bUuNgmOYXHIQagM",2023,0.652,0.836,0,-3.3,1,0.101,0.138,0,0.112,0.593,77.974,"5aKqhRdBmC5Qp2c3oek9ft",4,247081,"Right There (feat. Big Sean)","Yours Truly (Tenth Anniversary Edition)","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","2VSBGJ8bUuNgmOYXHIQagM",2023,0.654,0.872,5,-3.263,0,0.141,0.295,0,0.0955,0.867,82.667,"1Onx2O64wzyA7ZzOsBBqBJ",4,227033,"The Way (feat. Mac Miller)","Yours Truly (Tenth Anniversary Edition)","F minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","2VSBGJ8bUuNgmOYXHIQagM",2023,0.414,0.336,2,-7.491,1,0.0364,0.828,0,0.0728,0.331,121.64,"1YGd0ZaBGQjOdApv3fpnow",3,327775,"Almost Is Never Enough (with Nathan Sykes)","Yours Truly (Tenth Anniversary Edition)","D major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","2VSBGJ8bUuNgmOYXHIQagM",2023,0.666,0.803,8,-4.649,1,0.0496,0.133,0,0.0607,0.769,99.012,"4AzzUUIBICXrr5OYfs2u2C",4,200201,"Popular Song (MIKA & Ariana Grande)","Yours Truly (Tenth Anniversary Edition)","G# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","74vajFwEwXJ61OW1DKSPEa",2021,0.698,0.708,9,-4.943,0,0.0454,0.0251,0,0.124,0.322,115.036,"3eZYOQO4UzKrUDYDghtnFw",4,122174,"test drive","Positions (Deluxe)","A minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","74vajFwEwXJ61OW1DKSPEa",2021,0.726,0.667,5,-5.956,0,0.0617,0.37,0,0.118,0.434,100.053,"6KIKaWKE9wV6mLjho3w61y",4,124281,"worst behavior","Positions (Deluxe)","F minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","74vajFwEwXJ61OW1DKSPEa",2021,0.734,0.475,9,-7.77,1,0.0403,0.317,1.41e-06,0.113,0.217,134.119,"63WsFFnQ8CL941iZBELYsX",4,129080,"main thing","Positions (Deluxe)","A major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.499,0.462,0,-5.308,1,0.0312,0.801,0,0.0946,0.599,127.698,"3ko9jEHNt4O5fjKN65ULJp",4,157710,"shut up","Positions","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,"6Im9k8u9iIzKMrmV7BWtlF",4,173710,"34+35","Positions","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.789,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.661,116.965,"5GkQIP5mWPi4KZLLXeuFTT",4,167989,"motive (with Doja Cat)","Positions","A# minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.719,0.607,8,-5.156,1,0.165,0.08,0,0.125,0.464,128.006,"7Dx9Z6Aon1qPS2N0rHSWTe",4,149900,"just like magic","Positions","G# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.411,0.522,0,-7.295,1,0.0981,0.519,0,0.398,0.382,88.332,"7E1jVNoWuemqUryI4FxsVD",1,239949,"off the table (with The Weeknd)","Positions","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.739,0.516,0,-7.154,1,0.0539,0.67,0,0.151,0.434,120.109,"2IKJtXeR5UsaUjZB46fTOK",4,183874,"six thirty","Positions","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.552,0.599,1,-5.75,0,0.0404,0.0703,0,0.0986,0.0916,161.884,"14gkWVFMwdxBMyqBw1wmIg",4,208457,"safety net (feat. Ty Dolla $ign)","Positions","C# minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.686,0.526,0,-6.842,1,0.0374,0.0815,7.75e-06,0.144,0.372,92.013,"6u7gmPOz7pzzaeR9xSBpsR",4,158436,"my hair","Positions","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.772,0.506,6,-6.558,0,0.139,0.0814,1.1e-05,0.182,0.456,127.894,"0sci7ppTZFm4mjcH3nu8yO",4,200732,"nasty","Positions","F# minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.688,0.455,11,-8.632,0,0.199,0.186,0,0.0794,0.557,87.865,"1whfVLMKWqAX3uk97VXsNN",4,132278,"west side","Positions","B minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.688,0.573,10,-5.03,0,0.208,0.0686,0,0.0749,0.553,110.034,"6NYtLvyThMT0oALFdJFdzq",4,179860,"love language","Positions","A# minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,"35mvY5S1H3J2QZyna3TFe0",4,172324,"positions","Positions","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.624,0.672,0,-5.334,1,0.106,0.0967,0,0.155,0.26,159.852,"0q85C1JiECyYIQthz1posA",4,146958,"obvious","Positions","C major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","3euz4vS7ezKGnNSwgyvKcd",2020,0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.173,131.798,"3UoULw70kMsiVXxW0L3A33",4,201882,"pov","Positions","C minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","2fYhqwDWXjbpjaIJPEfKFw",2019,0.729,0.475,8,-4.985,1,0.0364,0.378,0,0.12,0.371,62.52,"39LmTF9RgyakzSYX8txrow",3,212266,"imagine","thank u, next","G# major"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","2fYhqwDWXjbpjaIJPEfKFw",2019,0.647,0.309,7,-7.948,0,0.0366,0.78,7.41e-06,0.202,0.195,87.045,"1TEL6MlSSVLSdhOSddidlJ",4,171573,"needy","thank u, next","G minor"
"Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","2fYhqwDWXjbpjaIJPEfKFw",2019,0.747,0.458,6,-6.891,1,0.303,0.451,0,0.252,0.47,75.029,"4uTvPEr01pjTbZgl7jcKBD",4,182000,"NASA","thank u, next","F# major"
