"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","48vcoqHqexZKTSU6QyMCDa",2023,0.484,0.214,1,-14.192,1,0.0338,0.916,1.08e-06,0.149,0.388,83.747,"2CHZO7PrvAbpJFrmv8wyeh",4,256706,"It Might As Well Be Spring","Great Women Of Song: Astrud Gilberto","C# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.675,0.177,5,-21.918,1,0.07,0.685,0.092,0.131,0.682,154.092,"0zmPr9JDlpxg0hU3deOqE2",4,370133,"Samba De Uma Nota So","The Girl From Ipanema","F major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.578,0.364,2,-15.162,1,0.0442,0.684,0.0558,0.105,0.723,78.078,"26fyQAToQyLUZ7gYJWbH59",4,216226,"Só Danço Samba","The Girl From Ipanema","D major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.643,0.217,9,-21.338,0,0.0581,0.819,0.119,0.12,0.684,142.711,"5fQ6TTZHqBP15TTMCMd6xZ",4,287973,"Samba Triste","The Girl From Ipanema","A minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.601,0.174,3,-15.292,1,0.0383,0.962,0.011,0.0945,0.451,132.277,"5VgUgmNRZVto8yZqJrB2L7",4,305000,"Para Machuchar Meu Coracao","The Girl From Ipanema","D# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.515,0.274,3,-12.655,1,0.0364,0.898,1.25e-05,0.131,0.512,145.255,"4sbTywzh42f713XUpyNON9",4,253280,"Desafinado","The Girl From Ipanema","D# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.608,0.362,11,-20.157,0,0.0408,0.863,0.64,0.187,0.866,91.488,"6oXV43Qmyb6A0IobCZVFdF",4,149080,"O Pato","The Girl From Ipanema","B minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.644,0.289,4,-16.798,1,0.038,0.946,0.159,0.366,0.673,90.633,"1W8WNClldNUBGHU7rdhdgm",4,219093,"Saudade Vem Correndo","The Girl From Ipanema","E major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.545,0.368,1,-12.276,1,0.0343,0.846,0.53,0.112,0.534,139.896,"0dj4MNVgTdePZxsLJTZ5zl",4,128466,"Sambalero","The Girl From Ipanema","C# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.517,0.144,2,-16.974,0,0.0405,0.965,0.0645,0.158,0.297,130.197,"6sfNAMEhRdhjztrnOM3W54",4,325773,"O Grande Amor","The Girl From Ipanema","D minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.568,0.392,0,-14.917,1,0.0936,0.566,0.00279,0.167,0.776,88.232,"5V1wVJmAzKY8JpjwpHxtTk",4,350000,"Desafinado","The Girl From Ipanema","C major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.481,0.289,4,-14.265,0,0.0348,0.924,0.0105,0.116,0.452,170.365,"6FnakMNaYapxUG7b8QzXyx",4,251400,"Menina Flor","The Girl From Ipanema","E minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.536,0.178,0,-21.47,1,0.0472,0.502,0.167,0.142,0.398,150.663,"2W5NNwX6LsA6Q4546Od74O",4,402240,"Bahia","The Girl From Ipanema","C major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.661,0.234,2,-14.104,0,0.0347,0.941,0.283,0.105,0.364,127.896,"29w3qO2oKhTDppGzQVZgsg",4,203706,"Insensatez","The Girl From Ipanema","D minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.569,0.149,9,-18.943,0,0.0398,0.932,0.0414,0.1,0.367,106.486,"0aUQBH4CzOTeFE9UW6fzLC",4,321200,"Winter Moon","The Girl From Ipanema","A minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.471,0.346,7,-14.578,0,0.0309,0.77,0.0667,0.131,0.681,152.571,"6FF4oDDhU05yhHugsqd0Se",4,415640,"O Morro Nao Tem Vez","The Girl From Ipanema","G minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.619,0.417,7,-16.528,1,0.0395,0.827,0.913,0.159,0.746,121.13,"3HJvd2N3CaMK5gIMwR2aBU",4,212320,"Samba Dees Days","The Girl From Ipanema","G major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.614,0.455,4,-11.837,0,0.032,0.808,0.000501,0.0936,0.799,106.234,"2ouxFH1E8XWYkM4t65ityx",4,342866,"Menina Moca","The Girl From Ipanema","E minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.657,0.367,9,-13.369,0,0.0348,0.865,0.0246,0.35,0.767,94.252,"5E1pXzljUoWWzcs69AAhce",4,163200,"Mania De Maria","The Girl From Ipanema","A minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","6Vnj87xvFkNL0BoeO51Np0",2023,0.643,0.424,4,-18.297,0,0.0662,0.864,0.514,0.352,0.65,119.565,"37nhoUUwwyKozbamtXa1wh",4,220493,"E Luxo So","The Girl From Ipanema","E minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","4flYLJtlUS1RbSDLPcSd4h",2008,0.542,0.326,2,-10.241,0,0.0296,0.657,6.71e-05,0.148,0.568,129.475,"3l8LlHqqs6G0tBlo5iwPqI",4,132813,"Don't Go Breaking My Heart","Gold","D minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","4flYLJtlUS1RbSDLPcSd4h",2008,0.255,0.17,9,-13.704,0,0.0364,0.906,2.9e-05,0.113,0.19,75.929,"4AVDHRZArmsoFInGhMBIrD",3,162480,"Lilies By Monet","Gold","A minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","4tMIlEcQHTRdAOLqoNggsO",2001,0.346,0.249,9,-12.328,1,0.0283,0.55,0,0.111,0.334,98.05,"4yE8Qs8vOpe3EwGjSEbju7",3,144720,"Wish Me A Rainbow","Astrud Gilberto's Finest Hour","A major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","4tMIlEcQHTRdAOLqoNggsO",2001,0.652,0.368,6,-12.377,1,0.0493,0.817,9.21e-05,0.151,0.782,119.752,"7Mw6rrDRHtzK9hY1OaA3ut",4,170493,"Medley: Come Softly To Me/Hushbye","Astrud Gilberto's Finest Hour","F# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","4tMIlEcQHTRdAOLqoNggsO",2001,0.591,0.596,6,-10.437,1,0.122,0.368,5.49e-05,0.0857,0.778,171.882,"2o8JFcAxkSZ9V1r8ViAQaV",4,185000,"Canto De Ossanha (Let Go)","Astrud Gilberto's Finest Hour","F# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","4tMIlEcQHTRdAOLqoNggsO",2001,0.251,0.215,9,-14.239,0,0.0378,0.686,0.000118,0.326,0.0589,173.12,"4NWyDJqFJ0nfKSDICsZdcZ",4,134933,"In The Wee Small Hours Of The Morning","Astrud Gilberto's Finest Hour","A minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","1cKIvRZ4RCJBX8F2gMWoh6",1998,0.678,0.399,2,-13.444,0,0.0624,0.757,0,0.165,0.774,95.691,"6oASk3wO9wNfVbYQ6zSMoi",4,95560,"Crickets Sing For Anamaria","Talkin' Verve","D minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.757,0.531,8,-15.71,1,0.0468,0.152,0,0.142,0.961,93.282,"5oPgYvpfxD3WQJCcMXMhBn",4,180253,"Samba De Soho","Astrud Gilberto Plus James Last","G# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.251,0.225,2,-16.417,0,0.0384,0.614,2.09e-05,0.224,0.195,76.288,"3JmIYmRTEZUQQBfAPInu3h",3,262840,"I'm Nothin' Without You","Astrud Gilberto Plus James Last","D minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.636,0.529,8,-15.698,1,0.0314,0.0854,2.18e-05,0.116,0.634,99.957,"2kcP9a4EIpEnNOLZrAQeIj",4,270613,"Listen To Your Heart","Astrud Gilberto Plus James Last","G# major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.291,0.202,2,-17.745,1,0.0298,0.517,8.67e-05,0.113,0.0857,96.613,"47oAlRGju5U3Cy9rbCKt7B",4,202680,"Moonrain","Astrud Gilberto Plus James Last","D major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.546,0.655,5,-14.068,1,0.0327,0.121,0.00965,0.426,0.834,93.258,"19itW5XsQdAidvFO9cNkph",4,225346,"Caravan","Astrud Gilberto Plus James Last","F major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.587,0.515,0,-17.282,1,0.0395,0.12,0,0.395,0.897,97.388,"298eZNQqnD10yzHlcYeNXn",4,215680,"Amor E Som","Astrud Gilberto Plus James Last","C major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.478,0.428,9,-18.782,1,0.0411,0.267,0,0.084,0.329,98.521,"3AhzJ56uSPjYNyKXIH84Sr",4,328173,"Saci","Astrud Gilberto Plus James Last","A major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.518,0.237,3,-15.849,0,0.0253,0.45,7.61e-06,0.336,0.175,95.621,"58lQBeqei6CxIAy2cbHIVx",4,263906,"Forgive Me","Astrud Gilberto Plus James Last","D# minor"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.61,0.568,7,-13.195,1,0.0288,0.0324,0.000109,0.155,0.651,91.997,"6wWsKQ0yGeFqy6zEg1yiEp",4,194346,"With Love (When They Turn On The Light)","Astrud Gilberto Plus James Last","G major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","5l5uccv1oA8vIDarhPT3Kd",1986,0.572,0.524,7,-16.147,1,0.0351,0.153,0.00118,0.202,0.825,160.927,"6pLL9Ekif9XJtVzdTknclh",4,224120,"Agua De Beber","Astrud Gilberto Plus James Last","G major"
"Astrud Gilberto","5rX2c1zow6hCph8PnnU3kF","2aKyg2ius2Q9w5FBVe1VFu",1982,0.686,0.553,1,-13.825,1,0.0387,0.578,0.000712,0.111,0.847,91.505,"2t4CYCM66LVsl7tuPKWz4v",4,218533,"Champagne And Caviar","So & So: Mukai Meets Gilberto","C# major"
