"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.811,0.562,5,-10.183,0,0.0368,0.137,0,0.0623,0.965,129.039,"2MioxSroS0g1mi24LLfcnq",4,255026,"Por un Segundo","The Last","F minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.821,0.446,11,-9.751,1,0.0383,0.151,0,0.0849,0.898,118.223,"7Ln0OEpEiFDMwxHfEMP5aM",4,306333,"Yo Quisiera Amarla","The Last","B major"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.812,0.506,1,-10.729,1,0.0533,0.143,0,0.132,0.701,125.941,"217bRMES4HVbPdUe8l8ECN",4,238720,"El Malo","The Last","C# major"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.825,0.605,11,-9.71,1,0.0376,0.0764,0,0.314,0.944,124.005,"2Bhmj4XK33InfhqKPxcJ1v",4,229360,"Dile al Amor","The Last","B major"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.764,0.574,9,-9.475,0,0.042,0.401,0,0.11,0.931,123.928,"709hAukJxapqTU9VhsiQm0",4,240706,"Su Veneno","The Last","A minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.75,0.472,5,-9.705,0,0.042,0.272,0,0.263,0.881,120.505,"6Ezrvk64WB6scceSL3lDjp",4,222386,"Tu Jueguito","The Last","F minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.764,0.724,4,-7.231,0,0.103,0.00316,0,0.259,0.563,124.468,"4Wyrppmuf8Gwi9v8dQwGxy",4,237240,"Spanish Fly (feat. Ludacris, Wyclef Jean)","The Last","E minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.726,0.654,6,-8.772,0,0.0334,0.0591,0,0.347,0.897,136.021,"6EErUzFfx0ZoxjXoq8ud8J",4,278373,"Peligro","The Last","F# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.795,0.64,5,-9.944,1,0.048,0.137,0,0.24,0.659,126.051,"2d4rnjrHTPdLTFRGz4ccim",4,275346,"La Tormenta","The Last","F major"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.827,0.614,9,-10.359,0,0.0366,0.0854,0,0.31,0.95,135.045,"4m9QqcnlQtpCvqxCoClkh3",4,275653,"El Desprecio","The Last","A minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.767,0.751,0,-9.536,0,0.0391,0.000631,0.000195,0.186,0.617,111.02,"48FsqSKpgoZZFr6aS1IDK5",4,218080,"All Up 2 You (feat. Akon, Wisin & Yandel)","The Last","C minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.716,0.218,7,-17.376,0,0.921,0.689,0,0.192,0.442,122.411,"4kqABUZ1M1cbktpk25hbYx",3,245386,"Skit","The Last","G minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.756,0.696,1,-10.041,0,0.0638,0.147,0,0.129,0.683,89.988,"33pO6ulKRvVpegrilxhYGp",4,201266,"La Curita","The Last","C# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.832,0.549,6,-10.173,1,0.0528,0.106,0.00695,0.364,0.926,129.997,"4mBWeIhP0oa26XwKMyXbgU",4,257693,"Princesita","The Last","F# major"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.764,0.62,10,-10.494,0,0.0399,0.045,0,0.0349,0.952,128.028,"0uE7Aicq7Yp4ox5SmQnPvS",4,274186,"Su Vida","The Last","A# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.818,0.582,5,-10.869,1,0.0428,0.125,5.05e-06,0.153,0.67,125.026,"61lAJ5gEEyWvYxMh9rP8kI",4,239613,"Soy Hombre (feat. Arturo Sandoval)","The Last","F major"
"Aventura","1qto4hHid1P71emI6Fd8xi","57tmzh0hsnWU8znnvEWJbe",2009,0.587,0.75,4,-12.381,0,0.214,0.243,0,0.595,0.721,152.044,"0y1WBBASLlDZRvmhqxQ689",4,453373,"Gracias","The Last","E minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.513,0.816,0,-9.727,1,0.378,0.00295,0.000148,0.14,0.742,195.042,"3IgwhGuzUlkY1jwJaoRo2w",3,64840,"Intro ""Los Reyes de la Bachata Moderna""","K.O.B. Live","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.745,0.716,9,-8.221,0,0.0411,0.202,0,0.059,0.817,132.932,"0HDHY6RSHHG2ZTE0cMT4GJ",4,257186,"Los Infieles","K.O.B. Live","A minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.814,0.639,1,-8.078,0,0.0463,0.0979,0,0.13,0.961,133.035,"5I76YtdZkFQReVgKppRd78",4,234240,"Mi Corazoncito","K.O.B. Live","C# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.779,0.589,5,-10.645,1,0.0345,0.332,0,0.12,0.894,128.044,"27ze5t5tIDPlVits0KRbxT",4,215213,"El Perdedor","K.O.B. Live","F major"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.758,0.739,10,-7.162,0,0.0724,0.213,0,0.0669,0.906,135.079,"2SnqFQaxOxkLmUDpk7Z4mi",4,234973,"Controversia","K.O.B. Live","A# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.754,0.598,0,-9.199,1,0.0318,0.109,0,0.274,0.95,125.028,"4TLzeL9PFoBoUNQv4sc7me",4,253773,"José","K.O.B. Live","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.682,0.391,11,-13.452,0,0.332,0.47,0,0.358,0.93,124.295,"2omRlNcNniXxmZmmRYgkf4",3,23306,"Skit Anthony 1","K.O.B. Live","B minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.767,0.327,9,-12.208,0,0.134,0.657,0,0.243,0.977,119.789,"4OWVHiLzGnZiSBu5Qyje3o",4,20986,"Skit Lenny","K.O.B. Live","A minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.573,0.784,0,-8.83,1,0.224,0.367,0,0.427,0.47,128.407,"50dqUDq6WqYYkfdY8jSQc7",4,455453,"Hermanita & Romeo Skit","K.O.B. Live","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.647,0.375,1,-15.193,0,0.507,0.786,0,0.288,0.962,119.395,"7t6Lc6eJMlPBUgAvp9vsv5",4,32013,"Skit Henry","K.O.B. Live","C# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.583,0.455,1,-15.967,0,0.301,0.84,0,0.658,0.95,77.563,"07HEHOtrkqKpX7sx71yyyW",4,36626,"Skit Mikey","K.O.B. Live","C# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.579,0.351,9,-15.076,1,0.342,0.553,0,0.124,0.895,100.187,"0BQxmjFxBLsYg2HIdFiZs5",4,52613,"Skit Anthony 2","K.O.B. Live","A major"
"Aventura","1qto4hHid1P71emI6Fd8xi","03Sa02WIHEwH8lHfbipmrz",2006,0.657,0.87,0,-7.939,1,0.173,0.0316,0,0.872,0.794,130.1,"24qEyK6KGLZfcrPwmA7N34",4,69560,"Outro","K.O.B. Live","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.838,0.635,5,-6.555,0,0.0328,0.577,0,0.0603,0.948,130.086,"4s8r4lbbUXF3xFdEXWgTrs",4,293146,"Angelito","God's Project","F minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.768,0.627,9,-6.84,0,0.0483,0.59,0,0.741,0.774,130.061,"2jQeX1fMZo5z82w3BviN5x",4,289840,"La Boda","God's Project","A minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.842,0.532,1,-9.375,1,0.0348,0.207,2.85e-06,0.283,0.908,130.007,"1cbyVOrjQu3QsmHD2T1Ydf",4,239333,"Un Chi Chi","God's Project","C# major"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.846,0.714,11,-8.783,1,0.0528,0.132,0.00104,0.362,0.905,133.037,"0g3gOLp306bhNdrZ8ADNmi",4,202986,"Volvio La Traicionera","God's Project","B major"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.844,0.637,2,-8.501,0,0.04,0.279,1.15e-05,0.209,0.882,130.071,"3ple9U8LaIQXMyJmaqneBi",4,293573,"La Nina","God's Project","D minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.797,0.542,8,-8.411,0,0.035,0.448,7.99e-06,0.122,0.913,125.091,"4AuBmjPXmbBc0ZxFuaqcVQ",4,268053,"Our Song","God's Project","G# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.404,0.16,8,-31.825,1,0.824,0.386,0,0.339,0.739,86.168,"1x2N0AlrLQqrVmEtfH1ZkM",3,49373,"Bar Skit","God's Project","G# major"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.732,0.64,0,-9.859,1,0.0378,0.586,1.81e-05,0.104,0.715,125.015,"1SaEt8dwTuLDzenUu5BqI6",4,263346,"Un Beso","God's Project","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.825,0.613,11,-8.915,0,0.0385,0.228,0.0293,0.0979,0.936,130.042,"2oIK0laem6f1hj7mjdg43g",4,273453,"Voy Malacostumbrado","God's Project","B minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.593,0.274,1,-15.745,1,0.745,0.789,0,0.748,0.633,114.843,"4amMztqco6C3qHlKaXd6p1",4,407280,"Audition Skit","God's Project","C# major"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.713,0.851,10,-9.235,1,0.0982,0.121,0.000123,0.228,0.926,155.079,"36oJF3tiVJ7g36SkWYcpfp",4,259920,"Por Tu Orgullo","God's Project","A# major"
"Aventura","1qto4hHid1P71emI6Fd8xi","3dCEXNx36W29EYCMUAx5p5",2005,0.589,0.806,0,-7.302,0,0.241,0.0483,1.98e-05,0.312,0.124,107.937,"72VCssdoK9EzUgShqebyaN",4,567253,"You're Lying / We Got the Crown (Remix)","God's Project","C minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.828,0.747,5,-8.047,0,0.264,0.108,0.00169,0.0618,0.845,99.975,"5nvUSOaytD5Xu0nAOYit3Q",4,127946,"Intro","Love & Hate","F minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.892,0.597,10,-9.634,0,0.0486,0.568,0.000559,0.413,0.646,119.048,"4MSVpbF5oOFyOxpsmbFAsH",4,332053,"La Pelicula","Love & Hate","A# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.863,0.536,0,-9.72,1,0.0539,0.503,0.00311,0.155,0.961,126.058,"6ExIo2QuQcqkJKYRIfNtNE",4,277106,"Hermanita","Love & Hate","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.818,0.533,10,-8.484,0,0.0561,0.598,4.4e-06,0.111,0.802,132.138,"3ORQsL0g4APGsXoqD5tkpm",4,273920,"Mi Niña Cambió","Love & Hate","A# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.724,0.645,2,-8.596,1,0.119,0.477,0.00041,0.392,0.979,154.039,"2MYPAkbdiAGCkHwyMfhif6",4,220986,"Pueblo por Pueblo","Love & Hate","D major"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.842,0.453,0,-10.146,1,0.0456,0.703,1.74e-05,0.102,0.686,127.139,"2QnmlK1ezVLg83Yc9OJHkk",4,254560,"I'm Sorry","Love & Hate","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.854,0.501,0,-9.184,0,0.0449,0.552,0.0167,0.112,0.931,126.038,"1x27vVrC2P7WPlW2tCsjGu",4,264133,"Defa Vú","Love & Hate","C minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.643,0.552,0,-7.042,1,0.192,0.114,0,0.0566,0.613,118.314,"0fNAVoDq2F4aAzW1NHTE6S",4,236106,"Conciencia","Love & Hate","C major"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.837,0.607,10,-6.193,0,0.037,0.26,3.08e-06,0.0837,0.931,116.284,"4M4oSbEjB8Z94039uyjXuO",4,250053,"Llorar","Love & Hate","A# minor"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.926,0.7,1,-7.623,1,0.072,0.241,2.56e-05,0.164,0.964,137.009,"0NbPtMizsm37LX16gZlRvi",4,246093,"Papi Dijo","Love & Hate","C# major"
"Aventura","1qto4hHid1P71emI6Fd8xi","2Z9tU5T5Xad6u4rTGjZIy7",2003,0.699,0.8,4,-8.308,0,0.0565,0.612,0.00294,0.125,0.962,153.994,"5zTOHV2WyMfxSMAz0BXRvO",4,251720,"Me Voy","Love & Hate","E minor"
