"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.493,0.927,2,-3.246,1,0.0576,1.26e-05,3.66e-06,0.246,0.312,102.536,"0szPyERyieVe2ivJTLMJFW",4,213191,"ANTHEM PART 3","ONE MORE TIME...","D major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.358,0.91,7,-2.487,1,0.125,2.18e-05,0,0.264,0.728,199.955,"5RkopTOlz5MHulrlykFURX",4,188155,"DANCE WITH ME","ONE MORE TIME...","G major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.511,0.876,2,-2.555,1,0.0431,1.96e-05,7.35e-06,0.077,0.682,92.467,"0Ej3228AbSquN7fxkwgTJf",4,138460,"FELL IN LOVE","ONE MORE TIME...","D major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.483,0.876,9,-3.827,1,0.0475,0.000206,0.000259,0.343,0.199,94.995,"7CIC6VDDeUSWt5bUf302lE",4,168130,"TERRIFIED","ONE MORE TIME...","A major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.628,0.497,2,-5.794,1,0.0271,0.114,0,0.112,0.157,114.704,"6XgEQdeSkbZE5Wz6dzXxPd",5,208114,"ONE MORE TIME","ONE MORE TIME...","D major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.601,0.987,4,-3.006,1,0.117,0.000287,0.00438,0.0914,0.305,126.029,"6is198totXPWEoY2ulZ4A5",4,217187,"MORE THAN YOU KNOW","ONE MORE TIME...","E major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.352,0.968,0,-2.727,1,0.188,3.59e-05,0,0.376,0.578,189.592,"5u9a9qquQZfcCcvI3BCU6J",1,23610,"TURN THIS OFF!","ONE MORE TIME...","C major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.227,0.977,4,-2.166,1,0.232,0.000127,0.000806,0.333,0.302,170.127,"4p1MTxLv2Sv9hyGH2RJ8q5",4,160409,"WHEN WE WERE YOUNG","ONE MORE TIME...","E major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.587,0.866,5,-2.864,1,0.0571,0.00297,0,0.136,0.63,145.916,"08plGNpVLnsevWJbdvtpCK",4,149473,"EDGING","ONE MORE TIME...","F major"
"blink-182","6FBDaR13swtiWwGhX1WQsP","00txDYFrU4LjWqwKE8iQJA",2023,0.514,0.822,11,-3.312,1,0.126,0.00367,0,0.0501,0.789,156.016,"5umZSkiNqkwj4WA8Ftsw8N",4,198685,"YOU DON'T KNOW WHAT YOU'VE GOT","ONE MORE TIME...","B major"
