"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.298,0.228,3,-19.981,0,0.0367,0.927,0.847,0.11,0.0839,127.917,"0JL9dXZ2tjMabWjVjeutKH",4,108800,"Polyghost","Fragments","D# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.658,0.576,10,-10.976,0,0.036,0.0913,0.393,0.107,0.593,114.029,"7aLYQgzGLy8duSSdTJa1ik",4,285093,"Shadows","Fragments","A# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.757,0.637,10,-9.451,0,0.0432,0.0668,0.485,0.191,0.429,121.009,"2ZaL63zLMDr6H18El2EIt9",4,242773,"Rosewood","Fragments","A# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.667,0.841,4,-8.93,0,0.0423,0.00409,0.856,0.114,0.0392,125.994,"59QNyVtGhYoDnpO6T1e4yR",4,371520,"Otomo","Fragments","E minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.6,0.314,4,-9.109,0,0.0351,0.791,0.419,0.0681,0.201,126.948,"622fSIVOm6SPcLPNOoYeJn",4,226146,"Tides","Fragments","E minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.486,0.366,6,-15.533,0,0.0306,0.789,0.93,0.107,0.0938,94.984,"0PYMIPuZk9AjcmkscMeC3D",4,182293,"Elysian","Fragments","F# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.74,0.708,1,-10.382,1,0.0554,0.0213,0.913,0.127,0.0716,125.021,"7mq6753542WZViD1wJ64Eo",4,311866,"Closer","Fragments","C# major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.706,0.697,6,-8.455,0,0.0361,0.316,0.763,0.0681,0.377,123.993,"0xIo8d1CLxARzQhaZwJ1RM",4,342053,"Age of Phase","Fragments","F# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.655,0.499,0,-10.039,0,0.0433,0.569,0.763,0.111,0.255,140.022,"6t2gHlvw7kTK6M7M5f7S6K",4,210280,"From You","Fragments","C minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.676,0.606,5,-12.167,1,0.0349,0.604,0.826,0.0804,0.0911,121.013,"3jVU4LpHVHClU0YDJ8VBqz",3,332733,"Counterpart","Fragments","F major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.742,0.761,0,-9.677,0,0.0887,0.0107,0.866,0.326,0.509,128.005,"3O9cDue7Dz2gkBPbfTEeHu",4,243320,"Sapien","Fragments","C minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","4KjbNbnTnJ97kZgQkOHr6v",2022,0.641,0.564,11,-9.374,0,0.0374,0.109,0.412,0.0969,0.323,100.013,"7nnFdyYsVwFvUXB4heKZe4",4,224933,"Day by Day","Fragments","B minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.561,0.565,1,-12.374,1,0.0373,0.763,0.948,0.166,0.0392,122.072,"61g7oQKm8DFEL7r2g9LS8x",4,327400,"Migration","Migration","C# major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.648,0.458,5,-15.169,1,0.0311,0.864,0.0944,0.366,0.0848,119.96,"2pYvd6cHcAIMAM6xMD6nok",4,274693,"Break Apart","Migration","F major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.693,0.59,4,-7.232,0,0.0464,0.23,0.834,0.0685,0.237,117.006,"6BbFwwHnzY74a8GOsDg8Sn",4,475480,"Outlier","Migration","E minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.441,0.423,6,-9.435,0,0.0369,0.837,0.966,0.0924,0.159,124.962,"0f3G1ecfRIffW1qhQt1lEG",4,268893,"Grains","Migration","F# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.378,0.178,6,-15.348,0,0.0303,0.958,0.802,0.11,0.0591,77.263,"16ikmfoT1249gG3pzPvnYt",4,223720,"Second Sun","Migration","F# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.559,0.613,3,-7.891,0,0.0343,0.231,3.47e-06,0.0742,0.213,109.947,"15IVKRhTPXp4lKtwl568KS",4,251171,"Surface","Migration","D# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.723,0.571,1,-10.22,1,0.0572,0.21,0.334,0.133,0.185,115.518,"5EGJ7e7frJjYja6H4afzoT",4,302428,"Bambro Koyo Ganda","Migration","C# major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.529,0.739,7,-9.578,0,0.0718,0.0237,0.607,0.171,0.138,124.75,"5DAjrJqXqYtgr67pVhmUeR",4,237546,"Kerala","Migration","G minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.54,0.461,10,-9.427,0,0.0341,0.236,0.531,0.0865,0.107,89.995,"4GroumsjzAcgCwJzTGY7px",4,232549,"Ontario","Migration","A# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.656,0.589,5,-12.332,0,0.0493,0.321,0.532,0.104,0.155,121.003,"3aWPdd6U1xbsIEGEpUaPyQ",4,448983,"No Reason","Migration","F minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.656,0.653,6,-11.883,0,0.0396,0.0281,0.858,0.112,0.199,117.999,"3AW6V6zWH45jI7eNPnSDfT",4,307327,"7th Sevens","Migration","F# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","2T64N96AVfsrRFJCUXQEoZ",2017,0.296,0.4,10,-11.609,0,0.0462,0.564,0.13,0.116,0.184,88.857,"4MSKGtnxTdqIypqwTDY3em",3,368236,"Figures","Migration","A# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.272,0.149,3,-22.182,1,0.0365,0.974,0.867,0.108,0.205,136.664,"2t6aXckrRWNnKb0ysc1vBc",4,128939,"An Ending, a Beginning","Late Night Tales: Bonobo","D# major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.516,0.391,2,-13.391,1,0.0284,0.55,0.874,0.897,0.492,82.65,"1URRYyEeejU5VYwc8xpB5A",4,209046,"A Calf Born in Winter","Late Night Tales: Bonobo","D major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.4,0.553,4,-9.394,0,0.0522,0.736,0.365,0.248,0.453,75.926,"6tqAkUVWAjqTzT363IzgCw",4,185888,"Get Thy Bearings (feat. Szjerdene)","Late Night Tales: Bonobo","E minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.721,0.552,1,-9.823,1,0.12,0.234,0.782,0.135,0.942,95.944,"49HQgsW9NcpnHQP33GKwuU",4,288526,"Flipside","Late Night Tales: Bonobo","C# major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.631,0.573,3,-8.095,0,0.042,0.159,0.898,0.0735,0.654,101.164,"1AsfRAABzh6ojovJYDDQlN",4,160380,"The Traitor","Late Night Tales: Bonobo","D# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.79,0.376,6,-9.72,1,0.298,0.855,0.845,0.0638,0.331,88.009,"6K0qI50DzcXLhCuu0ebeCs",4,255059,"Down the Line (It Takes a Number)","Late Night Tales: Bonobo","F# major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.355,0.48,6,-8.265,0,0.117,0.395,0.843,0.398,0.229,84.556,"4szJaNAB31pw9DtBuemeFh",4,303176,"Places","Late Night Tales: Bonobo","F# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.445,0.82,8,-5.987,1,0.0632,0.0284,0.00978,0.0618,0.0654,109.284,"62GRlzq2rRHmWyA0NGBjji",4,240487,"Gutter Glitter","Late Night Tales: Bonobo","G# major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.43,0.639,3,-8.125,0,0.0401,0.132,0.942,0.196,0.171,151.437,"10lGufP5RmCsUwKDTcPpxs",4,351875,"Hedron","Late Night Tales: Bonobo","D# minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.0837,0.067,0,-22.048,0,0.0426,0.992,0.86,0.198,0.0563,71.146,"4WtolB2MyxiPmCupNhulsX",4,199813,"VIII. Juliet","Late Night Tales: Bonobo","C minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.639,0.577,0,-6.811,1,0.0357,0.0997,0.921,0.0658,0.171,138.012,"41SOMdIWIp1lRaDV5TaBuV",4,233926,"South Congress","Late Night Tales: Bonobo","C major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.163,0.224,9,-12.779,0,0.0355,0.548,0.102,0.275,0.0391,78.188,"5Ip5XniqevCfvMdT98NtBo",4,90102,"Sailing out to Sea","Late Night Tales: Bonobo","A minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.383,0.397,4,-14.851,0,0.0462,0.803,0.822,0.164,0.555,84.621,"13PqmoiHO8rzblmaNFHY4g",3,192076,"Essence of Sapphire","Late Night Tales: Bonobo","E minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.288,0.504,4,-5.181,0,0.0337,0.0867,0,0.271,0.268,131.051,"6xrjiQlZMCDp2sDJhW2v6e",1,210997,"One Thing","Late Night Tales: Bonobo","E minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.35,0.0309,0,-21.019,1,0.0557,0.983,0.893,0.0802,0.0672,48.462,"0mk1TFxHHKjuEutJCXBUK0",4,402271,"Peace Piece","Late Night Tales: Bonobo","C major"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.622,0.365,2,-20.377,0,0.955,0.491,2.61e-05,0.143,0.261,168.702,"5zZL3GwlXqxnoDLxCoLnd4",3,391963,"Flat of Angles, Pt. 3","Late Night Tales: Bonobo","D minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","75mOIzgjMsFLN5hyQlpsy8",2013,0.408,0.436,4,-11.497,0,0.164,0.528,0.0995,0.198,0.0778,76.868,"3TjdCL5eVn1dujySzeGqBG",4,4497994,"Late Night Tales: Bonobo","Late Night Tales: Bonobo","E minor"
"Bonobo","0cmWgDlu9CwTgxPhf403hb","7sN6lCgPf1rbZYmA3edMKv",2013,0.606,0.408,8,-10.539,1,0.0362,0.385,0.29,0.437,0.211,110.01,"2Yz2Z1ENB85nYrK3Rg2qxO",4,278293,"First Fires","The North Borders","G# major"
