"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.696,0.553,1,-8.702,1,0.0759,0.097,3.91e-06,0.617,0.674,114.993,"4K09vJ27xCOreumtSuU6Ao",4,63060,"Silk Sonic Intro","An Evening With Silk Sonic","C# major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088,"4pryE6cN2gFL1FVF5fYINl",4,242096,"Leave The Door Open","An Evening With Silk Sonic","F major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.783,0.627,2,-8.521,1,0.102,0.00756,0,0.0606,0.48,100.025,"7suB6D6uKX5DfPukdGaz0W",4,219389,"Fly As Me","An Evening With Silk Sonic","D major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.651,0.703,0,-8.958,0,0.0816,0.0297,0,0.0608,0.647,140.051,"6jGAh1bFnXt1Muj9zeHveZ",4,249444,"After Last Night (with Thundercat & Bootsy Collins)","An Evening With Silk Sonic","C minor"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,"1oERlssLrpssCAY6Yqqs6c",4,197442,"Smokin Out The Window","An Evening With Silk Sonic","D major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.548,0.627,9,-8.949,1,0.0409,0.0471,0,0.285,0.493,143.994,"5lka5RUbLVQGO94mKAPMRO",4,255455,"Put On A Smile","An Evening With Silk Sonic","A major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.836,0.622,1,-11.003,1,0.0946,0.00269,0.000566,0.335,0.892,102.015,"2K6vUau7bnZUamjbRSOOvJ",4,165000,"777","An Evening With Silk Sonic","C# major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,"3WTWh2WDk4j8GUCGj4xfOd",4,203122,"Skate","An Evening With Silk Sonic","F major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981,"2ALh2jqA7KldpHMUHvRomw",4,307014,"Love's Train","An Evening With Silk Sonic","F# minor"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4VZ7jhV0wHpoNPCB7Vmiml",2021,0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,"2NqyjfDXy0XfXCSPXMsKzi",4,284870,"Blast Off","An Evening With Silk Sonic","B major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4PgleR09JVnm3zY1fW3XBA",2016,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,"6b8Be6ljOzmkOmFslEb23P",4,225983,"24K Magic","24K Magic","C# major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4PgleR09JVnm3zY1fW3XBA",2016,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103,"0mBKv9DkYfQHjdMcw2jdyI",4,186973,"Chunky","24K Magic","F minor"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4PgleR09JVnm3zY1fW3XBA",2016,0.853,0.871,8,-3.715,1,0.0851,0.0145,6.84e-05,0.198,0.863,124.021,"1I6pKIyaBp4OebTGLJpCCC",4,210053,"Perm","24K Magic","G# major"
"Bruno Mars","0du5cEVh5yTK9QJze8zA0C","4PgleR09JVnm3zY1fW3XBA",2016,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,"0KKkJNfGyhkQ5aFogxQAPU",4,206693,"That's What I Like","24K Magic","C# major"
