"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","19X9Ts9AYIRrqthSTf3qss",2023,0.603,0.8,6,-4.8,1,0.0297,0.00937,0.000131,0.0842,0.891,77.011,"25Cd7qrFbOpSwYpkPugNyT",4,189426,"Never Coming Home","Poets & Old Souls","F# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","19X9Ts9AYIRrqthSTf3qss",2023,0.62,0.706,3,-4.176,1,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,"72kGuWpRiuA149Bn5lDkIO",4,188482,"We Ride","Poets & Old Souls","D# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","19X9Ts9AYIRrqthSTf3qss",2023,0.575,0.434,11,-9.216,1,0.0391,0.155,0.00503,0.101,0.431,76.129,"0UKKKLMpHhdpwQNsXEoNM1",4,195910,"Poets & Old Souls","Poets & Old Souls","B major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","19X9Ts9AYIRrqthSTf3qss",2023,0.508,0.768,8,-5.085,1,0.0322,0.0254,0,0.0809,0.715,78.849,"3cI2o7t5XYeeSJo76ZE8QL",4,213427,"Things You Didn't Make Time For","Poets & Old Souls","G# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","19X9Ts9AYIRrqthSTf3qss",2023,0.648,0.366,0,-8.428,1,0.0297,0.292,1.97e-05,0.106,0.227,132.083,"0gA3jIpxLSh2400HhhMmAm",3,210284,"Another Honky Tonk","Poets & Old Souls","C major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","19X9Ts9AYIRrqthSTf3qss",2023,0.584,0.57,1,-6.715,1,0.029,0.0422,0.000403,0.116,0.644,148.046,"2RqTfyVb2qAXUk90XPNiYG",4,163536,"He Knows The Struggle","Poets & Old Souls","C# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","19X9Ts9AYIRrqthSTf3qss",2023,0.637,0.742,6,-5.723,1,0.0425,0.0625,7.74e-06,0.097,0.518,76.969,"7yyRhjoCsdt5dDpFz2CImD",4,163871,"Wolves Cry","Poets & Old Souls","F# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.571,0.385,1,-7.495,1,0.0305,0.639,1.44e-06,0.0826,0.267,73.872,"55bN4rlBZGJJPPt6I9MDsw",4,152510,"Beauty in the Struggle","Self Inflicted Scars","C# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.587,0.588,1,-7.395,1,0.0336,0.202,1.84e-05,0.13,0.679,79.078,"27kUpFFvgrtuauejdiwPYb",4,216299,"Self Inflicted Scars","Self Inflicted Scars","C# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.301,0.73,10,-6.057,0,0.0412,0.119,0.00218,0.213,0.284,76.864,"7nTCbyLTfmm3RZKi7qkTI0",4,199901,"Lost","Self Inflicted Scars","A# minor"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.55,0.91,1,-4.24,1,0.116,0.0364,0.00593,0.104,0.639,159.952,"7lCunNFGAmsaYUWIQR53G2",4,176274,"More Than The Shine","Self Inflicted Scars","C# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.494,0.828,6,-5.536,1,0.0402,0.0316,0.022,0.137,0.547,160.02,"5k52LqKShJm7zdvg50o838",4,192621,"Divided States","Self Inflicted Scars","F# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.491,0.589,3,-8.595,1,0.0308,0.591,0,0.0861,0.291,154.07,"2Pg2ET1CvC9X6VBtjANX8V",4,217077,"Long As Daddy's Working","Self Inflicted Scars","D# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.548,0.632,3,-4.945,1,0.0248,0.0555,0.00171,0.0845,0.294,75.06,"6aAYieA6DMdEqMrlU9AZfl",4,198911,"Whiskey and the Devil","Self Inflicted Scars","D# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.568,0.93,4,-3.545,1,0.0634,0.048,3.47e-06,0.287,0.864,89.985,"76XQQ0KPlXGZFX7YF4P5sE",4,168086,"Over Hank It","Self Inflicted Scars","E major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.662,0.781,6,-3.294,1,0.0245,0.0957,8e-05,0.123,0.641,126.028,"6d3rOaVzZshI2YRBl7WjQb",4,215048,"Memory to Drown","Self Inflicted Scars","F# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.506,0.874,1,-3.832,1,0.0457,0.0175,0,0.127,0.684,166.178,"5fyqWpeDtT2vqrT2sg4Ijw",4,200978,"Everyone's An Outlaw","Self Inflicted Scars","C# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","2MiSaUtCnkqNRK2BZx2TZt",2022,0.56,0.398,1,-6.399,1,0.0269,0.543,1.75e-05,0.116,0.592,73.92,"0Vr6E2VjOLXU8ip1QSdsUE",3,153155,"Beauty in the Struggle","Self Inflicted Scars","C# major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","5X20tAHJfLP9xJu0TD7VLq",2019,0.624,0.555,11,-6.408,1,0.0264,0.0224,2.29e-06,0.105,0.277,139.919,"7Ekp7gbsALcj9jTD6nrWFU",4,217500,"If It Was Easy","If It Was Easy","B major"
"Bryan Martin","0ChjBYedhZTQnWZWQYg15U","5X20tAHJfLP9xJu0TD7VLq",2019,0.665,0.452,2,-6.862,1,0.0286,0.25,2.85e-05,0.162,0.295,75.988,"3OmO080strxpnwmeQf60px",4,273157,"These Damn Rigs","If It Was Easy","D major"
