"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.305,0.217,3,-18.598,0,0.0536,0.995,0.81,0.105,0.513,94.562,"1RPgxA6SbIQI6JYiZUhrzj",4,35992,"http://","Bryson Tiller","D# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.568,0.731,3,-5.482,0,0.0576,0.0735,2.28e-05,0.0967,0.496,130.497,"7tr8SXmP9j0uVqUU0qoapb",4,216043,"Attention","Bryson Tiller","D# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.469,0.738,7,-7.823,0,0.402,0.0814,0,0.0856,0.232,83.156,"4bpuF6xenrFjMLA9tfKuc7",4,157161,"Stay Gold","Bryson Tiller","G minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.61,0.647,10,-5.128,0,0.2,0.401,0,0.0744,0.585,89.874,"49v5ttae4SvGE6XqfP7PY4",4,169941,"Persuasion (feat. Victoria Monét)","Bryson Tiller","A# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.43,0.72,5,-5.048,1,0.0532,0.00176,2.56e-06,0.295,0.467,106.595,"0oMlowcYGs70fDAfRf8eKJ",3,125039,"Ciao!","Bryson Tiller","F major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.432,0.315,8,-8.798,1,0.106,0.248,1.46e-05,0.253,0.297,81.196,"229q3X3autIWuKpy35auRu",4,131819,"Peace Interlude","Bryson Tiller","G# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.625,0.781,10,-4.059,1,0.0575,0.00142,0,0.128,0.0916,164.729,"6TJcnosIlDjN5RBdkCphXJ",4,141827,"Rich Boy","Bryson Tiller","A# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.449,0.469,10,-11.188,0,0.206,0.485,2.2e-06,0.639,0.354,150.178,"6R55Qoa7SRZ744U85UdMVp",4,144112,"Random Access Memory [RAM] (feat. Clara La San)","Bryson Tiller","A# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.591,0.642,5,-7.8,0,0.243,0.0116,0,0.127,0.714,85.694,"7lZBI90We7DeGsGE9YfMPU",4,137920,"No Thank You","Bryson Tiller","F minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.444,0.355,8,-7.072,0,0.0332,0.833,0,0.117,0.324,97.354,"0pb8Y0dlYB4OkwfBsWPAMJ",3,162090,"Find My Way","Bryson Tiller","G# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.591,0.534,8,-5.331,1,0.0968,0.0429,0,0.15,0.205,162.671,"4mpROZ2Z2chgoh7TPywPWU",4,168213,"Prize","Bryson Tiller","G# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.642,0.63,7,-7.844,1,0.525,0.63,1.33e-05,0.0639,0.652,77.087,"1Sx5FQ2YCfSamun0xtUr9c",4,104539,"Waterfalls","Bryson Tiller","G major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.699,0.651,1,-4.197,1,0.157,0.0109,0,0.0891,0.252,101.755,"49zOWtA3OAMtUDI1V1CIwe",4,143013,"ÆON L U S T","Bryson Tiller","C# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.748,0.728,1,-4.449,1,0.155,0.0258,0,0.159,0.324,97.98,"2g4jtlKn4tSIzHFn4Z3IYg",4,188314,"CALYPSO","Bryson Tiller","C# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.754,0.522,6,-7.613,1,0.0856,0.132,0,0.143,0.793,98.029,"5T7Gzs5ppc5eaHLGgsMvbn",4,188579,"Outside","Bryson Tiller","F# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.459,0.41,3,-6.601,1,0.0309,0.707,0,0.109,0.456,127.379,"5GDjl9jB48VB7NdcM8P0Gu",4,238444,"Undertow","Bryson Tiller","D# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.607,0.793,2,-2.85,1,0.218,0.00425,0,0.357,0.337,158.055,"7iOrxO0nc8QANh6dNlyoEk",4,122705,"F4U","Bryson Tiller","D major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.784,0.861,1,-3.871,1,0.0603,0.00991,2.32e-05,0.317,0.772,123.075,"7BOsIXFUa09SzoocKq9SoT",4,201996,"Assume The Position","Bryson Tiller","C# major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","0frVQ5nctt6zS9ZR1g5HMX",2024,0.803,0.512,9,-6.871,0,0.066,0.128,0,0.0928,0.435,96.02,"7aQ1tSYr518KwnE4SVSQbT",4,161342,"Whatever She Wants [BONUS]","Bryson Tiller","A minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","52QMK9SFNjiuz3ipkuVVZu",2021,0.617,0.624,6,-6.896,0,0.481,0.209,0,0.323,0.727,86.087,"2TYcxKCale4adLTwDRKkmV",4,203456,"be mine this christmas","A Different Christmas","F# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","52QMK9SFNjiuz3ipkuVVZu",2021,0.6,0.588,10,-7.581,0,0.493,0.123,8.26e-06,0.139,0.437,164.141,"1Gj06DJZBCKKvwurPprOZc",4,79185,"cold december interlude","A Different Christmas","A# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","52QMK9SFNjiuz3ipkuVVZu",2021,0.718,0.652,10,-7.373,0,0.132,0.0795,0,0.102,0.482,84.014,"4QyO5yNf3W534HK5gI1lMA",4,160981,"presents (feat. Kiana Ledé)","A Different Christmas","A# minor"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","52QMK9SFNjiuz3ipkuVVZu",2021,0.435,0.114,7,-10.369,1,0.042,0.786,0,0.352,0.368,115.251,"4RbbPu7WWsF49Gis4aRfqS",3,96888,"i'll be home for christmas","A Different Christmas","G major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","52QMK9SFNjiuz3ipkuVVZu",2021,0.74,0.759,2,-4.972,1,0.0356,0.0678,9.19e-06,0.088,0.631,100.015,"5FZNkiHoC7fbc30acoRpfb",4,230577,"lonely christmas (feat. Justin Bieber & Poo Bear)","A Different Christmas","D major"
"Bryson Tiller","2EMAnMvWE2eb56ToJVfCWs","52QMK9SFNjiuz3ipkuVVZu",2021,0.63,0.682,3,-4.998,1,0.0639,0.0513,3.93e-06,0.226,0.121,134.88,"1WSOncoBvbmkvujGKVBQKu",4,172158,"ain't a lonely christmas song (feat. Tayla Parx)","A Different Christmas","D# major"
