"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.602,0.841,-3.334,0.109,0.0354,0,0.235,0.684,157.937,"1IthE5GNiRzFN5CVaCa445",4,238628,"Born Singer","Proof","G# minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.492,0.931,-3.837,0.297,0.00244,0,0.353,0.444,166.071,"0vMk4IrUfSJQkhwZnVX6us",4,231384,"Boy In Luv","Proof","A minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.482,0.858,-4.169,0.069,0.0218,0,0.244,0.737,158.075,"1GunnGtZCSjLUAPG6yrDUC",4,210986,"I NEED U","Proof","F minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.558,0.856,-3.815,0.0531,0.00153,0,0.0979,0.53,132.89,"20Qqyt4bd1oe4KmkTagb2K",4,236748,"RUN","Proof","B minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.63,0.668,-4.266,0.0714,0.00287,0,0.125,0.529,99.949,"5cQPIQAF2T1elxWs7EqB9W",4,203957,"Burning Up (FIRE)","Proof","D# minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.759,0.459,-5.187,0.0948,0.00323,0,0.0788,0.695,109.997,"6jjYDGxVJsWS0a5wlVF5vS",4,164952,"Butter","Proof","G# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.559,0.885,-4.515,0.189,0.0432,0,0.333,0.683,172.029,"10SRMwb9EuVS1K9rYsBfHQ",4,193593,"Yet To Come","Proof","C# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.724,0.818,-3.747,0.168,0.0201,0,0.0358,0.696,77.004,"69xohKu8C1fsflYAiSNbwM",4,204939,"Run BTS","Proof","G# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.798,0.919,-3.28,0.333,0.0216,0,0.641,0.655,140.053,"1XkVZKfViRyaQcBWUEVwrd",4,268604,"BTS Cypher PT.3 : KILLER (Feat. Supreme Boi)","Proof","G major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.56,0.547,-6.456,0.0675,0.0806,0,0.11,0.199,157.962,"6aIJhrO0Y4zeDLxLkj2NXk",4,250295,"00:00 (Zero O'Clock)","Proof","C# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6al2VdKbb6FIz9d7lU7WRB",2022,0.633,0.511,-5.665,0.0368,0.434,0,0.248,0.29,116.855,"4JzCFEc3O2UEdjKzevvFH5",3,264480,"For Youth","Proof","D major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6nYfHQnvkvOTNHnOhDT3sr",2020,0.566,0.716,-5.733,0.0424,0.00691,0,0.37,0.45,81.068,"5FVbvttjEvQ8r2BgUcJgNg",4,207481,"Life Goes On","BE","C# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6nYfHQnvkvOTNHnOhDT3sr",2020,0.764,0.526,-7.355,0.212,0.0484,0,0.0718,0.588,114.91,"1NHl9g36Ebu3g16y0vtUNV",4,222242,"Fly To My Room","BE","B major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6nYfHQnvkvOTNHnOhDT3sr",2020,0.547,0.605,-6.755,0.0415,0.42,0,0.125,0.364,121.953,"7Ki0hse0IfXEcXUlpyECbJ",4,254950,"Blue & Grey","BE","G# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6nYfHQnvkvOTNHnOhDT3sr",2020,0.703,0.321,-13.135,0.884,0.864,0,0.908,0.544,114.822,"16SFlxZd0oH4YA7KvCQlsG",4,179547,"Skit","BE","E major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6nYfHQnvkvOTNHnOhDT3sr",2020,0.787,0.669,-4.333,0.0428,0.00782,0,0.123,0.57,104.994,"6Fnvi5QnVkTskSzeRvvQds",4,202313,"Telepathy","BE","F minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6nYfHQnvkvOTNHnOhDT3sr",2020,0.582,0.693,-5.048,0.0465,0.114,0,0.13,0.341,125.904,"0TdWVbcerMAcvljXrl9gpG",4,204800,"Stay","BE","F# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","6nYfHQnvkvOTNHnOhDT3sr",2020,0.746,0.765,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044,"5QDLhrAOJJdNAmCTJ8xMyW",4,199053,"Dynamite","BE","F# minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","1nScVw87kRJiT2bg2Kswhp",2020,0.486,0.61,-12.063,0.0348,0.582,0.791,0.144,0.0806,144.992,"5raJ9QoZOdoRZ1MZOcygkR",4,84613,"INTRO : Calling","MAP OF THE SOUL : 7 ~ THE JOURNEY ~","A# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","1nScVw87kRJiT2bg2Kswhp",2020,0.723,0.634,-5.415,0.0542,0.0892,0,0.0787,0.582,129.017,"3Ys2PYl1wyPKQIwyqhP9cQ",4,243266,"Stay Gold","MAP OF THE SOUL : 7 ~ THE JOURNEY ~","C# major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","1nScVw87kRJiT2bg2Kswhp",2020,0.608,0.644,-5.588,0.0314,0.156,0,0.124,0.431,99.005,"3TDUktzfYXMWjkWqwoT5F1",4,292853,"Lights","MAP OF THE SOUL : 7 ~ THE JOURNEY ~","F major"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","1nScVw87kRJiT2bg2Kswhp",2020,0.449,0.491,-6.433,0.029,0.279,0,0.0654,0.258,139.923,"3TZ7NHkMT82AhwuYsd00Hz",4,245146,"Your eyes tell","MAP OF THE SOUL : 7 ~ THE JOURNEY ~","A minor"
"BTS","3Nrfpe0tUJi4K4DXYWgMUX","1nScVw87kRJiT2bg2Kswhp",2020,0.523,0.455,-14.26,0.0632,0.704,0.459,0.135,0.165,136.959,"0VF357Gjay5vvCqWA1kSu6",4,76506,"OUTRO : The Journey","MAP OF THE SOUL : 7 ~ THE JOURNEY ~","A minor"
