"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","3jytOUwcg7ba7sMnma78k9",2023,0.509,0.488,0,-6.374,1,0.028,0.275,0,0.281,0.171,125.711,"54W4dN6L58ySaW7WkWlTQ5",4,237060,"Shiver","Thank You Happy Birthday (Expanded Edition)","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.52,0.931,4,-3.051,1,0.0969,0.0018,0.000306,0.115,0.557,166.018,"0RbcDELsGTciLeMGsSdJAc",4,163200,"Broken Boy","Social Cues","E major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.668,0.913,9,-3.097,1,0.0348,0.0119,6.7e-06,0.111,0.933,132.039,"1KuVdyg8d6NlRhbpHxg5UF",4,219053,"Social Cues","Social Cues","A major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.705,0.728,4,-3.184,0,0.035,0.00122,0.0693,0.0753,0.966,109.991,"4Y6GIje3GErVRIq1Ff5BJq",4,226533,"Black Madonna","Social Cues","E minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.601,0.946,4,-2.298,0,0.0656,0.0661,1.12e-05,0.388,0.58,141.929,"0wSmZykDgah7GfaUNZUZCb",4,208133,"Night Running","Social Cues","E minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.539,0.788,9,-3.227,0,0.0396,0.0089,0,0.29,0.357,159.986,"6ubPFMzlIg73d1jzzWcC8B",4,196173,"Skin and Bones","Social Cues","A minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.719,0.895,1,-3.263,1,0.0371,0.011,3.65e-05,0.0731,0.745,100.962,"4UyAtnwhaKv7EG1BdkBYRI",4,187973,"Ready To Let Go","Social Cues","C# major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.532,0.926,11,-2.537,0,0.134,0.00239,0.215,0.072,0.553,146.988,"3iLk4Ii9EzNo4CIKpmAkB1",4,154880,"House Of Glass","Social Cues","B minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.245,0.331,0,-8.884,1,0.0341,0.639,0,0.105,0.101,72.741,"7eIODQbTgKeNawQtowZJEM",4,240546,"Love's The Only Way","Social Cues","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.533,0.919,11,-3.61,0,0.0714,0.0192,0,0.35,0.52,98.934,"3AXurFcVRfTGxXBVpqLY2d",4,195666,"The War Is Over","Social Cues","B minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.61,0.763,2,-2.703,1,0.0271,0.00171,0.000415,0.28,0.728,106.028,"7A8iUf6fZZcrnnurw7VKSK",4,190466,"Dance Dance","Social Cues","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.569,0.472,0,-5.175,1,0.0285,0.00366,0.00275,0.0891,0.219,134.979,"1U5dJjrL6yq7IH6keAyWOe",4,230040,"What I'm Becoming","Social Cues","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.453,0.953,6,-3.058,0,0.152,1.67e-05,0.0825,0.106,0.446,142.96,"3POYMPJ0HJGtBc7aO2H7QV",4,205693,"Tokyo Smoke","Social Cues","F# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","2VuZJsJBPLwg9BeQFQle8G",2019,0.357,0.326,4,-7.198,0,0.0308,0.311,0.0057,0.107,0.0497,102.098,"50nZ2pvMssa7zcSI8ZgARe",4,256226,"Goodbye","Social Cues","E minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.445,0.847,2,-6.632,1,0.0435,0.00414,0.0875,0.207,0.448,143.766,"1t8uwF2zfqsqy0s4EtWDrS",4,247240,"Cry Baby","Tell Me I'm Pretty","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.423,0.931,11,-5.225,0,0.0539,0.0119,0.00104,0.629,0.61,150.385,"0X0Lz7LwpiIWcdGqVWaxXD",4,173173,"Mess Around","Tell Me I'm Pretty","B minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.524,0.532,6,-6.07,0,0.026,0.0285,7.86e-05,0.242,0.367,135.678,"4dpEYOPcmHNfvERbiajp3G",4,224893,"Sweetie Little Jean","Tell Me I'm Pretty","F# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.482,0.55,4,-7.098,0,0.0356,0.135,0,0.294,0.105,67.559,"48sc7vBJeNoCEQhxO3zYKA",4,252786,"Too Late To Say Goodbye","Tell Me I'm Pretty","E minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.549,0.789,5,-6.071,1,0.0313,0.0178,6.7e-05,0.059,0.715,136.125,"1Q3t9fWvHUXKsMmpD2XpUu",4,214386,"Cold Cold Cold","Tell Me I'm Pretty","F major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,"5n0CTysih20NYdT2S0Wpe8",4,225973,"Trouble","Tell Me I'm Pretty","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.493,0.461,11,-9.777,0,0.0336,0.391,0.000346,0.0985,0.288,140.034,"6vcdiwrCVXnTLASFdjEV8r",4,280946,"How Are You True","Tell Me I'm Pretty","B minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.518,0.877,6,-6.644,0,0.0373,0.017,0.448,0.151,0.625,95.408,"7rUkzuaCFJx2UwXTWEpcDe",4,232946,"That's Right","Tell Me I'm Pretty","F# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.54,0.816,2,-5.956,1,0.0543,0.00828,0.00333,0.292,0.528,134.265,"17Mzg40eYZh2qNDKH5pZWm",4,227493,"Punchin' Bag","Tell Me I'm Pretty","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0nW0w37lrQ87k7PLZvC4qJ",2015,0.56,0.928,6,-4.594,1,0.0559,0.00144,0.00295,0.318,0.615,115.204,"01T0Kq5YOIRF9BQRXJsyfe",4,217893,"Portuguese Knife Fight","Tell Me I'm Pretty","F# major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.543,0.946,2,-0.734,1,0.0454,0.00614,1.49e-05,0.106,0.547,117.962,"5r5Lj2MkgwQJz6TaBdL865",4,222813,"Spiderhead","Melophobia","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.44,0.778,1,-1.786,0,0.0327,0.0265,1.04e-06,0.151,0.304,148.038,"4sebUbjqbcgDSwG6PbSGI0",4,229346,"Come a Little Closer","Melophobia","C# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.589,0.481,0,-4.801,1,0.0285,0.273,1.33e-05,0.0986,0.176,93.568,"0tkBOcK7oRVXQJY97zzSvr",4,228293,"Telescope","Melophobia","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.431,0.889,9,-1.763,0,0.0336,0.00633,0.0052,0.315,0.755,136.362,"7JSXxBquAJDq28E6XQkJDL",4,210333,"It's Just Forever (feat. Alison Mosshart)","Melophobia","A minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.71,0.847,0,-3.009,1,0.0892,0.0289,0.00033,0.0613,0.65,119.944,"43O3Iu8mDJy10i6k8SVRXX",4,207320,"Take It or Leave It","Melophobia","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.575,0.985,2,-1.038,0,0.0743,0.04,0,0.161,0.477,116.006,"00CqEmnPLFKDhAb3cuu6Cs",4,177960,"Halo","Melophobia","D minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.417,0.897,6,-0.744,0,0.0498,0.0147,0,0.117,0.733,127.276,"3zQJdKcFjiHEz7Xqum4bom",4,187186,"Black Widow","Melophobia","F# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.63,0.939,9,-3.293,1,0.0323,0.143,0.0149,0.115,0.629,104.993,"1PmaWG47wJRCIOM9v8Bauo",4,248986,"Hypocrite","Melophobia","A major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.295,0.976,11,-1.267,0,0.107,0.186,0.00243,0.0709,0.261,136.771,"6MtJnnoTMozorcmelPpy8Y",4,327026,"Teeth","Melophobia","B minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","4EK8gtQfdVsmDTji7gBFlz",2013,0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,"2tznHmp70DxMyr2XhWLOW0",4,208760,"Cigarette Daydreams","Melophobia","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.692,0.947,5,-5.22,0,0.0437,0.000878,1.67e-05,0.256,0.917,119.983,"3bpV86Ui1ND9aRU5uhQRRX",4,221946,"Always Something","Thank You Happy Birthday","F minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.154,0.972,7,-3.624,1,0.111,0.000904,0.225,0.368,0.225,205.478,"3L8sfv4Fb8pONhiMA4nAKJ",4,192920,"Aberdeen","Thank You Happy Birthday","G major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.191,0.948,2,-3.904,0,0.149,6.73e-06,0.00265,0.0755,0.0391,170.17,"0CYB1XD1lfrrtXpYkr4RPl",4,302813,"Indy Kidz","Thank You Happy Birthday","D minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.457,0.613,9,-5.756,1,0.0295,0.00463,0.000406,0.0711,0.132,105.111,"1Hb1IJ9bBCa6wo3fRtexnJ",4,211373,"Shake Me Down","Thank You Happy Birthday","A major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.392,0.984,10,-3.384,0,0.196,2.32e-05,0.0096,0.131,0.237,90.515,"07UdfUFR3Ku3saas0hOJHL",4,190333,"2024","Thank You Happy Birthday","A# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.353,0.995,0,-1.23,1,0.197,0.00152,2.8e-05,0.248,0.283,155.114,"7zGu2TyT6Qqromnx7zbYdd",4,131360,"Sell Yourself","Thank You Happy Birthday","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.43,0.278,5,-15.634,1,0.0288,0.802,1.52e-05,0.0752,0.0582,82,"2sBNB7WX355TSxK6TXgXch",3,227786,"Rubber Ball","Thank You Happy Birthday","F major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.486,0.903,1,-3.558,1,0.0372,0.000282,5.56e-05,0.131,0.304,132.044,"6Wabs9YBMlRsQf5s37zPya",4,194826,"Right Before My Eyes","Thank You Happy Birthday","C# major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.515,0.959,2,-2.484,1,0.0597,0.000659,4e-06,0.046,0.474,109.911,"0oFCz4vOMbg9dRmV69K1vG",4,191600,"Around My Head","Thank You Happy Birthday","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.155,0.982,9,-3.135,0,0.318,5.38e-05,0.925,0.0943,0.108,82.897,"4jEWz9M7NjBeZ3x0L1J89N",4,171546,"Sabertooth Tiger","Thank You Happy Birthday","A minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.159,0.929,0,-3.171,1,0.141,6.43e-05,0,0.305,0.17,97.308,"6WC8QiA7TTraaHBNTHR5o0",4,183106,"Japanese Buffalo","Thank You Happy Birthday","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.745,0.619,4,-10.939,0,0.0331,0.207,0.0126,0.133,0.0906,107.025,"0MUzalPwRItswsuNThydQg",4,208200,"Flow","Thank You Happy Birthday","E minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.388,0.97,5,-4.27,0,0.102,2.57e-05,0.00317,0.352,0.325,155.05,"6hig7BTywRvXEMzoZl943p",4,134266,"Doctor Doctor Doctor Help Me Help Me Help Me","Thank You Happy Birthday","F minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","0WizSRN8LuMWhliou9PFlg",2011,0.438,0.726,2,-7.347,0,0.0538,0.00403,0.404,0.127,0.32,160.963,"5Dasg6up5BhP70VXtPVFfC",4,356906,"Carry Me In","Thank You Happy Birthday","D minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.326,0.948,1,-4.315,0,0.0606,0.000258,0,0.367,0.358,166.397,"2VRJIIzbhhOGaxAhwCMfZX",4,241320,"In One Ear","Cage The Elephant (Expanded Edition)","C# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.412,0.966,10,-3.007,0,0.0384,0.000502,0,0.225,0.736,143.09,"2bQv3yAOjVFO7hcVpqyyVc",4,200680,"James Brown","Cage The Elephant (Expanded Edition)","A# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.636,0.849,0,-7.075,1,0.106,0.0438,0,0.372,0.917,156.036,"3Pzh926pXggbMe2ZpXyMV7",4,175493,"Ain't No Rest for the Wicked","Cage The Elephant (Expanded Edition)","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.278,0.947,2,-4.413,1,0.0867,0.00248,0,0.851,0.414,141.629,"5ncwaCAHbEKOuJclvPwtRA",4,250520,"Tiny Little Robots","Cage The Elephant (Expanded Edition)","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.398,0.809,6,-6.163,0,0.0359,0.00183,0,0.334,0.492,128.483,"3cPLWRuXjNsqqNuZRosZaD",4,196560,"Lotus","Cage The Elephant (Expanded Edition)","F# minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.598,0.743,1,-6.163,1,0.0305,0.000643,0,0.112,0.534,110.334,"0vz64VTiPPBpcmla0QvAI9",4,228320,"Back Against the Wall","Cage The Elephant (Expanded Edition)","C# major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.505,0.887,0,-4.658,1,0.0379,0.000299,0,0.532,0.85,133.97,"2Tv7qvpjiI3xnHdvBtGLoZ",4,147853,"Drones In The Valley","Cage The Elephant (Expanded Edition)","C major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.322,0.971,5,-5.083,0,0.053,3.28e-05,0,0.291,0.451,137.431,"1X1XDc35sbtcUeTzKatuYf",4,206666,"Judas","Cage The Elephant (Expanded Edition)","F minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.317,0.856,2,-4.173,1,0.0445,0.00678,0,0.127,0.699,204.088,"60AGFQbS6ViLy1dcnL9427",4,219000,"Back Stabbin' Betty","Cage The Elephant (Expanded Edition)","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.527,0.935,7,-3.773,0,0.0368,0.00041,1.02e-06,0.135,0.61,131.034,"12d42Gsm7Ech6SfvDoe4Ea",4,197520,"Soil To The Sun","Cage The Elephant (Expanded Edition)","G minor"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.206,0.962,2,-3.912,1,0.163,0.000341,0,0.0877,0.292,153.747,"5K01nzQ7g6KY25WZYlGVPL",4,208533,"Free Love","Cage The Elephant (Expanded Edition)","D major"
"Cage The Elephant","26T3LtbuGT1Fu9m0eRq5X3","7H814Cg8HV0qpoMheYbhNn",2009,0.262,0.641,2,-5.156,1,0.0287,0.606,0.00339,0.0789,0.188,152.942,"1OcFl0uwvpICbrONsmsqN7",4,195840,"Cover Me Again","Cage The Elephant (Expanded Edition)","D major"
