"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.69,0.58,0,-4.395,1,0.199,0.0328,0,0.328,0.708,197.635,"4v7riPZWyAclrOfUSwD0zp",4,177626,"Aeropuerto","De Adentro Pa Afuera","C major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.821,0.583,7,-6.028,1,0.0472,0.318,0,0.313,0.795,132.056,"5OPte07J5hRK1pTn0f7ldr",4,212813,"Ambulancia","De Adentro Pa Afuera","G major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.589,0.642,9,-5.706,1,0.279,0.176,0,0.119,0.691,78.791,"0wIIVkpeRLjoGAYkeYXevR",4,179066,"Bebiendo Sola","De Adentro Pa Afuera","A major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.642,0.442,4,-7.217,1,0.169,0.666,0,0.281,0.869,143.457,"1ZymB4keoWbIgKYZ0RaO9b",4,197720,"5:24","De Adentro Pa Afuera","E major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.858,0.579,6,-5.252,1,0.0466,0.0251,1.93e-05,0.073,0.551,118.032,"6D5lH4GFCFLJAUlkUOUBUt",4,189680,"De Adentro Pa Afuera","De Adentro Pa Afuera","F# major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.588,0.866,8,-3.509,1,0.105,0.271,0,0.0502,0.952,178.145,"7xsew7zvk3Y5XctO2W6MnO",3,241106,"Alaska","De Adentro Pa Afuera","G# major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.891,0.506,4,-1.98,0,0.159,0.111,1.63e-05,0.0692,0.938,148.016,"2OlxJKrbyLmzAO14EgV53K",4,162880,"Naturaleza","De Adentro Pa Afuera","E minor"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.751,0.638,11,-5.569,1,0.16,0.556,0,0.357,0.791,149.943,"7mCC2SBkb5uwmQ4Ozewtbc",4,186000,"NASA","De Adentro Pa Afuera","B major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.812,0.502,1,-4.763,0,0.0632,0.15,0,0.153,0.883,90.057,"0j3ULEzS14shcTGdiYwsOI",4,160680,"Pegao","De Adentro Pa Afuera","C# minor"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.805,0.484,6,-4.984,1,0.149,0.0342,0,0.0979,0.653,143.873,"3CzgTXrAROSCB6bd1bm5mJ",4,189826,"Pesadilla","De Adentro Pa Afuera","F# major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1UTDgnpHmthIsdzSxbhpV2",2022,0.754,0.778,0,-6.663,1,0.0335,0.00948,1.61e-05,0.131,0.916,128.925,"6i28Cxd4CUiHmcowzQW38w",4,214520,"Índigo","De Adentro Pa Afuera","C major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1PuH88Md0tzB8UrnBfboJA",2021,0.791,0.649,10,-2.312,1,0.276,0.0624,0,0.184,0.951,190.087,"3YAnNBdk0uHyakXXzMbNJq",4,221749,"Millones","Mis Manos","A# major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1PuH88Md0tzB8UrnBfboJA",2021,0.889,0.756,4,-4.23,1,0.056,0.132,0,0.0996,0.918,122.905,"42lpuSQmnLUM1ZXJVzIVOi",4,177255,"KESI","Mis Manos","E major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1PuH88Md0tzB8UrnBfboJA",2021,0.562,0.309,11,-7.486,0,0.0475,0.822,0,0.344,0.497,138.472,"2f8sB9lQ6Uh1lKKWJNR9rW",4,267271,"Manos de Tijera","Mis Manos","B minor"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1PuH88Md0tzB8UrnBfboJA",2021,0.641,0.728,0,-2.716,1,0.0953,0.198,0,0.084,0.765,183.909,"5uzAnGIbuAIpaBHQ02X1uN",4,193466,"Mareado","Mis Manos","C major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1PuH88Md0tzB8UrnBfboJA",2021,0.626,0.535,0,-5.327,1,0.0408,0.59,0,0.172,0.848,77.984,"4msyEItsAavVb5pZYCuz4n",3,200945,"Tuyo y Mío","Mis Manos","C major"
"Camilo","28gNT5KBp7IjEOQoevXf9N","1PuH88Md0tzB8UrnBfboJA",2021,0.779,0.635,0,-3.51,1,0.0624,0.176,0,0.0549,0.517,89.032,"5hXlAWrc8L8hYhxUnXlqFf",4,177698,"Rolex","Mis Manos","C major"
