"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","01FwpQP88PwU2y2LZATUQc",2024,0.542,0.234,-11.592,0.0596,0.962,0.903,0.468,0.553,85.697,"3jp7bWwjb2s7Otyewb1Kc7",4,510767,"Funk in Deep Freeze","Signature","F minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","01FwpQP88PwU2y2LZATUQc",2024,0.581,0.227,-11.568,0.0437,0.921,0.75,0.111,0.357,138.999,"5c88GSsMi8toNlmWxZtOAo",4,645745,"How Deep Is the Ocean","Signature","F minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","7j7hiOIOahK83NxkbhKewx",2024,0.667,0.518,-8.941,0.0465,0.802,0.908,0.101,0.65,93.927,"5YttJksUhxLzWFpF9RVukG",4,196200,"Spinning Wheel","Sounds of the City","D minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","7j7hiOIOahK83NxkbhKewx",2024,0.501,0.25,-15.752,0.0406,0.806,0.00109,0.145,0.595,95.178,"5TpXQPyCPGjJ6AU6QkcMa4",4,513560,"Jordu","Sounds of the City","C minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","6ixxTaomYhDBVdm6A4qmKo",2023,0.498,0.0311,-26.416,0.0548,0.948,0.182,0.291,0.272,112.444,"33lZ1ZJLmJ1XSjtFqiWiLm",4,404375,"In a sentimental mood","Chet on Poetry","D minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","6ixxTaomYhDBVdm6A4qmKo",2023,0.644,0.319,-17.104,0.0329,0.671,0.0533,0.08,0.311,90.22,"38LR3tNJcq3Ztm9QkpUl0n",4,377791,"The party is over","Chet on Poetry","G minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","6ixxTaomYhDBVdm6A4qmKo",2023,0.334,0.203,-20.847,0.0518,0.637,0.0427,0.0791,0.132,86.652,"1BwYjmu0TA92aG5okzMEuo",4,307810,"With sadness","Chet on Poetry","C major"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","6ixxTaomYhDBVdm6A4qmKo",2023,0.386,0.0496,-24.62,0.0485,0.98,0.000758,0.121,0.11,75.846,"4wykEYjfIdGBoZ22OKEKtE",3,97234,"Like the precedent","Chet on Poetry","B minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","6ixxTaomYhDBVdm6A4qmKo",2023,0.399,0.145,-24.333,0.0442,0.769,0.0193,0.237,0.322,97.217,"03TDK9TJAx4GEFaHPyNkGB",4,260914,"Deep Arabesque","Chet on Poetry","F major"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","6ixxTaomYhDBVdm6A4qmKo",2023,0.385,0.0122,-28.811,0.0347,0.962,0.278,0.11,0.109,105.715,"2TvvypFABr65clA6O68qfn",3,204277,"Almost blue","Chet on Poetry","A minor"
"Chet Baker","3rxeQlsv0Sc2nyYaZ5W71T","6ixxTaomYhDBVdm6A4qmKo",2023,0.324,0.0303,-26.433,0.0707,0.992,0.663,0.0587,0.558,63.21,"4DtBUtzc9UBU6N3zSpka75",4,192661,"Waiting for Chet","Chet on Poetry","C minor"
