"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.514,0.928,5,-6.226,1,0.0655,0.0577,0.000277,0.976,0.907,149.919,"5VtOWeq49Xk8lNcvNK0qkH",4,189466,"Roll Over Beethoven (Live from Blueberry Hill)","Live From Blueberry Hill","F major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.606,0.871,8,-4.024,1,0.248,0.305,0,0.943,0.817,78.711,"1SI7XWopPPhQunvtHuZlIo",4,146973,"Rock And Roll Music (Live from Blueberry Hill)","Live From Blueberry Hill","G# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.532,0.831,0,-4.858,1,0.186,0.0572,0.000605,0.927,0.743,78.739,"6V78i3OyZOvBbkmXd9dajN",4,208253,"Let It Rock (Live from Blueberry Hill)","Live From Blueberry Hill","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.567,0.87,0,-6.385,1,0.133,0.496,2.73e-05,0.96,0.712,77.678,"2KeDv0gOVD8afM2NhToKqs",4,280240,"Carol / Little Queenie (Live from Blueberry Hill)","Live From Blueberry Hill","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.567,0.879,8,-5.255,1,0.173,0.199,0,0.261,0.672,74.425,"6lyg3NawEvRMwzqkOFyAM7",4,128039,"Sweet Little Sixteen (Live from Blueberry Hill)","Live From Blueberry Hill","G# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.545,0.756,7,-4.635,1,0.202,0.118,0,0.796,0.951,201.222,"6NG97ZjBc3IFSi3NvW4JFz",4,117120,"Around And Around (Live from Blueberry Hill)","Live From Blueberry Hill","G major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.584,0.944,10,-5.461,1,0.0735,0.0679,3.55e-05,0.276,0.7,76.797,"1YC3h760vBQW5xInnfgdmZ",4,159186,"Nadine (Live from Blueberry Hill)","Live From Blueberry Hill","A# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.612,0.861,4,-5.24,1,0.18,0.192,0,0.282,0.514,122.529,"7n47WJegOCzh9HUP8PlWZZ",4,151906,"Bio (Live from Blueberry Hill)","Live From Blueberry Hill","E major"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.379,0.67,11,-6.733,0,0.0581,0.276,0.00115,0.975,0.663,200.871,"3aE0i39IoZfDFINyQJ4SpC",3,247226,"Mean Old World (Live from Blueberry Hill)","Live From Blueberry Hill","B minor"
"Chuck Berry","293zczrfYafIItmnmM3coR","7e9MQMnwlh4dsIujqbIYPJ",2021,0.435,0.932,5,-3.238,1,0.258,0.649,0,0.912,0.706,156.42,"0N2asE9OgY22gq1OqESTTi",4,145080,"Johnny B. Goode (Live from Blueberry Hill)","Live From Blueberry Hill","F major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0,0.691,10,-9.23,1,0,0.668,0,0.398,0,0,"5UlOwv5UvuQmvgGWRV4JZf",0,11920,"Intro","Rockin' N Rollin' The New Year","A# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.574,0.723,7,-9.317,1,0.0867,0.193,0,0.968,0.589,125.804,"4sgJAlUDJUAq6t7LrgrXww",4,137946,"School Days","Rockin' N Rollin' The New Year","G major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.543,0.525,10,-10.581,1,0.0405,0.222,0.000146,0.971,0.368,94.768,"0hZB8zVkqRAdKPMFuvMEty",4,222066,"Memphis","Rockin' N Rollin' The New Year","A# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.394,0.821,8,-10.319,1,0.204,0.236,0,0.98,0.635,156.597,"3vLY7iMjnr7Ut2gH9KSmiB",4,89946,"Rock and Roll Music","Rockin' N Rollin' The New Year","G# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.483,0.578,4,-9.836,1,0.0474,0.0778,0.0347,0.99,0.477,94.878,"4rxyUbwxXabOz6D7Rur1IL",1,223120,"Key To the Highway","Rockin' N Rollin' The New Year","E major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.447,0.747,0,-9.354,1,0.0592,0.112,0.00706,0.72,0.546,107.162,"0uFCDdEaDZ2XOxBRrbw1nL",4,259506,"Mojo Hand","Rockin' N Rollin' The New Year","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.373,0.479,2,-10.741,1,0.0567,0.385,0.000471,0.959,0.313,183.746,"2BFBH7ZUBRV5hLU500rthN",3,149106,"Tell Me You Love Me","Rockin' N Rollin' The New Year","D major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.608,0.867,5,-9.724,0,0.0719,0.0406,9.44e-05,0.61,0.66,145.092,"6Y3zCkvjXIbXQ3dhBejvDA",4,159920,"Nadine","Rockin' N Rollin' The New Year","F minor"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.367,0.722,7,-9.201,1,0.106,0.096,2.3e-05,0.957,0.648,194.102,"0SMrpJOOFAG2UojWzwRK1A",4,138053,"Around and Around","Rockin' N Rollin' The New Year","G major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.386,0.789,0,-9.509,1,0.0938,0.136,2.95e-06,0.776,0.606,76.589,"7c0CDeUNdJTBf9jxy1pSz6",4,300080,"Medley: Carol & Little Queenie","Rockin' N Rollin' The New Year","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","6R6JAtw3RWeVQZ7FN8qQLL",2020,0.284,0.73,7,-9.84,1,0.0529,0.00277,1.83e-05,0.887,0.71,152.735,"2JkddUe1TV2t85jJNBouu2",4,765893,"Reelin' and Rockin'","Rockin' N Rollin' The New Year","G major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.633,0.946,8,-4.743,1,0.0945,0.205,6.3e-05,0.169,0.84,146.193,"7haa1OiUzkZGn3uAZrNbTm",4,319798,"Wonderful Woman","CHUCK","G# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.559,0.963,0,-4.257,1,0.146,0.0515,0,0.117,0.709,161.905,"5H10PQhFucQTV7mEyy9UDE",4,185845,"Big Boys","CHUCK","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.422,0.549,1,-8.372,1,0.0504,0.378,5.96e-06,0.277,0.594,74.837,"7zzARiUc6cjzydq83m7KXz",1,201125,"You Go To My Head","CHUCK","C# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.518,0.801,0,-5.959,1,0.204,0.732,0.0015,0.575,0.847,171.665,"3iOV7SiVpHOyrptAc6TmSS",3,227292,"3/4 Time (Enchiladas)","CHUCK","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.642,0.528,1,-7.168,1,0.0299,0.707,4.41e-06,0.101,0.651,120.035,"0JsI0rD1uLNTo7cLypplgi",3,200373,"Darlin'","CHUCK","C# major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.587,0.952,5,-3.522,1,0.109,0.021,0,0.302,0.868,154.985,"0JglaWqH9qqgPC7VHB6pQ4",4,175560,"Lady B. Goode","CHUCK","F major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.603,0.674,7,-6.019,1,0.0335,0.52,0,0.244,0.831,78.488,"57zpt1uwtev6ZfntbrW2EL",4,180926,"She Still Loves You","CHUCK","G major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.757,0.712,0,-7.079,1,0.0481,0.347,0,0.122,0.871,109.117,"1yNNaa6mZ3FyD5Plwj5W74",4,230214,"Jamaica Moon","CHUCK","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.763,0.564,7,-7.766,0,0.153,0.511,0,0.103,0.889,132.155,"6XXdUGxYaYNzF29kXSd7jo",4,227606,"Dutchman","CHUCK","G minor"
"Chuck Berry","293zczrfYafIItmnmM3coR","3uNmcufmWD4hR1cqhXclMI",2017,0.384,0.464,0,-8.754,1,0.064,0.641,0.000491,0.123,0.367,71.994,"4AxFkjSJFoBIuUfmcWRQxq",4,147177,"Eyes Of Man","CHUCK","C major"
"Chuck Berry","293zczrfYafIItmnmM3coR","1DILNh7maaYyKxe15V9xLq",1986,0.681,0.715,7,-10.609,0,0.0912,0.812,9.43e-06,0.0777,0.957,152.132,"2pnPe4pJtq7689i5ydzvJJ",4,165733,"Run Rudolph Run","Rock 'N' Roll Rarities","G minor"
