"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.414,0.369,6,-9.606,1,0.0262,0.453,0.501,0.0985,0.17,96.722,"4b3khTm3ufGRTyZwuYdasn",3,262560,"Don't Let Me Go","Cry","F# major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.521,0.298,4,-12.474,1,0.026,0.754,0.46,0.11,0.232,80.388,"2UKvxuMTM7JwprZrnpxgY1",4,269933,"Kiss It Off Me","Cry","E major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.535,0.437,8,-9.187,1,0.0248,0.669,0.688,0.11,0.127,105.22,"70YTBH8vOGJNMhy6186yFm",4,286773,"Heavenly","Cry","G# major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.454,0.287,5,-11.202,1,0.0289,0.779,0.753,0.131,0.054,130.637,"37xXDxPzfk5lnU8aNSRXfw",4,275186,"You're the Only Good Thing In My Life","Cry","F major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.483,0.5,6,-9.403,1,0.0241,0.354,0.912,0.103,0.368,95.981,"1l4pW7Tklvcc3k38rDFMkk",4,292853,"Touch","Cry","F# major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.453,0.227,5,-12.418,0,0.0285,0.712,0.468,0.108,0.161,125.984,"4SjEdGI6Otmo5DRxAXKS9o",4,285146,"Hentai","Cry","F minor"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.406,0.399,7,-10.449,1,0.0278,0.756,0.678,0.112,0.163,142.83,"3p4hRhMcb6ch8OLtATMaLw",4,256799,"Cry","Cry","G major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.472,0.27,7,-11.649,1,0.027,0.729,0.0158,0.125,0.373,140.673,"0O0bttAxJKKWqAqY2Nq4mC",4,245840,"Falling In Love","Cry","G major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","4uQ5kFmXQdCxz3WvM4UUzy",2019,0.537,0.211,6,-13.477,0,0.0312,0.557,0.804,0.101,0.0399,134.475,"0byw9oyQKnZ1fUWHfLQ9Wq",3,254626,"Pure","Cry","F# minor"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","2mxFsS5yylSTHNivV53HoA",2017,0.454,0.4,3,-10.261,1,0.0265,0.139,0.846,0.137,0.327,93.719,"1FWsomP9StpCcXNWmJk8Cl",4,320030,"K.","Cigarettes After Sex","D# major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","2mxFsS5yylSTHNivV53HoA",2017,0.378,0.533,10,-8.843,1,0.0279,0.479,0.508,0.131,0.285,75.927,"2hIsd0F6ZGfHCC1xa7vSad",4,290630,"Each Time You Fall in Love","Cigarettes After Sex","A# major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","2mxFsS5yylSTHNivV53HoA",2017,0.405,0.479,5,-9.396,1,0.0301,0.0527,0.795,0.0974,0.131,75.37,"0SpkyS1Q4MD8GaVcP5YjT4",4,215150,"Sunsetz","Cigarettes After Sex","F major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","2mxFsS5yylSTHNivV53HoA",2017,0.37,0.467,5,-9.013,1,0.0273,0.0205,0.572,0.109,0.182,94.485,"0yc6Gst2xkRu0eMLeRMGCX",4,290616,"Apocalypse","Cigarettes After Sex","F major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","2mxFsS5yylSTHNivV53HoA",2017,0.561,0.367,0,-10.35,0,0.0246,0.373,0.831,0.0989,0.125,73.993,"6VJYENs5BugMc1dCVepivD",4,274576,"Flash","Cigarettes After Sex","C minor"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","2mxFsS5yylSTHNivV53HoA",2017,0.45,0.511,6,-9.073,1,0.0276,0.353,0.766,0.139,0.115,96.563,"6ilc4vQcwMPlvAHFfsTGng",4,292110,"Sweet","Cigarettes After Sex","F# major"
"Cigarettes After Sex","1QAJqy2dA3ihHBFIHRphZj","2mxFsS5yylSTHNivV53HoA",2017,0.361,0.291,5,-14.148,1,0.0338,0.722,0.837,0.0971,0.0708,115.999,"6XdoudbyF67XLcwarEPy0L",4,365150,"Opera House","Cigarettes After Sex","F major"
