"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.326,0.322,5,-20.192,1,0.0337,0.887,0.841,0.116,0.0651,89.657,"1a3G9SNslcKsPAOuIikaxd",4,53184,"🪐","Music Of The Spheres","F major"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.507,0.832,10,-5.931,1,0.0425,0.00643,1.6e-05,0.229,0.485,177.894,"65OR4ywy8Cgs3FDHK82Idl",4,206681,"Higher Power","Music Of The Spheres","A# major"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.575,0.838,2,-6.498,1,0.0454,0.000172,0.000103,0.458,0.215,135.006,"23BO6YozrAXUta1buxFZ80",4,266704,"Humankind","Music Of The Spheres","D major"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.0859,0.289,5,-17.24,0,0.0359,0.805,0.99,0.141,0.038,166.784,"1danObd53GynoY83wRz3Ua",4,53033,"✨","Music Of The Spheres","F minor"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.592,0.342,0,-8.93,1,0.0339,0.193,0.00245,0.11,0.155,130.953,"4cGqn0E8JCSY9gQllQj4Mf",4,241595,"Let Somebody Go","Music Of The Spheres","C major"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.348,0.0491,4,-15.431,1,0.0404,0.97,0.000186,0.0918,0.232,136.68,"3oTYv0yShT4sjuPncoUXfK",1,188966,"❤️","Music Of The Spheres","E major"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.432,0.613,4,-6.785,0,0.0349,0.00581,0.0151,0.312,0.0911,136.362,"5ophZLHA9mwSZhQSmboyDN",4,217266,"People of The Pride","Music Of The Spheres","E minor"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.614,0.68,5,-7.84,0,0.0425,0.0168,0.00056,0.118,0.347,153.937,"2L2mM3rEO3arNIMQnb3dou",4,192394,"Biutyful","Music Of The Spheres","F minor"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.115,0.907,3,-20.358,1,0.223,0.969,0.981,0.98,0.0185,189.885,"0RbekAlUrwR6ZWJdwB3V4y",3,21388,"🌎","Music Of The Spheres","D# major"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.573,0.711,1,-6.268,0,0.0406,0.0114,0,0.328,0.47,105.006,"46HNZY1i7O6jwTA7Slo2PI",4,226198,"My Universe","Music Of The Spheres","C# minor"
"Coldplay","4gzpq5DPGxSnKTe4SA8HAU","06mXfvDsRZNfnsGZvX2zpb",2021,0.576,0.896,2,-8.994,1,0.0412,0.00941,0.955,0.153,0.412,135.01,"2wleRXcIPqltoDPLMH5WDa",4,226140,"♾","Music Of The Spheres","D major"
