"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.959,0.861,-4.607,0.128,0.0584,0,0.0545,0.967,130.942,"20tBWGIeEz9Kmq3crShRuT",4,251866,"Shake It Up","El Cool Magnifico","C# minor"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.888,0.715,-5.864,0.278,0.0297,0,0.0697,0.796,100.758,"5Ok7KLQqiNswf8MJzC0N4H",4,220346,"Gangbangers","El Cool Magnifico","A major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.784,0.54,-4.476,0.0863,0.0665,0,0.109,0.436,96.868,"1gs8KhpJZPNtCBbQShVrox",4,240933,"What Is A MC","El Cool Magnifico","C major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.654,0.706,-4.937,0.275,0.0438,0,0.0812,0.514,95.644,"0FzJDmsgeEbqd9TNNf3idq",4,242893,"Show Me Love","El Cool Magnifico","C# major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.942,0.862,-4.31,0.0769,0.0132,6.12e-06,0.0748,0.825,118.045,"0g6VJ0RGG8j31OWwxeMTb4",4,221813,"Ghetto Square Dance","El Cool Magnifico","F# major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.852,0.54,-5.729,0.0933,0.192,0.0267,0.0758,0.329,100.004,"5NwraxdNnf6HrwSg2tUox9",4,294840,"I Like Girls","El Cool Magnifico","A# minor"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.816,0.863,-3.631,0.2,0.0689,0,0.0152,0.589,100.864,"5DqU5h5P10jvywcaYabWEV",4,228026,"Still Be Mine","El Cool Magnifico","A major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.511,0.798,-6.1,0.0644,0.169,0,0.14,0.273,75.98,"1azGCUTwH0Qf24uMQVFkKG",4,330440,"Sunshine","El Cool Magnifico","G# major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.91,0.509,-4.201,0.201,0.0198,3.98e-05,0.107,0.787,106.032,"2KB005MpaBXhgTAUvqdl5h",4,204133,"Island Hop","El Cool Magnifico","F minor"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.872,0.735,-4.994,0.283,0.0623,0,0.217,0.475,99.968,"3ii45gwtRvoLKLfNS2QjCU",4,214946,"The Hustler","El Cool Magnifico","G# major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.881,0.864,-4.299,0.0943,0.0155,0,0.336,0.757,109.113,"6m1p5ZvTQR5nMqxAZaIXAu",4,220653,"The Partay","El Cool Magnifico","F# major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.798,0.644,-6.152,0.0677,0.00094,0.00158,0.302,0.459,140.606,"5iJQrxUh3HrjzPi0NgP9oO",4,305866,"Somebody's Gotta Die","El Cool Magnifico","D# minor"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.92,0.58,-5.845,0.364,0.0042,0,0.404,0.438,95.145,"7mhrxEzM3BVkFzpk103tlV",4,256400,"Hear Me Now","El Cool Magnifico","C# major"
"Coolio","3y24n3XhZ96wgwRXjvS17T","2ElUUsb3ANFnesHhEhsxJ7",2002,0.946,0.779,-3.562,0.265,0.0419,0,0.0822,0.922,98.636,"4T6aWvcLw9DApVt546FE6z",4,228306,"Knockout Kings","El Cool Magnifico","C# major"
