"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.889,0.72,1,-4.05,1,0.176,0.0164,0,0.0746,0.372,143.806,"5aY8pxe3u3rl98FopxIrYI",4,83364,"DROP DAT DISS","Baby On Baby 2","C# major"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.785,0.673,1,-6.206,1,0.291,0.0589,0,0.766,0.386,145.943,"6L0rK2juHEuBLGrWuk6XBY",4,126646,"BOOGEYMAN","Baby On Baby 2","C# major"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.892,0.53,1,-6.564,1,0.62,0.0543,0,0.151,0.492,140.969,"060dZ7q9HN8nAS2zn2hwo5",4,171123,"SOCKS","Baby On Baby 2","C# major"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.9,0.523,8,-5.209,0,0.37,0.129,0,0.288,0.897,123.95,"5y2URMhsmlq61BnLEshtso",4,103898,"NO CONDOM","Baby On Baby 2","G# minor"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.909,0.636,1,-3.965,1,0.327,0.0447,0,0.296,0.535,138.004,"1YAg60LPOdZvdnr3jYNXz7",4,83524,"SUMMA DAT","Baby On Baby 2","C# major"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.734,0.66,8,-6.325,1,0.0634,0.091,1.71e-06,0.343,0.363,134.972,"4OAzzSZjuXlLEGMdPIyl2B",4,149117,"STILL","Baby On Baby 2","G# major"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.856,0.834,1,-4.088,0,0.249,0.0738,0,0.314,0.816,139.941,"2xL24f7CkmtEsV1QeJkJjv",4,123167,"ACT THAT HARD","Baby On Baby 2","C# minor"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.843,0.701,7,-4.564,0,0.33,0.0689,0,0.128,0.723,140.015,"6coPF7BM2xaMhZum2ohu4p",4,136921,"KEEP IT CUTE","Baby On Baby 2","G minor"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.899,0.728,4,-4.681,0,0.159,0.0717,0,0.586,0.74,118.11,"4qMMZ0Bh5sA6Gb3QrcD2Bp",4,133220,"ONE MAN ARMY","Baby On Baby 2","E minor"
"DaBaby","4r63FhuTkUYltbVAg5TQnk","6x5UJEgPpRGdXjpeRY5QSz",2022,0.758,0.606,5,-6.941,0,0.37,0.00636,0,0.143,0.487,76.005,"4g6wGjvkEa9XDuJGw84Krs",4,75627,"CALL OF DUTY","Baby On Baby 2","F minor"
