"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.549,0.481,9,-11.245,0,0.0595,0.124,0.42,0.135,0.802,118.954,"3HmKTOTV4sxvQocdkDdb0u",4,275520,"Give Life Back to Music (Drumless Edition)","Random Access Memories (Drumless Edition)","A minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.575,0.396,9,-14.872,0,0.0548,0.932,0.194,0.107,0.378,179.903,"5ji1dPNLh6c9mvK7XoNOjM",4,322306,"The Game of Love (Drumless Edition)","Random Access Memories (Drumless Edition)","A minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.589,0.538,9,-13.064,0,0.0519,0.272,0.623,0.384,0.552,113.075,"30rdWWtFS20ROidDcitfHf",4,545520,"Giorgio by Moroder (Drumless Edition)","Random Access Memories (Drumless Edition)","A minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.592,0.196,10,-16.833,0,0.0355,0.947,0.488,0.118,0.049,110.11,"28ghWbRd3ZlaeYdKklfQDJ",4,228493,"Within (Drumless Edition)","Random Access Memories (Drumless Edition)","A# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.487,0.505,10,-10.184,0,0.0305,0.498,0.779,0.0865,0.202,137.191,"2jmKcUO1mjqU4uypiDvpny",5,337400,"Instant Crush (Drumless Edition) (feat. Julian Casablancas)","Random Access Memories (Drumless Edition)","A# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.671,0.725,10,-7.587,0,0.0621,0.385,0.000845,0.0784,0.912,199.844,"0kad6OnJfgIEplpjja5jfl",4,354400,"Lose Yourself to Dance (Drumless Edition) (feat. Pharrell Williams)","Random Access Memories (Drumless Edition)","A# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.208,0.338,6,-13.77,0,0.0571,0.717,0.159,0.0811,0.159,69.515,"64xYUSFAQhkXL9bWZfvgDV",3,499813,"Touch (Drumless Edition) (feat. Paul Williams)","Random Access Memories (Drumless Edition)","F# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.854,0.578,6,-10.602,0,0.0452,0.358,0,0.0861,0.845,116.052,"2jyjdujFPnzqtCr3229yls",4,369746,"Get Lucky (Drumless Edition) (ft. Pharrell Williams and Nile Rodgers)","Random Access Memories (Drumless Edition)","F# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.432,0.442,8,-12.891,0,0.0351,0.861,0.757,0.383,0.716,103.998,"4MeKGdl7CImLdWxvjB9lTa",4,290333,"Beyond (Drumless Edition)","Random Access Memories (Drumless Edition)","G# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.511,0.453,4,-17.414,0,0.0371,0.906,0.894,0.663,0.13,102.902,"444SlMZ9mcxTHiB7J1H6IF",4,341853,"Motherboard (Drumless Edition)","Random Access Memories (Drumless Edition)","E minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.864,0.347,0,-11.208,1,0.037,0.719,0.00281,0.0864,0.733,129.984,"6XRP3yOrS9tgLVwIOL5Oit",4,279920,"Fragments of Time (Drumless Edition) (feat. Todd Edwards)","Random Access Memories (Drumless Edition)","C major"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.875,0.313,6,-8.919,1,0.0979,0.925,0,0.554,0.361,89.019,"4wUZgNANjM4GqDJSOJkytV",4,251426,"Doin' it Right (Drumless Edition) (feat. Panda Bear)","Random Access Memories (Drumless Edition)","F# major"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","5AFf68gtvNgGLZarsyEEL8",2023,0.301,0.691,11,-9.232,0,0.0464,0.176,0.896,0.0741,0.132,124.159,"3RCYGIVLV33JCNwzMVyWMI",4,383506,"Contact (Drumless Edition)","Random Access Memories (Drumless Edition)","B minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.146,0.135,4,-17.494,0,0.0367,0.94,0.845,0.172,0.0392,84.855,"1kOPoZDgQean1ecxJT0GIT",3,127693,"Horizon Ouverture","Random Access Memories (10th Anniversary Edition)","E minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.551,0.274,4,-15.865,0,0.0282,0.0289,0.925,0.112,0.129,110.181,"6iZRqJjpbOVEv4mFTpqg1d",4,262560,"Horizon (Japan CD)","Random Access Memories (10th Anniversary Edition)","E minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.764,0.558,9,-10.856,0,0.0342,0.00325,0.815,0.0677,0.349,119.004,"6QxktTtoOGxB8vrD7LQjm5",4,381666,"GLBTM (Studio Outtakes)","Random Access Memories (10th Anniversary Edition)","A minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.636,0.635,1,-10.532,1,0.0534,0.11,0.643,0.61,0.192,110.031,"4r4fX4NZIqVIhGyDvERp0l",4,239213,"Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz]","Random Access Memories (10th Anniversary Edition)","C# major"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.704,0.664,6,-12.664,0,0.0605,0.328,0.76,0.075,0.371,116.069,"4v1pwKLYGnW6RMLzdp3x4k",4,32893,"GL (Early Take) [feat. Pharrell Williams and Nile Rodgers]","Random Access Memories (10th Anniversary Edition)","F# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.485,0.75,9,-10.847,0,0.0348,0.273,0.946,0.672,0.431,117.013,"1iAsoOFV16Ax6OFKMq8sld",4,286400,"Prime (2012 Unfinished)","Random Access Memories (10th Anniversary Edition)","A minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.827,0.473,10,-9.411,0,0.0541,0.218,0.000121,0.106,0.719,100.017,"3PgYTZHsdWp4C21bQ8zxvM",4,128440,"LYTD (Vocoder Tests) [feat. Pharrell Williams]","Random Access Memories (10th Anniversary Edition)","A# minor"
"Daft Punk","4tZwfgrHOc3mvqYlEYSvVi","4mAhdh996uW5SnnFKXUmC0",2023,0.916,0.406,0,-12.322,1,0.227,0.0227,2.93e-05,0.33,0.611,130.026,"6JiQWzHFGbnW9aY3yUHO4b",4,497146,"The Writing of Fragments of Time (feat. Todd Edwards)","Random Access Memories (10th Anniversary Edition)","C major"
