"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.551,0.973,-5.207,0.0599,0.0808,0,0.454,0.755,110.785,"2GyQ9J5tDyOUPDuXyaNdEt",4,304506,"Romeo Is Bleeding","Marigold Sky","E minor"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.607,0.728,-8.652,0.0266,0.244,3.39e-05,0.122,0.618,136.159,"5WpVdKUvwJzsDsAUc49RQg",4,300266,"Marigold Sky","Marigold Sky","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.625,0.613,-6.445,0.0265,0.29,0,0.221,0.603,96.075,"0n0SVp1Dculz8LxO8DmOXV",4,282520,"The Sky Is Falling","Marigold Sky","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.447,0.663,-8.814,0.0392,0.0981,2.09e-06,0.0991,0.73,188.455,"50Wx5sJyl1062CB4dXm6BR",4,263026,"Out of the Blue","Marigold Sky","D major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.649,0.817,-7.432,0.0542,0.278,0.00257,0.0933,0.862,168.138,"5wfP3uL5XFTvrXPAiTr5Tz",4,293173,"Want To","Marigold Sky","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.636,0.842,-7.538,0.032,0.238,0.000358,0.159,0.87,116.143,"4xYAZ1UaeqAzyvSgnXacCh",4,236906,"Love out Loud","Marigold Sky","G major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.58,0.49,-6.506,0.0269,0.413,0,0.0756,0.343,141.777,"52vEVaNgIUlNFAvdUqf6Pv",3,340933,"Throw the Roses Away","Marigold Sky","D major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.661,0.472,-9.302,0.0435,0.709,0.00216,0.115,0.601,174.239,"4UCwMoiGNHNkjQwqt6m4Rp",4,244693,"I Don't Think So","Marigold Sky","A major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.754,0.532,-6.843,0.0282,0.409,0,0.0698,0.292,82.012,"4sQMDMxdZ92yghOUlm8wYF",4,348546,"Promise Ain't Enough","Marigold Sky","A major"
"Daryl Hall & John Oates","77tT1kLj6mCWtFNqiOmP9H","54ulCzfsXM4WXdvvaz262J",2022,0.547,0.696,-8.301,0.0752,0.272,0,0.0489,0.961,168.188,"0zWN8HFC0j7TnThIEh0yeC",4,312453,"Time Won't Pass Me By","Marigold Sky","D major"
