"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.653,0.886,9,-8.237,0,0.0685,0.0778,0.236,0.126,0.0638,124.004,"1wbQbpNwQzcrgphXzWcgw7",4,308709,"Alive (feat. The Moth & The Flame)","Kx5","A minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.667,0.956,6,-5.563,1,0.287,0.00385,0.0184,0.303,0.17,129.991,"4B09c7LQP0c8lno8idZamQ",4,279692,"Sacrifice","Kx5","F# major"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.659,0.798,9,-6.933,0,0.0749,0.175,0.000379,0.708,0.15,126.064,"3VpxEo6vMpi4rQ6t2WVVkK",4,240445,"Escape (feat. Hayla)","Kx5","A minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.682,0.845,4,-6.509,0,0.102,0.00608,0.00151,0.132,0.305,122.925,"7hz4FnANJOY7tR8eutPxIP",4,203255,"Bright Lights (feat. AR/CO)","Kx5","E minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.788,0.679,9,-7.684,0,0.0433,0.185,0.0486,0.107,0.179,122.037,"6HIAIAWnanFhBtmIjtAtAr",4,216230,"pwdr Blu (feat. Brother.)","Kx5","A minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.678,0.842,4,-7.693,0,0.0453,0.0696,0.18,0.0738,0.0503,125.969,"546NI3CItAWlyk2LT3Vspw",4,207957,"When I Talk","Kx5","E minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.819,0.827,11,-5.559,0,0.131,0.131,0.298,0.155,0.0323,126.02,"52ZIGf5Fvy8PpxZGAnsvs7",4,270518,"Eat Sleep (feat. Richard Walters)","Kx5","B minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.713,0.77,10,-6.173,0,0.0417,0.00285,0.461,0.597,0.0391,127.936,"0O2C5SEIVOET80kJjHizI5",4,255000,"Take Me High","Kx5","A# minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.773,0.735,8,-6.964,1,0.0517,0.141,0.413,0.0833,0.146,125.02,"2L1l9SGzzNgtF28yjTydlj",4,261000,"Avalanche (feat. James French)","Kx5","G# major"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","7krgzxFJr9YxsmyWlO5Ubg",2023,0.484,0.754,9,-5.921,1,0.0813,0.0634,0.904,0.0932,0.19,128.194,"7hK5LzrcxkYFDrrWTL2La3",4,371544,"Unobsidian","Kx5","A major"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","4z65raYlwj3YSDUR5owVOn",2019,0.8,0.474,6,-10.479,0,0.109,0.499,0.907,0.16,0.0326,128.05,"49b6eu564gE04taSZXJmLu",3,450000,"Polyphobia","mau5ville: Level 3","F# minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","4z65raYlwj3YSDUR5owVOn",2019,0.79,0.961,10,-6.553,0,0.0436,0.363,0.891,0.36,0.644,127.981,"5uEV4hGr5MUZ0u49sSqItH",3,315000,"Glivch","mau5ville: Level 3","A# minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","4z65raYlwj3YSDUR5owVOn",2019,0.812,0.844,10,-5.104,0,0.343,0.101,9.86e-05,0.313,0.934,85.008,"1jlfeteSyjUxjUTHQP1Bjo",4,190929,"Are You Not Afraid","mau5ville: Level 3","A# minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","4z65raYlwj3YSDUR5owVOn",2019,0.413,0.139,0,-15.103,1,0.054,0.668,0.00143,0.112,0.141,124.633,"4LFKslT8L54HXuvImsHygU",4,232105,"Hurricane","mau5ville: Level 3","C major"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","4z65raYlwj3YSDUR5owVOn",2019,0.797,0.538,9,-8.81,1,0.105,0.0164,0.907,0.108,0.133,128.019,"7qFoQSGoiLI8WgDymBWHYX",4,331875,"Quests with Time Limits","mau5ville: Level 3","A major"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","4z65raYlwj3YSDUR5owVOn",2019,0.753,0.943,8,-7.479,0,0.0491,0.00196,0.907,0.0777,0.524,125.007,"1h5i8JJ7krQCtZ8OAUqQ7H",4,403200,"Over","mau5ville: Level 3","G# minor"
"deadmau5","2CIMQHirSU0MQqyYHq0eOx","3SnEK6pCU5qFtnLXSbZT6i",2019,0.683,0.429,5,-15.296,1,0.0673,0.757,0.955,0.102,0.0369,128.206,"3krWRyf1vyM2RalO4mHmdh",4,105000,"somb","Polar (Music from the Netflix Film)","F major"
