"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.736,0.935,11,-2.422,1,0.165,0.0237,0,0.198,0.604,142.038,"4bjyN1jFFC43cSTPtxqWpt",4,141126,"Okay Okay (with Eptic and IDK)","This Mixtape is Fire TOO","B major"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.699,0.838,11,-6.718,0,0.065,0.000768,0.937,0.0945,0.436,128.01,"0cG1SEiE6TDDF3ud4efEOx",4,123750,"Killa Blues (with Maesic)","This Mixtape is Fire TOO","B minor"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.737,0.925,1,-2.223,1,0.0553,0.0187,0.0345,0.0302,0.706,125.03,"0TmhJ7ONP37HojNqkoCsfp",4,158998,"Can't Stop Me Now (with WILL K)","This Mixtape is Fire TOO","C# major"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.839,0.915,2,-3.521,1,0.141,0.0504,0.679,0.0845,0.861,121.96,"4nVTKZDTJz7BwbsweAKXjf",4,143606,"Mind Yo Bizness","This Mixtape is Fire TOO","D major"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.735,0.628,9,-6.726,0,0.0346,0.00594,0.0411,0.196,0.413,121.972,"4feAKLuq3ShnAA84HcUFvf",4,164286,"Rainy (with REI AMI)","This Mixtape is Fire TOO","A minor"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.424,0.861,1,-5.773,1,0.0456,0.277,0.849,0.116,0.594,127.004,"61nIe3FaqSOGtWdL1dsHCc",4,206998,"On A Trip (with Marten Hørger)","This Mixtape is Fire TOO","C# major"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.599,0.941,6,-2.925,1,0.265,0.000971,0.00103,0.363,0.419,140.16,"74uqyov78bIxeAKlPRbgET",4,169285,"GAS (with TV Noise)","This Mixtape is Fire TOO","F# major"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.579,0.899,7,-4.875,0,0.0315,0.016,0.0105,0.0771,0.308,134.995,"1ep6gXaX8xFLrQJBgDjblX",3,192016,"I'm My Only Friend (feat. Arden Jones)","This Mixtape is Fire TOO","G minor"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.741,0.96,11,-3.944,0,0.0686,0.00582,0.787,0.325,0.356,125.994,"6lNYE1wSCTtBxFvcdUAymQ",4,239047,"buttons! (with Knock2)","This Mixtape is Fire TOO","B minor"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.74,0.925,6,-2.335,1,0.0982,0.000385,0.0965,0.191,0.218,126.008,"27f6xryEX9cpY0v1mbU83W",4,198095,"Free (with Alesso and Clementine Douglas)","This Mixtape is Fire TOO","F# major"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.8,0.917,4,-2.928,0,0.0838,0.0286,0.87,0.352,0.45,111.968,"4PeVpRd3AtPSEhGKhrTR55",4,143606,"LA On Acid (with Good Times Ahead)","This Mixtape is Fire TOO","E minor"
"Dillon Francis","5R3Hr2cnCCjt220Jmt2xLf","5H1GCTOowyeZzBVBddvdFD",2023,0.779,0.853,0,-6.634,1,0.0432,0.0401,0.0431,0.103,0.517,130.013,"34byviA7fqYwrnx2bctSVi",4,149771,"Pretty People (feat. INJI)","This Mixtape is Fire TOO","C major"
