"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","29bm24DTwhCunUSVYbtXFT",2020,0.694,0.758,-2.986,0.218,0.278,1.34e-06,0.102,0.371,192.091,"2cb5ytodUZ7iTEua8wal6P",4,185194,"Loco Contigo (with J. Balvin & Tyga)","Carte Blanche (Deluxe)","B major"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","29bm24DTwhCunUSVYbtXFT",2020,0.571,0.94,-3.637,0.0883,0.0114,0.0128,0.572,0.555,149.959,"3R66wUZIEdERFwwV5OlheX",4,252800,"Southside (with Eptic)","Carte Blanche (Deluxe)","C# major"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.224,0.644,-7.276,0.0386,0.00407,0.252,0.537,0.0387,149.822,"6lg0Md3xQ7U5EYAcsnysiv",4,204800,"Butterfly Effect","Carte Blanche","F minor"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.562,0.985,-1.869,0.0716,0.00124,0.846,0.886,0.358,150.069,"3xBEwwc1zwGpOFtkp5HVkB",4,225600,"Quiet Storm (with Zomboy)","Carte Blanche","C# major"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.595,0.952,-1.892,0.042,0.0269,0.671,0.109,0.59,159.996,"0pSL76Z9uhRAfFd09VmF24",4,231037,"When The Lights Go Down","Carte Blanche","F minor"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.735,0.681,-7.655,0.0947,0.244,0.000517,0.111,0.431,113.966,"2zzwSQ5xhBsZ5FoYv4IS82",4,214736,"Recognize (feat. Majid Jordan)","Carte Blanche","G# major"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.809,0.716,-8.434,0.0459,0.0175,0.00102,0.13,0.563,120.046,"1j4MPw77pRZ77fMBuaRCZl",4,166000,"No More (feat. ZHU)","Carte Blanche","E minor"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.836,0.949,-4.127,0.0786,0.00295,0.247,0.0542,0.506,126.007,"0E3L4BNuUlZyvcZyySTfKr",4,251428,"Made In France (with Tchami & Malaa, feat. Mercer)","Carte Blanche","B minor"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.785,0.726,-4.209,0.0387,0.0739,4.01e-06,0.316,0.181,119.963,"5w8wL9IpVlOerzOzOvkjvG",4,248053,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)","Carte Blanche","D major"
"DJ Snake","540vIaP2JwjQb9dm3aArA4","2MFS6WG6jnPAgvJpV3PehR",2019,0.402,0.82,-1.887,0.113,0.142,0,0.237,0.538,160.055,"0qczhh8fOxKyXqnaKouJyZ",4,198303,"Smile (feat. Bryson Tiller)","Carte Blanche","F minor"
