"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","2IUoE0jqkViW6gGfqLcjG2",2024,0.484,0.675,10,-5.053,0,0.0665,0.382,0,0.297,0.375,77.964,"2Ke8xquzK9JyPt6OPGBVTI",4,190613,"ACKNOWLEDGE ME","Scarlet 2 CLAUDE","A# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","2IUoE0jqkViW6gGfqLcjG2",2024,0.798,0.612,7,-8.128,1,0.0846,0.0435,0.000435,0.12,0.387,101.995,"7y73txStcKSdfI7smRFfIE",4,156240,"DISRESPECTFUL","Scarlet 2 CLAUDE","G major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","2IUoE0jqkViW6gGfqLcjG2",2024,0.944,0.653,1,-7.781,1,0.182,0.00947,0.000124,0.178,0.428,120.069,"0mxMMetknt24PVQxAHwXAZ",4,152653,"URRRGE!!!!!!!!!! (feat. A$AP Rocky)","Scarlet 2 CLAUDE","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","2IUoE0jqkViW6gGfqLcjG2",2024,0.898,0.674,1,-8.373,1,0.303,0.0255,0,0.0835,0.883,152.046,"3Vlt0DKYBK0h3Vf92nywhp",4,169066,"OKLOSER","Scarlet 2 CLAUDE","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","2IUoE0jqkViW6gGfqLcjG2",2024,0.633,0.474,9,-7.654,1,0.0311,0.452,3.25e-06,0.157,0.376,144.047,"0FdW7MEbDKdz8v5TXqcFkG",4,205933,"MASC (feat. Teezo Touchdown)","Scarlet 2 CLAUDE","A major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","2IUoE0jqkViW6gGfqLcjG2",2024,0.808,0.518,1,-8.328,0,0.456,0.183,1.33e-06,0.0326,0.515,139.037,"7oZ3BHE9ZzWS3DpjD9RBOl",4,155373,"PISS","Scarlet 2 CLAUDE","C# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","2IUoE0jqkViW6gGfqLcjG2",2024,0.735,0.593,11,-9.353,0,0.0369,0.141,0.131,0.0981,0.908,146.973,"29pWNRvG3sugJEr05GgqlQ",4,199480,"HEADHIGH","Scarlet 2 CLAUDE","B minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,99.974,"7DlZH8EiVDgQXNoj3dnyZC",4,230480,"Paint The Town Red","Scarlet","D minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.831,0.362,1,-6.085,1,0.229,0.000156,0.0162,0.168,0.313,139.941,"6vb4kCEIM7zrwuHlxFbfeB",4,195573,"Demons","Scarlet","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.804,0.656,6,-5.723,0,0.0896,0.0207,1.86e-05,0.107,0.192,150.014,"5MqauQV2PhcEFfhKtBOTua",4,192240,"Wet Vagina","Scarlet","F# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.764,0.72,7,-6.494,1,0.273,0.196,3.46e-05,0.111,0.643,91.337,"6DOphQTeNmy1gk3um8sPYC",4,152866,"Fuck The Girls (FTG)","Scarlet","G major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.854,0.808,1,-5.958,1,0.139,0.0194,2.41e-06,0.108,0.794,110.203,"18EGw1StZNDftpUcX8PM74",4,122186,"Ouchies","Scarlet","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.564,0.796,5,-2.652,0,0.351,0.184,0,0.147,0.864,153.586,"3zLwDjumhvIFFwAAZaDNPL",4,177666,"97","Scarlet","F minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.885,0.576,10,-7.17,0,0.238,0.0695,0.000235,0.0993,0.805,76.004,"15sNe8FD178zMsVz6ug0AS",4,176840,"Gun","Scarlet","A# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.933,0.533,5,-8,0,0.0585,0.027,0.00416,0.118,0.552,140.991,"032UZ3KVrzII6AE9Abnj7z",4,197493,"Go Off","Scarlet","F minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.763,0.441,1,-9.043,1,0.11,0.0343,0,0.132,0.409,145.926,"4rjQxlKAIXbEqHzjrnYZ7x",4,187400,"Shutcho","Scarlet","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.75,0.674,8,-6.128,0,0.097,0.228,8.91e-05,0.122,0.392,123.026,"7dJYggqjKo71KI9sLzqCs8",4,265360,"Agora Hills","Scarlet","G# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.472,0.79,6,-4.337,0,0.322,0.286,3.45e-06,0.0636,0.815,77.908,"5ZyQqAgrPr0cVm0VfM69Np",4,235360,"Can't Wait","Scarlet","F# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.509,0.638,9,-5.516,1,0.475,0.554,0.108,0.11,0.593,171.817,"18dR6VljfkTb47HJOQ9chv",4,198106,"Often","Scarlet","A major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.597,0.622,1,-9.593,1,0.343,0.616,0.00299,0.121,0.649,82.361,"4NW3t9GA7CyBisyoROefUs",4,236960,"Love Life","Scarlet","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.632,0.706,11,-6.127,0,0.0987,0.106,5.09e-05,0.143,0.501,85,"3qefkziLSTq2l5H1bRoea8",4,248440,"Skull And Bones","Scarlet","B minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.758,0.587,2,-6.932,1,0.244,0.13,0.0173,0.109,0.395,87.997,"56uOalQCSny79UjPrefkHy",4,275506,"Attention","Scarlet","D major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.778,0.626,0,-4.329,1,0.161,0.183,0.127,0.177,0.377,148.022,"3yeVb5di44wD6CZ2sJromR",4,205453,"Balut","Scarlet","C major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","6DmPNcfpkXBVRJsEIJY9tl",2023,0.895,0.486,1,-5.937,1,0.273,0.00449,0.00733,0.119,0.375,144.064,"1qimDZEBflJE25RXkF24Yg",4,124106,"WYM Freestyle","Scarlet","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","4XLPYMERZZaBzkJg0mkdvO",2021,0.829,0.761,10,-4.882,0,0.117,0.186,7.78e-06,0.0705,0.67,74.979,"1uQ1TZ9YIWCtBTgq09uoix",4,151506,"Up And Down","Planet Her (Deluxe)","A# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","4XLPYMERZZaBzkJg0mkdvO",2021,0.779,0.558,7,-5.523,0,0.259,0.0417,0,0.0727,0.866,91.933,"2rokN1FX25tFt7vPTFi5lB",4,168573,"Tonight (feat. Eve)","Planet Her (Deluxe)","G minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","4XLPYMERZZaBzkJg0mkdvO",2021,0.722,0.592,9,-6.718,0,0.383,0.224,0.000697,0.0714,0.828,199.719,"4jw87bP3TuCGm15g9kc64g",4,176733,"Ride","Planet Her (Deluxe)","A minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","4XLPYMERZZaBzkJg0mkdvO",2021,0.592,0.635,5,-5.351,1,0.0971,0.212,0,0.305,0.476,155.907,"5OQnuRwGJTDwk4PNq21Som",4,178960,"Why Why (feat. Gunna)","Planet Her (Deluxe)","F major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,"6Uj1ctrBOjOas8xZXGqKk4",4,172626,"Woman","Planet Her","F minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.733,0.862,7,-5.736,1,0.197,0.374,0.00247,0.131,0.536,111.076,"0CsR9Y9SnC6ZWmekmVqSHz",4,223560,"Naked","Planet Her","G major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.619,0.707,1,-5.791,1,0.0499,0.0366,7.54e-05,0.13,0.558,168.995,"2HolBGR6tpiWI80MXoV1dJ",4,212946,"Payday (feat. Young Thug)","Planet Her","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,"0W6I02J9xcqK8MtSeosEXb",4,138293,"Get Into It (Yuh)","Planet Her","G# minor"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,"3Vi5XqYrmQgOYBajMWSvCi",4,210560,"Need to Know","Planet Her","C# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.683,0.615,5,-5.737,1,0.0966,0.222,8.25e-06,0.154,0.45,77.014,"0FFsgUoFibYISzMxuGS61W",4,188893,"I Don't Do Drugs (feat. Ariana Grande)","Planet Her","F major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.734,0.45,6,-7.075,1,0.0824,0.597,7.33e-06,0.0964,0.529,135.067,"6Q9IUoBTNLHgBib1FSFGbj",4,216853,"Love To Dream","Planet Her","F# major"
"Doja Cat","5cj0lLjcoR7YOSnhnX0Po5","1nAQbHeOWTfQzbOoFrvndW",2021,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,"0k4d5YPDr1r7FX77VdqWez",4,186173,"You Right","Planet Her","G# major"
