"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.687,0.761,9,-12.787,1,0.04,0.262,0,0.098,0.741,127.871,"5syNNgUlbPZ8h19yVZEsDm",4,185285,"SEPTEMBER (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","A major"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.731,0.963,2,-12.353,1,0.0362,0.26,0.0011,0.331,0.72,126.618,"5ihuKwja2UCs1XenhsrrEt",4,90974,"LET YOUR FEELINGS SHOW (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","D major"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.791,0.72,11,-12.213,0,0.0326,0.283,2.33e-06,0.0923,0.915,126.611,"4fwTWFQ5OQ8mF9qI7nHs0M",4,233967,"LET'S GROOVE (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","B minor"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.623,0.89,9,-13.988,0,0.0477,0.16,0.106,0.508,0.823,126.591,"1egPuoHPfi7H6DHmK6ZhXV",4,114347,"RUNNIN' (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","A minor"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.62,0.873,2,-12.612,0,0.0337,0.224,0.172,0.354,0.641,130.611,"2W1BnOhOcAfHecE0XRYptJ",4,193927,"BOOGIE WONDERLAND (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","D minor"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.491,0.547,3,-14.726,1,0.0696,0.332,1.22e-05,0.972,0.527,142.112,"6zRDRxRtIUAKSPuqFovEmR",4,169919,"CAN T HIDE LOVE (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","D# major"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.46,0.733,7,-13.855,1,0.0523,0.361,0,0.906,0.426,85.714,"0n0azzXYHysGtYh6GI1GZ2",4,249799,"FANTASY (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","G major"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.688,0.538,9,-16.603,0,0.0387,0.18,0.0114,0.868,0.618,124.92,"1kXY302eUGL3TLv2OMYfL8",4,317800,"Calimba Interlude / EVIL (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","A minor"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.475,0.939,11,-12.493,0,0.0821,0.299,2.7e-06,0.431,0.255,203.581,"2yET5qtxoar1oiBCnsToPK",4,210693,"SHINING STAR (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","B minor"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.325,0.201,9,-18.989,0,0.045,0.608,0,0.714,0.333,112.24,"6vQio43P4YWn3Lie82EIdu",3,220670,"KEEP YOUR HEAD TO THE SKY (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","A minor"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.432,0.484,3,-15.46,1,0.0691,0.44,1.38e-06,0.819,0.506,127.451,"3knfzs65fmQ8hoepTjZ7S2",4,340206,"REASONS (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","D# major"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.686,0.867,2,-13.172,1,0.0386,0.301,4.38e-06,0.33,0.677,131.691,"6Q9uKwe9s70PBTDVEqt2uj",4,150316,"SING A SONG (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","D major"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.43,0.656,6,-14.766,1,0.0569,0.351,0,0.914,0.587,89.301,"56DUkKkgPqGF4OJt5rIky1",4,226109,"THAT'S THE WAY OF THE WORLD (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","F# major"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.592,0.674,6,-15.038,0,0.0667,0.418,0,0.885,0.474,109.487,"4imMFgtaW6mXgVg2wADXn7",4,225291,"WOULDN'T CHANGE A THING ABOUT YOU (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","F# minor"
"Earth, Wind & Fire","4QQgXkCYTt3BlENzhyNETg","7253n8oKnyOumxC2trgmM8",2019,0.324,0.525,6,-14.188,1,0.0619,0.378,6e-05,0.864,0.36,127.625,"0DNSebvQ1SYD8IglPt6Z2J",4,297030,"AFTER THE LOVE IS GONE (Live at Budokan, Tokyo, 1994)","Earth, Wind & Fire Millennium Concert Japan '94","F# major"
