"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.32,0.533,1,-11.454,1,0.217,0.00257,0,0.59,0.603,89.25,"0lBkSN6uENK5wZNhwPXeRm",5,46186,"First Power","Str8 off Tha Streetz of Muthaphukkin Compton","C# major"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.787,0.668,1,-5.335,0,0.0737,0.00122,0,0.0914,0.601,81.907,"2xPWZ3yqoFmTkxlL2FlzNx",4,240880,"Ole School Shit (feat. Gangsta Dresta, B.G. Knocc Out & Sylk)","Str8 off Tha Streetz of Muthaphukkin Compton","C# minor"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.592,0.896,6,-4.538,0,0.254,0.0331,1.77e-05,0.635,0.923,166.055,"5ic4CSBm3puyvi3Ep9lQoz",4,243946,"Sorry Louie","Str8 off Tha Streetz of Muthaphukkin Compton","F# minor"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.736,0.741,8,-3.857,0,0.292,0.0645,0,0.137,0.579,92.65,"6ZZOVqeM7Cvpxjv9zqvFt5",4,248866,"Just Tah Let U Know","Str8 off Tha Streetz of Muthaphukkin Compton","G# minor"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.613,0.865,4,-4.229,0,0.237,0.00158,2.19e-05,0.407,0.668,172.784,"2h5R20LygHT8LnpyQmhFG5",4,270493,"Sippin on a 40 (feat. Gangsta Dresta & B.G. Knocc Out)","Str8 off Tha Streetz of Muthaphukkin Compton","E minor"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.805,0.917,6,-5.973,1,0.343,0.0168,0,0.426,0.733,98.102,"4TBacQWgMzHEMPN3UJPzN6",4,187800,"Nutz on Ya Chin","Str8 off Tha Streetz of Muthaphukkin Compton","F# major"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.715,0.464,8,-9.4,1,0.0466,0.00391,0.000298,0.341,0.342,139.927,"61R6vK0uQQShxSOP3Htesb",3,261360,"Tha Muthaphukkin Real (feat. MC Ren)","Str8 off Tha Streetz of Muthaphukkin Compton","G# major"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.616,0.629,11,-8.831,0,0.237,0.000775,0.348,0.127,0.655,173.768,"0j4swLN6op1BgGsjuwQcXp",4,144346,"Lickin, Suckin, Phukkin","Str8 off Tha Streetz of Muthaphukkin Compton","B minor"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.829,0.792,10,-6.892,0,0.106,0.0129,0.00212,0.104,0.512,103.878,"0IMCLyfUf34uyAjvRGLey8",4,172240,"Hit the Hooker","Str8 off Tha Streetz of Muthaphukkin Compton","A# minor"
"Eazy-E","7B4hKK0S9QYnaoqa9OuwgX","57q7XUCfH3DU0J9sohwaDJ",1996,0.788,0.54,11,-6.595,1,0.231,0.0101,0,0.193,0.511,103.601,"674gZx5pycKWqqvEymr3ju",4,223880,"My Baby'z Mama","Str8 off Tha Streetz of Muthaphukkin Compton","B major"
