"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.633,0.635,11,-7.232,0,0.0745,0.319,0,0.132,0.338,94.863,"3ZV60LVhqQ2uHXG6LL6F0V",4,142736,"Bendecido","Sol María","B minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.782,0.664,4,-3.545,1,0.0598,0.202,0,0.218,0.892,139.992,"3vP62cjz1b4QvUS5vSyEVY",4,173524,"La Canción Feliz Del Disco","Sol María","E major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.613,0.552,5,-7.71,1,0.207,0.631,0,0.119,0.588,112.678,"0Xm7WesKiHAAbLYluGqBZ7",4,169911,"TQMQA","Sol María","F major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.643,0.458,9,-7.75,0,0.0743,0.256,0,0.089,0.363,126.099,"3MbbbpxLOnWUCpzS6hRN4e",4,152380,"Sonrisa","Sol María","A minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.737,0.653,2,-5.773,1,0.15,0.168,0,0.304,0.721,89.051,"6v9Sbtpt6par16uCnlvm98",4,194941,"Sigo Enamorau'","Sol María","D major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.797,0.642,6,-6.44,1,0.259,0.103,0,0.0784,0.804,103.032,"7JArcReBGffsbhMaosvQR0",4,158446,"Tu Ritmo","Sol María","F# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.458,0.52,1,-6.902,0,0.175,0.58,5.98e-05,0.248,0.38,141.636,"5QtB74eCS2YzHvEfSlh8MG",4,216338,"Hey Lil Mama","Sol María","C# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.731,0.488,5,-6.612,0,0.0995,0.0677,0,0.105,0.682,82.37,"794Avy9oTKvi8SGWSO1tXQ",4,128000,"Tranquila Baby","Sol María","F minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.758,0.602,6,-5.468,0,0.0483,0.201,0,0.115,0.501,124.067,"39wiPEmqQ4J3vS16j6X9Ki",4,248878,"Tanta Droga","Sol María","F# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.53,0.617,9,-6.25,0,0.141,0.254,0,0.268,0.442,174.102,"144k7KOL7ZPopw7rTTzzXN",4,209655,"El Malo","Sol María","A minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.591,0.709,10,-5.753,1,0.288,0.139,0,0.299,0.626,82.357,"0KK2eoNnggdrfUU6sMqRoR",4,190243,"Fé, Cojones y Paciencia","Sol María","A# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.801,0.659,10,-6.551,0,0.202,0.0501,0,0.0909,0.496,123.002,"1oxSzLgFPeFm5o6y7Bxie9",4,241951,"Todo Lit","Sol María","A# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.753,0.578,1,-8.146,0,0.62,0.968,0,0.261,0.555,72.455,"71Vh78nrCxBZGTltiHAD0H",5,40997,"That mother***** Eladio (Skit)","Sol María","C# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.848,0.549,8,-7.587,1,0.155,0.432,0,0.0867,0.319,109.939,"5gEkHtIiOoTuKqcMyxVrqJ",4,141818,"Mencionar","Sol María","G# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.688,0.64,9,-5.972,0,0.0585,0.389,0,0.119,0.617,143.93,"4KglpGG1pPLuXmO4lxrIaQ",4,106666,"RKO","Sol María","A minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.49,0.596,4,-7.817,0,0.26,0.453,7.4e-06,0.195,0.447,86.809,"1f70ywNtUyw4VgckqXeuOv",4,166835,"Luchas Mentales","Sol María","E minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","2zE9RJSh5sMV0NJ8Oc8k5s",2024,0.526,0.747,4,-7.218,0,0.265,0.466,0,0.436,0.748,89.264,"6s0WTmorTss8VsEzsHApKt",4,222272,"Mama's Boy","Sol María","E minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.614,0.74,4,-5.031,0,0.0684,0.179,0,0.21,0.247,90.044,"1PtXtGJSDKTkB5urVEZ7rf",4,219751,"Padre Tiempo","3MEN2 KBRN","E minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.821,0.594,2,-5.601,1,0.316,0.403,0,0.0926,0.369,126.027,"5GZ4tx6VZxM7V4IQtSJFyx",4,125124,"El Hokage","3MEN2 KBRN","D major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.669,0.788,3,-5.226,0,0.166,0.163,0,0.0426,0.812,81.032,"7GfQEUSuqYGeY2L0BfVOXM",4,201535,"Si Salimos","3MEN2 KBRN","D# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.857,0.734,5,-5.155,0,0.115,0.139,0,0.331,0.519,104.983,"7GuEE0ydKmuXV5DVliachs",4,155750,"¿Qué Carajos Quieres Tú Ahora?","3MEN2 KBRN","F minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.857,0.734,5,-5.155,0,0.115,0.139,0,0.331,0.519,104.983,"3LGn1d8P4Na3WHvYwCE6NL",4,160324,"Cuevita","3MEN2 KBRN","F minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.683,0.764,2,-5.995,1,0.0441,0.0427,0,0.0963,0.137,149.949,"0PB0O24JqAuNdOAFVJljMS",4,208125,"Coco Chanel","3MEN2 KBRN","D major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.469,0.639,10,-5.381,0,0.32,0.564,0,0.11,0.534,172.37,"1iyvRYYAeuJhrsxTsQW9fh",3,217954,"Peso a Peso","3MEN2 KBRN","A# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.725,0.7,5,-4.498,0,0.0484,0.0149,0,0.0855,0.659,160.978,"422ogeWJwcQaKyJhsleacY",4,167374,"Mala Mía Otra Vez","3MEN2 KBRN","F minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.865,0.812,6,-3.895,1,0.235,0.392,0,0.126,0.78,115.966,"15malicZv4vdLHzIXg5kK0",4,147499,"Quizás, Tal Vez","3MEN2 KBRN","F# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.738,0.561,1,-7.806,0,0.132,0.282,0,0.0937,0.665,143.007,"4WDRKKpJiEZ6DK6FFM3pkZ",4,192345,"M3","3MEN2 KBRN","C# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.813,0.569,1,-6.249,1,0.365,0.28,0,0.0805,0.295,139.934,"5Ov2yPhOmhL5qvlnU3UBpZ",4,202708,"Betty","3MEN2 KBRN","C# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.514,0.626,0,-6.397,0,0.222,0.46,0,0.203,0.489,81.849,"76qcIul6DB0y4OPzOMSkNU",4,147508,"Haciendo Dinero","3MEN2 KBRN","C minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.626,0.572,11,-9.322,0,0.802,0.819,0,0.401,0.375,87.761,"5G17G6fPn9Gcy037CdX9Nx",4,36500,"¿Como? (Skit)","3MEN2 KBRN","B minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","6BGN5CVd7koJApotl5Bj8u",2023,0.669,0.66,1,-6.176,1,0.397,0.191,0,0.151,0.549,95.054,"6wrHRPtw1Z37iP5PGDbS6g",4,186091,"Air France","3MEN2 KBRN","C# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.619,0.758,1,-5.389,0,0.07,0.181,0,0.467,0.714,154.165,"2sY92LRATo3fwPzmDo0wwt",4,187012,"Gladiador","SEN2 KBRN VOL. 2","C# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.705,0.574,10,-6.83,0,0.0953,0.645,0,0.113,0.447,114.967,"32nYQxfwMslxlbhgm48B3o",4,171152,"Si la Calle Llama","SEN2 KBRN VOL. 2","A# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.712,0.684,7,-4.887,1,0.0512,0.548,0,0.168,0.513,130.038,"2lmWwBLVJ2P0HX491zkYws",4,147692,"Mbappe","SEN2 KBRN VOL. 2","G major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.764,0.66,8,-6.117,1,0.277,0.174,0.00342,0.143,0.291,190.195,"0ea9jt0vWPgR5Jm2P4q70z",4,123789,"Hp Freestyle","SEN2 KBRN VOL. 2","G# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.637,0.526,2,-7.847,0,0.242,0.102,0,0.185,0.387,114.529,"6NSt2HFIMe5dEDo7Aq2Tf5",5,156295,"Caras Vemos","SEN2 KBRN VOL. 2","D minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.563,0.628,9,-5.723,1,0.23,0.747,6.52e-06,0.289,0.477,124.796,"3oCSBlJniNwxVQfq1R2ROt",4,178560,"Hugo","SEN2 KBRN VOL. 2","A major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.777,0.631,9,-6.563,0,0.0854,0.474,0,0.158,0.804,149.935,"53KWPG6uE5DCFwbF9K6qH0",4,160000,"Te Dijeron","SEN2 KBRN VOL. 2","A minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.849,0.694,6,-4.305,1,0.0612,0.527,7.72e-05,0.0791,0.791,115.972,"4rzWmtnly4bVIi6QGUETV0",4,169655,"Friends","SEN2 KBRN VOL. 2","F# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.624,0.423,6,-7.985,0,0.373,0.322,0,0.122,0.446,87.154,"3Lk9DyjczkS9qf8PlJgBYj",4,134482,"La Fama","SEN2 KBRN VOL. 2","F# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","3lsdB3dY4odywNI42KV6D9",2022,0.483,0.512,7,-8.188,0,0.133,0.96,5.94e-05,0.115,0.74,101.659,"5ZLWuh52L4vvIVlRsjFhga",4,121240,"Carta a Dios","SEN2 KBRN VOL. 2","G minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.585,0.716,1,-6.642,0,0.0554,0.215,0,0.117,0.111,160.029,"7iGX6Xdi2EnYqBqvzEVEVC",4,181500,"Par de Tenis","Sauce Boyz 2","C# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.738,0.641,6,-7.774,0,0.0545,0.38,0.000288,0.143,0.223,95.003,"2N6a6lmyj9DytOAPiUB11R",4,161684,"Claro Cristal","Sauce Boyz 2","F# minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.886,0.482,7,-9.882,1,0.175,0.396,0,0.115,0.568,124.956,"3HQxzXOb4p9pfpD5gP38D5",4,232560,"No Te Deseo el Mal","Sauce Boyz 2","G major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.568,0.531,5,-8.088,0,0.134,0.712,0.00122,0.11,0.435,148.214,"62pg2fFuBb6zgU2gqJR8kP",4,170000,"Flores en Anónimo","Sauce Boyz 2","F minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.776,0.487,10,-8.242,1,0.0939,0.676,0,0.111,0.741,148.928,"2bEjeBM3MVspWXXbor9H32",4,155000,"Fuego","Sauce Boyz 2","A# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.623,0.614,4,-6.494,0,0.141,0.444,0,0.107,0.619,140.282,"090hDgrCGBBnex7ojpX9Fi",4,195428,"Miradas Raras","Sauce Boyz 2","E minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.721,0.426,0,-7.473,0,0.11,0.859,0.000216,0.111,0.451,127.083,"1Sym1HsTqsa2pYKhYL1j15",4,170078,"Me Gustas Natural","Sauce Boyz 2","C minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.456,0.678,8,-5.86,1,0.325,0.243,0,0.0908,0.538,177.742,"4qdJeQlPfs2sKSHWUVchpi",4,140224,"Quienes Son Ustedes","Sauce Boyz 2","G# major"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.661,0.435,4,-10.63,0,0.0351,0.22,0,0.133,0.342,149.927,"4YV8COy6CS7PBFHw0AO4pF",4,233600,"Alejarme de Ti","Sauce Boyz 2","E minor"
"Eladio Carrion","5XJDexmWFLWOkjOEjOVX3e","4JaYe7HIddzNaF3rUgJzHI",2021,0.762,0.436,0,-9.222,0,0.126,0.453,0.101,0.113,0.398,120.015,"7jZGELQvY3aZKaCIQVqwSY",4,149000,"Gastar","Sauce Boyz 2","C minor"
