"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.871,0.457,-9.918,0.0359,0.441,0.00205,0.115,0.692,112.743,"0uuqi1dTEf5KJDlFsKWHKt",4,249746,"Rock & Roll Found Me","Soul","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.715,0.633,-6.53,0.039,0.109,0.000191,0.32,0.869,110.023,"5I7AqGni2AL18vsjNuAUg2",4,190133,"Look Good And You Know It","Soul","A major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.625,0.294,-11.678,0.0304,0.606,0.000727,0.113,0.406,121.927,"18Qmhl858MP5aMmOvO2ljj",4,182653,"Bright Side Girl","Soul","F major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.694,0.885,-6.104,0.0351,0.00245,0.00849,0.107,0.686,111.966,"2BCClG1xN3SWX7WRRglQSE",4,225653,"Break It Kind Of Guy","Soul","G major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.689,0.592,-6.758,0.0235,0.101,0.00867,0.11,0.919,98.997,"4mXGooManGPH6xAWRAtRJU",4,175026,"Hell Of A View","Soul","F major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.536,0.608,-6.385,0.0295,0.299,0.00143,0.128,0.681,147.957,"6SDAyY4qCtrsTbXGklYJB4",4,244626,"Where I Wanna Be","Soul","A major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.673,0.359,-9.376,0.0318,0.663,4.22e-06,0.0903,0.257,91.028,"2zUE9RXSbEtccxFFIK1bqp",4,198053,"Jenny","Soul","C major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.553,0.902,-6.482,0.153,0.0945,0.0018,0.104,0.854,166.186,"20cteKKglBIhffsGJKgmk6",4,203120,"Bad Mother Trucker","Soul","C major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","4MRgsu0MBuBHzMhTLBgnNz",2021,0.552,0.13,-14.833,0.0441,0.888,0.00185,0.0962,0.383,152.724,"3vF19YWMyLMIlX7tNTaN4L",4,224120,"Lynyrd Skynyrd Jones","Soul","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.653,0.927,-4.699,0.0289,0.0352,4.47e-05,0.0966,0.894,119.97,"0ysCB1Jg4hli0XlEWlipo7",4,258799,"Heart On Fire","Heart","G# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.585,0.593,-6.783,0.0434,0.369,3.19e-06,0.0877,0.177,142.127,"5TMD4Unp7dw2RQHTRAYhQ5",4,198933,"Heart Of The Night","Heart","C# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.714,0.665,-7.536,0.027,0.051,0.00221,0.143,0.611,112.05,"0GhEHg3C2bDA6WLavdsEaL",4,237000,"Russian Roulette","Heart","C# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.694,0.411,-10.611,0.0391,0.245,0.0047,0.112,0.583,84.993,"52ymDAZO2ab9bHOg6FmnpK",4,201893,"People Break","Heart","G major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.548,0.864,-5.169,0.035,0.0657,0.134,0.117,0.428,90.044,"0JrEqbKINGnTJAjJPpCTqK",4,228706,"Stick That In Your Country Song","Heart","A# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.535,0.505,-7.585,0.0296,0.273,0.00219,0.107,0.332,148.069,"3vmFm0a4LNxzX0PYGLaxh4",4,228013,"Never Break Heart","Heart","B major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.72,0.443,-11.145,0.0534,0.716,0,0.106,0.497,140.131,"5XiGI2onmf2lfY5euGy48Z",4,159400,"Crazyland","Heart","C major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.513,0.889,-4.924,0.0599,0.457,0.000366,0.217,0.791,171.917,"3ywwaHKafa9WDHLSQGL1Rz",4,209413,"Bunch Of Nothing","Heart","D# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5aWReU8nqP0WiJPRwiNTyt",2021,0.718,0.573,-6.113,0.0327,0.112,6.67e-06,0.0929,0.652,125.018,"0kMgLAoM1RfVPhFj4p8cTz",4,166693,"Love Shine Down","Heart","C# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.442,0.335,-17.789,0.0979,0.907,0.132,0.273,0.394,177.372,"1GLGfSerlDXRYBCJtHHnua",4,240026,"The Snake","Desperate Man","F minor"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.676,0.79,-6.817,0.0296,0.024,0.031,0.186,0.897,121.693,"4piRrSYdrtC0GSgjDElHfQ",4,149720,"Hangin’ Around","Desperate Man","B minor"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.506,0.441,-7.911,0.0506,0.542,0.000537,0.109,0.507,198.814,"4bXo5s1XC6w9tLyOKykxSz",3,195546,"Heart Like A Wheel","Desperate Man","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.56,0.736,-7.306,0.0446,0.341,9.81e-06,0.155,0.824,79.843,"3d1qN7AHge6BXuVPutcpI5",4,195146,"Some Of It","Desperate Man","C major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.649,0.4,-10.202,0.0455,0.513,1.18e-06,0.0774,0.393,157.895,"55UCRHfezMCFfbGy0tfjTG",4,200386,"Monsters","Desperate Man","F# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.621,0.427,-9.825,0.0523,0.606,1.12e-06,0.154,0.651,88.656,"5cspm8JbU1gr3URl9EOzBM",4,174240,"Hippie Radio","Desperate Man","C major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.566,0.439,-7.379,0.0437,0.943,2.68e-06,0.095,0.327,74.31,"74ZZOckotaqxig604AmI0Z",4,163466,"Higher Wire","Desperate Man","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.711,0.796,-5.87,0.0341,0.0716,0.0045,0.262,0.901,109.991,"1vHeu2j2MpfMqqvcXKLtic",4,208733,"Desperate Man","Desperate Man","A# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.649,0.368,-10.372,0.109,0.478,2e-04,0.257,0.191,73.542,"0yVG0ZtKZZT7lUy4hkzX2u",4,258265,"Solid","Desperate Man","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.614,0.459,-9.871,0.0333,0.787,0,0.0923,0.545,148.213,"7KNrJiivZDZuTNfZ7kDMdA",4,192720,"Jukebox And A Bar","Desperate Man","D# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","5TjDN2hfsgNWVtP8Ew56Xx",2018,0.549,0.33,-9.28,0.0522,0.825,2.05e-06,0.172,0.337,80.483,"5x6kpKKVTRqksq4g7orx5A",4,227813,"Drowning Man","Desperate Man","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.385,0.808,-6.67,0.045,0.0629,0,0.33,0.546,129.22,"79dlQxvdsCDApoM8XChkpy",4,319240,"Mr. Misunderstood","Mr. Misunderstood","G major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.633,0.477,-9.746,0.0335,0.191,0.000216,0.0888,0.513,140.129,"1D8XywqxlzOHqMhrFvBof6",4,322306,"Mistress Named Music","Mr. Misunderstood","A# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.674,0.815,-7.718,0.0364,0.00213,0.000299,0.0781,0.559,110.937,"4Ye5LohYYu6b2JjO25OWlQ",4,202493,"Chattanooga Lucy","Mr. Misunderstood","G major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.714,0.221,-12.929,0.032,0.516,1.68e-06,0.0937,0.424,135.843,"1EnoCmQSpJaiCyA3Kr87XG",4,178106,"Mixed Drinks About Feelings","Mr. Misunderstood","C major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.585,0.719,-8.332,0.0279,0.00144,1.84e-05,0.123,0.428,108.979,"3QYXgYgff77dt42xLnhUaf",4,241413,"Knives Of New Orleans","Mr. Misunderstood","B major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.638,0.441,-9.064,0.0347,0.0422,1.33e-05,0.107,0.473,76.078,"52ioLaTnO2J7BWY8UN2n9D",4,214626,"Round Here Buzz","Mr. Misunderstood","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.651,0.732,-8.037,0.0381,0.0164,1.58e-06,0.0925,0.638,85.023,"0ipcmHor30Y8p6hCd8QUVq",4,199213,"Kill A Word","Mr. Misunderstood","D major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.932,0.352,-11.937,0.0606,0.259,0.000766,0.115,0.689,118.049,"0xttiPFupzuj0a9viBV4eV",4,235600,"Holdin' My Own","Mr. Misunderstood","G# major"
"Eric Church","2IvkS5MXK0vPGnwyJsrEyV","1QIZsTZrZdQwQ9QJnFoFao",2015,0.589,0.641,-8.12,0.0838,0.205,0,0.0864,0.57,160.031,"5fSPbm5lcwtqwXkeQQswW8",4,179346,"Record Year","Mr. Misunderstood","F major"
