"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.621,0.86,0,-4.075,0,0.0357,0.00799,5.73e-06,0.104,0.444,124.998,"2GKmF1OdLscSLjPCg3pEwq",4,222830,"Alive (with Calle Lehmann)","Alive","C minor"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.555,0.779,8,-5.725,1,0.0416,0.0173,0,0.159,0.361,137.984,"14dLEccPdsIvZdaMfimZEt",4,187384,"Forever (feat. Elley Duhé)","Alive","G# major"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.507,0.879,0,-3.666,0,0.134,0.0152,0,0.123,0.434,149.949,"1PknqupRJmUOeOj0ghpwLZ",4,211317,"Lose Your Love (with Matt Maeson)","Alive","C minor"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.495,0.766,11,-4.103,1,0.0966,0.0533,0,0.123,0.459,169.988,"0pI6RwmnFl9CawvPpvMVzO",4,205164,"Safe With Me (with Audrey Mika)","Alive","B major"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.636,0.582,2,-6.094,1,0.0444,0.245,0,0.0899,0.221,106.038,"4GTK6TSoEzPJCbA31SD3sh",4,217380,"Woke Up in Love","Alive","D major"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.695,0.755,7,-4.051,1,0.0424,0.00988,0.000159,0.292,0.662,130.003,"211apnzqBdvi4A5SjL0Mzp",4,156249,"Reckless (with MØ)","Alive","G major"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.492,0.863,1,-4.018,0,0.0975,0.184,0.000627,0.265,0.436,139.819,"6KKZMSxKhHiAHpDIWV9fU1",4,151030,"Glitch In The Simulation (with salem ilese)","Alive","C# minor"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.503,0.643,6,-5.142,0,0.0472,0.0671,0,0.0889,0.196,124.97,"04il0QxWN64WL9L1g8c8tJ",4,247141,"Evergreen (with Au/Ra)","Alive","F# minor"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.671,0.897,0,-5.897,1,0.0716,0.00895,0.0113,0.111,0.232,116.973,"4ThOZ5HXGvCfUbptEJRzyF",4,159252,"Scandalous (with Tinashe)","Alive","C major"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.479,0.642,0,-8.264,1,0.0912,0.111,0.903,0.119,0.327,174.045,"3uZiTYpg1u7S2gJpZ5hQnG",4,100724,"Interlude","Alive","C major"
"Gryffin","2ZRQcIgzPCVaT9XKhXZIzh","5SeY9BQPi8AzEy6fhPEr1v",2022,0.276,0.783,0,-4.227,1,0.0626,0.0381,0,0.0697,0.156,174.054,"6ur4bHIfXz7v38Ug4c7sb9",4,231832,"Colors (with Eyelar)","Alive","C major"
