"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq",2021,0.698,0.432,-8.452,0.0621,0.291,0,0.277,0.635,88.069,"2gy2y58w8ehu8FtejAetPC",4,135607,"Ego","JOSE (Deluxe Edition)","F# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq",2021,0.655,0.622,-5.292,0.0802,0.0701,0.000326,0.0848,0.835,175.782,"1U2mmPR0XAthoaTfmdD9Rt",4,156910,"Tu Veneno","JOSE (Deluxe Edition)","A# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2gWmgvSUxzX6T8i3pfRrjq",2021,0.908,0.648,-7.794,0.135,0.0358,0.000672,0.157,0.674,136.994,"15wGFBcFIU4lIyGYPd8fTX",4,225981,"Ma' G","JOSE (Deluxe Edition)","C# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.576,0.577,-6.231,0.303,0.0616,2.03e-06,0.682,0.681,171.153,"1r4cq6ZPidlBrhBC5kpnCp",4,161400,"F40","JOSE","F# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.662,0.788,-4.55,0.205,0.0191,0,0.0559,0.711,179.876,"7iqOIHHEmu6Vhw25GgQ2eA",4,170760,"Una Nota","JOSE","D# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.782,0.858,-4.645,0.0599,0.0044,1.99e-06,0.287,0.832,90.01,"3EgHkFBGUu7NHZspAdiy0D",4,104066,"Te Acuerdas De Mí","JOSE","G# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.924,0.723,-3.142,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,"1q0PYXTbDsirp2l74ng6pn",4,130666,"In Da Getto","JOSE","G# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.716,0.638,-5.051,0.303,0.111,0,0.0899,0.426,176.022,"4tWOrZqaelCejCT3Th8Phq",4,164106,"Billetes De 100","JOSE","A# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.851,0.683,-5.353,0.12,0.319,2.5e-05,0.105,0.771,87.979,"2Jq4Ei6P87YbP67asm2rP6",4,186453,"Vestido","JOSE","F minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.794,0.793,-5.809,0.0543,0.208,4.95e-05,0.158,0.805,112.999,"05fmJQJp2ODhF8BWhohgb6",4,198720,"Que Locura","JOSE","C minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.747,0.665,-6.538,0.0755,0.0481,0,0.151,0.634,166.006,"6Se3CKRvYOyuzHGdHAooem",4,226240,"Bebé Que Bien Te Ves","JOSE","C# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.682,0.691,-6.544,0.0825,0.0205,2.88e-05,0.0559,0.587,177.907,"58EEYVahoZAK7crGM6qAwA",4,194813,"Lo Que Dios Quiera","JOSE","C major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.677,0.735,-5.846,0.149,0.164,0,0.279,0.485,188.002,"7iBb6zKia1sx84BM9LUoxx",4,169360,"Si Te Atreves","JOSE","C# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.844,0.492,-6.963,0.253,0.06,0,0.108,0.695,80.01,"6NrS68u0qtZ0bzNVSNz18T",4,195413,"Fantasías","JOSE","F minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.792,0.669,-6.069,0.143,0.0577,3.64e-05,0.103,0.523,176.023,"77J8t2pFJYI8k4tZgJ3ybY",4,197026,"Pa' Guayarte","JOSE","D minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.689,0.662,-6.248,0.0699,0.341,0,0.127,0.331,167.928,"15IszJQQHRq8xwYt5MDPo4",4,177893,"Ganas De Verte","JOSE","C# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.906,0.952,-1.766,0.311,0.0785,0.000268,0.358,0.747,97.967,"04JVwAItboGpDhDgC4fNta",4,157920,"Perra","JOSE","G# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.775,0.482,-9.73,0.282,0.653,1.54e-06,0.196,0.583,93.019,"5fub19NZQ0CBmwzERs0QTe",4,209253,"7 De Mayo","JOSE","G# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.795,0.511,-5.912,0.354,0.34,0.0125,0.103,0.566,175.972,"2FmF8r9Kv5x4Jhin8FsRG5",4,203013,"Suerte","JOSE","D minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.438,0.265,-15.599,0.0958,0.843,0,0.116,0.727,85.974,"23E6hbN7xHR7fMAXvUdC7s",4,151093,"Querido Rio","JOSE","D major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.843,0.577,-7.306,0.182,0.339,0.0056,0.0882,0.68,138.054,"3ldgOvpKS3DWKMGN0G8BpJ",4,251053,"La Familia","JOSE","D major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.903,0.817,-3.972,0.095,0.0272,0.000311,0.242,0.732,102.014,"6D2TCm4nf5nxAcdGJ7w3QP",4,217360,"Qué Más Pues?","JOSE","G# major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.855,0.638,-5.925,0.106,0.275,0.000259,0.105,0.641,81.988,"0nZjipkI0piCeaAp7Tt2KN",4,202546,"OTRO FILI","JOSE","F major"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.501,0.548,-7.573,0.182,0.0801,0.000408,0.118,0.488,93.966,"6xvaSd27eSA5kQlFRYhWZF",4,228506,"Otra Noche Sin Ti","JOSE","C minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","11GmvpYnbgK0rSryPaV5BP",2021,0.58,0.695,-8.244,0.0671,0.00638,0,0.174,0.402,168.124,"66x45Yh9x397PWpxMX0ZDT",4,232146,"UN DIA (ONE DAY)","JOSE","F# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2mX8ktJoWvyidWBU9U8Jis",2020,0.641,0.857,-5.725,0.301,0.013,0.00534,0.0695,0.961,122.728,"6zEgnpM0qYmHLDnh8WPejL",5,157733,"Amarillo","Colores","C# minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2mX8ktJoWvyidWBU9U8Jis",2020,0.843,0.836,-2.474,0.0695,0.0816,0.00138,0.0532,0.65,94.018,"2lCkncy6bIB0LTMT7kvrD1",4,205933,"Azul","Colores","B minor"
"J Balvin","1vyhD5VmyZ7KMfW5gqLgo5","2mX8ktJoWvyidWBU9U8Jis",2020,0.663,0.598,-4.042,0.17,0.193,8.02e-05,0.0856,0.4,172.245,"380HmhwTE2NJgawn1NwkXi",4,150720,"Rojo","Colores","B major"
