"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.655,0.572,-7.666,0.0535,0.646,1.81e-06,0.0774,0.403,137.12,"53UMRr4KOgZP5Ins0aGlhs",4,131824,"Always Been You","drowning","D# minor"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.37,0.299,-10.836,0.0457,0.654,0.000762,0.113,0.0726,173.467,"3lXEoPxZMDiMNeE4ea5nct",3,170808,"Where Do You Go","drowning","C major"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.497,0.445,-7.494,0.0737,0.742,0,0.0934,0.194,80.65,"0UYNa7reQKIbADXr8iN28w",4,155591,"What Happened to Ryan","drowning","E major"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.625,0.456,-7.347,0.0424,0.861,7.54e-06,0.327,0.355,129.001,"7lF1wextYUfNFP5xy7DH4m",4,163723,"They Leave","drowning","C major"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.705,0.568,-5.32,0.0439,0.614,0,0.0774,0.354,150.743,"4M7nlEPdtK18kDy8q8Zwa7",4,160084,"About You","drowning","G major"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.741,0.466,-8.023,0.0862,0.459,0,0.184,0.331,124.151,"4NpFdj4CHgVSoQ32yHVmNL",4,164678,"If I Died Last Night","drowning","C# minor"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.629,0.429,-6.755,0.0379,0.359,3.47e-05,0.227,0.161,141.885,"3SQJJ5wTW8y40TE0abStR6",4,127293,"While You're At It","drowning","G major"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.573,0.17,-10.576,0.0555,0.834,3.08e-06,0.108,0.28,146.749,"7wB9sL81rFRGhRt6msZ9CV",3,187813,"How Could You","drowning","B major"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.625,0.522,-10.037,0.0403,0.619,3.72e-06,0.297,0.374,93.958,"3jPPeZhJ5I6sSDqchAFlx4",4,166030,"Drunk in the Bathtub","drowning","F# minor"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.588,0.39,-7.753,0.0578,0.726,1.26e-05,0.0965,0.206,96.571,"7MOCaEUbfGyq1K96umNVwJ",4,146266,"Pray","drowning","G# major"
"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7","4MG8Z8BcUsNQFgJjMxzTWN",2023,0.601,0.264,-9.559,0.0573,0.401,4.86e-05,0.173,0.285,149.926,"78xK2f5glgIqGeTGDmW8yk",4,150583,"I Would've","drowning","D major"
