"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","5WgC0rNbr8aC5vEqL9U8Zo",2023,0.363,0.278,10,-7.123,1,0.0385,0.869,0,0.11,0.278,87.923,"2DWteQehd27R6qkJdHFggd",5,278226,"By Your Side","LEGEND (Solo Piano Version)","A# major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","5WgC0rNbr8aC5vEqL9U8Zo",2023,0.381,0.303,2,-6.406,1,0.0358,0.853,0,0.101,0.363,116.032,"3Z6fKsZTDWnMBBwy32izAw",4,350229,"Bridge Over Troubled Water","LEGEND (Solo Piano Version)","D major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.593,0.637,9,-4.364,1,0.0277,0.0513,0,0.213,0.537,94.011,"2AeVYIAQH6qdsUMg3ggLMC",4,234778,"Rounds (feat. Rick Ross)","LEGEND","A major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.582,0.897,6,-5.3,1,0.0867,0.332,1.97e-06,0.0841,0.61,168.004,"4SeShDomhZSFIfvGdHBXHq",4,185236,"Waterslide","LEGEND","F# major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.726,0.872,1,-4.947,0,0.0444,0.0726,4.92e-05,0.2,0.923,114.02,"3VEL2iEZ8udM0evRe3Bj2u",4,158685,"Dope (feat. JID)","LEGEND","C# minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.648,0.713,4,-4.44,0,0.096,0.00394,0,0.474,0.361,92.035,"7wIZ3CXR08DPLR8G0uk210",4,195963,"Strawberry Blush (feat. Free Nationals)","LEGEND","E minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.681,0.856,10,-3.154,0,0.11,0.157,0,0.0492,0.952,139.98,"7tdal07n6MIwAw78bRndbs",4,159923,"Guy Like Me","LEGEND","A# minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.738,0.795,8,-5.01,1,0.178,0.0727,0,0.195,0.622,112.039,"7vjT358D8LWnqUFMhMAJ1U",4,191052,"All She Wanna Do","LEGEND","G# major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.635,0.483,8,-6.271,0,0.0557,0.31,0,0.207,0.265,132.131,"5Ip2VxpYt1dCD7MKmjrw52",4,234498,"Splash (feat. Jhené Aiko & Ty Dolla $ign)","LEGEND","G# minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.589,0.93,11,-4.198,0,0.272,0.0832,0.0223,0.343,0.847,169.941,"3dtLjqr0rjNP61Q6fxL7cr",4,173875,"You","LEGEND","B minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.534,0.562,6,-8.439,0,0.0717,0.271,0,0.112,0.208,111.011,"5ARNp5KHWr4CW8icZuOtSg",4,211533,"Fate (feat. Amber Mark)","LEGEND","F# minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.576,0.514,5,-5.311,1,0.0751,0.174,0,0.473,0.428,114.774,"2K5CdJb1IkAlsT108wRxYP",3,173123,"Love (feat. Jazmine Sullivan)","LEGEND","F major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.548,0.476,7,-6.783,1,0.0305,0.236,0,0.187,0.283,86.17,"7IyP9wWLahicO6FYGS7Z2E",4,241433,"One Last Dance","LEGEND","G major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.747,0.776,5,-5.003,0,0.194,0.0662,0,0.0889,0.637,111.936,"4dfotX3ZuHDqwbXFs6QBgy",4,195715,"All She Wanna Do (with Saweetie)","LEGEND","F minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.403,0.529,6,-7.146,1,0.217,0.272,0,0.141,0.342,85.382,"4i6OsINrv3cAeS0SYeojag",4,175715,"Memories","LEGEND","F# major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.545,0.587,2,-4.842,1,0.0634,0.414,0,0.224,0.359,123.107,"1XNAH3h63O1hWFcgyHGbjf",4,188046,"Nervous","LEGEND","D major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.616,0.473,0,-4.875,1,0.0414,0.459,0,0.119,0.33,147.631,"5LYGLun93dn2GVw0b7FRPE",4,168562,"Wonder Woman","LEGEND","C major"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.547,0.59,9,-4.224,0,0.0431,0.0371,0,0.215,0.23,90,"1ei5bZDXeMNU4rw3iEQ2zX",4,140017,"Honey (with Muni Long)","LEGEND","A minor"
"John Legend","5y2Xq6xcjJb2jVM54GHK3t","48XBEHGNh0oVF5foY3ZtvT",2022,0.546,0.838,1,-3.853,0,0.0881,0.0417,0,0.337,0.544,170.02,"36mf8KVDQoGDBQYJs0eR0x",4,211822,"I Want You To Know","LEGEND","C# minor"
