"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.427,0.566,-5.469,0.0501,0.203,0.0454,0.381,0.227,108.642,"6h2NSOjKtijqMJr6zs9H3s",5,97634,"Hello, Billy Bob","World Music Radio","D major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.649,0.48,-3.723,0.076,0.341,0,0.686,0.646,154.082,"2hkDX0w2KRgicE7nHzEU2v",4,190607,"Raindance (feat. Native Soul)","World Music Radio","D major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.639,0.899,-3.895,0.112,0.0204,0,0.293,0.716,143.791,"0E8VaGhwaOnUw7LAxYMMCo",4,214208,"Be Who You Are (feat. JID, NewJeans & Camilo)","World Music Radio","D major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.723,0.762,-5.81,0.262,0.102,0.000205,0.652,0.486,124.007,"0wEDbE7HCmrTPKxKCqKj7G",4,253916,"Worship","World Music Radio","F minor"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.381,0.528,-7.429,0.0519,0.93,0.000171,0.317,0.309,143.233,"6YGOd4e3R7SkQ6fCcmCF61",4,146750,"My Heart (feat. Rita Payés)","World Music Radio","F major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.688,0.592,-4.974,0.0726,0.249,0,0.0798,0.455,104.823,"0vovnhziMYImdMsEDPncA8",4,169708,"Drink Water (feat. Jon Bellion and Fireboy DML)","World Music Radio","G# major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.858,0.615,-4.342,0.0337,0.0761,0.0867,0.205,0.91,106.984,"2Ga4ATsihCKFz3ge6UGeBl",4,116976,"Calling Your Name","World Music Radio","E major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.512,0.352,-12.055,0.0342,0.953,0.967,0.13,0.844,52.595,"6YoOSmaiA0ZBff3ozVvPFa",3,77374,"Clair de Lune (feat. Kenny G)","World Music Radio","D# major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.463,0.174,-12.371,0.0322,0.974,0.00355,0.0962,0.122,139.787,"2aMFP9x0ZIkOVd0ZSl3zDI",4,230440,"Butterfly","World Music Radio","F major"
"Jon Batiste","0eRbECAGCLLiTyVXPBRexU","0cX1ODY38Nd2LuijmfuSjF",2023,0.602,0.87,-5.031,0.125,0.199,2.01e-05,0.146,0.597,91.684,"6dotY5Ubbm5cLKBm6KQkZI",4,321333,"Uneasy (feat. Lil Wayne)","World Music Radio","E minor"
