"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.577,0.646,-8.149,0.0465,0.171,0.000161,0.646,0.36,129.156,"2rLq6QIfooAKsF8UZuoLsS",4,191413,"Cardinal","Deeper Well","A# minor"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.587,0.532,-7.87,0.0278,0.48,0,0.179,0.352,110.902,"333XFHKsHU0pOocFzBgrJi",4,232133,"Deeper Well","Deeper Well","C major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.594,0.482,-8.606,0.0354,0.687,0.000265,0.115,0.247,79.917,"27RDQ0TfxzWMlQFuKrPT11",4,160053,"Too Good to be True","Deeper Well","C# major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.424,0.452,-9.55,0.0356,0.224,0.000355,0.129,0.269,169.443,"1LwT9Pou0rRCXPpXVWy5iA",4,189826,"Moving Out","Deeper Well","A major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.66,0.336,-9.887,0.0313,0.681,0,0.19,0.172,138.929,"7aWAahCNnOyF1yP547S9fv",4,190973,"Giver / Taker","Deeper Well","D# major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.5,0.638,-10.83,0.0691,0.593,0.00151,0.0994,0.103,119.657,"6f2unaaUhIqTkbHsWMbGcm",4,191413,"Sway","Deeper Well","B major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.425,0.431,-8.481,0.0444,0.641,9.18e-06,0.123,0.226,167.981,"1wLN48gT4YmUWs4WMgnw2n",3,177733,"Dinner with Friends","Deeper Well","D# major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.637,0.696,-7.448,0.0321,0.72,0.00123,0.385,0.69,111.799,"1sNAeNdDVPVBgsGg9SqWHX",4,136813,"Heart of the Woods","Deeper Well","G minor"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.648,0.586,-7.711,0.035,0.775,0.0229,0.186,0.203,121.859,"6TAWZcOSkPouh9Tusxv0On",4,178466,"Jade Green","Deeper Well","A major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.684,0.36,-8.543,0.0341,0.825,0,0.0806,0.383,123.244,"78SjYKRXdivtTDHBzaehnm",4,177293,"The Architect","Deeper Well","A major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.731,0.45,-6.631,0.0337,0.627,0.000103,0.107,0.377,80.494,"2WxoaPCuaRAa0EpRUpUMMg",4,186013,"Lonely Millionaire","Deeper Well","A# major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.687,0.345,-7.521,0.0329,0.831,0,0.23,0.39,125.947,"5QoAfSCvZEi5ITK1KYTPi4",3,164026,"Heaven Is","Deeper Well","G# major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.382,0.533,-8.355,0.0483,0.49,2.31e-06,0.12,0.148,141.627,"0bUsZ520JrK3cqkXXaXYXd",4,198026,"Anime Eyes","Deeper Well","A# major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","5SxZmGwc4eJuPp6PcO4JgJ",2024,0.619,0.392,-8.592,0.0294,0.772,0,0.101,0.329,106.146,"36bFdgof0rPVDAv6zcvDIA",4,153533,"Nothing to be Scared Of","Deeper Well","E major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","6y9LbrjY2TpaLvtbE7FTkc",2021,0.523,0.582,-9.215,0.0619,0.429,0.000312,0.116,0.361,167.725,"64PsLB0bc1LJoZwogWO3ok",4,231426,"good wife","star-crossed","D minor"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","6y9LbrjY2TpaLvtbE7FTkc",2021,0.641,0.818,-6.757,0.0453,0.119,0.000444,0.168,0.355,109.967,"3PT3dmokgfqJSsZxv4Njw5",4,184000,"cherry blossom","star-crossed","F# major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","6y9LbrjY2TpaLvtbE7FTkc",2021,0.654,0.713,-6.484,0.0846,0.628,0,0.0837,0.694,80.043,"1lNEXDlxVhsWaq2DLBUDgC",4,167120,"simple times","star-crossed","C# minor"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","6y9LbrjY2TpaLvtbE7FTkc",2021,0.529,0.544,-8.188,0.0312,0.317,0.00129,0.0442,0.198,94.978,"3u57JBo2de0V7NxXSmkm8x",4,194586,"if this was a movie..","star-crossed","G# minor"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","6y9LbrjY2TpaLvtbE7FTkc",2021,0.669,0.552,-7.98,0.0587,0.807,0.000874,0.321,0.488,100.102,"4wONXG4GqWSscEyZlx300W",4,180800,"justified","star-crossed","C major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","6y9LbrjY2TpaLvtbE7FTkc",2021,0.607,0.347,-9.108,0.0366,0.833,0,0.212,0.33,122.206,"1fr6WZfau4vNzDFfHYSJVT",4,139653,"angel","star-crossed","B major"
"Kacey Musgraves","70kkdajctXSbqSMJbQO424","6y9LbrjY2TpaLvtbE7FTkc",2021,0.866,0.508,-8.591,0.058,0.769,8.35e-06,0.11,0.476,117.951,"2stbjvpFujerfDUuUUPX7o",4,200840,"breadwinner","star-crossed","G# minor"
