"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.733,0.825,6,-7.781,0,0.0825,0.0429,0.31,0.126,0.414,135.985,"54KEm0VI9i3ic7VHHKHKRx",4,169654,"¿Cómo Así?","ORQUÍDEAS","F# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.773,0.643,7,-9.457,0,0.0477,0.0355,0.357,0.108,0.43,114.997,"5mVkTPlTPxlQOn7kEvuM3j",4,177815,"Me Pongo Loca","ORQUÍDEAS","G minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.685,0.61,5,-5.36,0,0.0343,0.00348,0.00054,0.183,0.464,107.999,"6XaJfhwof7qIgbbXO5tIQI",4,260370,"Igual Que Un Ángel (with Peso Pluma)","ORQUÍDEAS","F minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.708,0.571,9,-8.346,0,0.041,0.58,0.00877,0.11,0.5,119.995,"52x8HIGuk1gGTlvO8CuLNS",4,192027,"Pensamientos Intrusivos","ORQUÍDEAS","A minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.803,0.847,5,-5.961,0,0.0763,0.0711,0.000437,0.0752,0.686,107.987,"3RleMgz4iO0BNezGdSxDnY",4,156037,"Diosa","ORQUÍDEAS","F minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.426,0.634,4,-4.798,0,0.0373,0.776,0,0.109,0.481,111.387,"1NEBuFp0BJMikgXJI9VVab",4,232066,"Te Mata","ORQUÍDEAS","E minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.736,0.563,0,-6.09,1,0.041,0.105,1.18e-05,0.0764,0.557,103.931,"43oIvC7HVMKkAvuPr4Kt4A",4,144165,"Perdiste","ORQUÍDEAS","C major"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.637,0.452,6,-8.28,0,0.0315,0.313,0.00013,0.138,0.228,103.072,"2R6tflIwv19qoYxg5hYLVh",4,198300,"Young Rich & In Love","ORQUÍDEAS","F# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.678,0.501,6,-8.321,0,0.0278,0.25,0.000148,0.157,0.453,106.014,"59ak5RmKdyspU26ifSg0rW",4,165845,"Tu Corazón Es Mío...","ORQUÍDEAS","F# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.677,0.818,0,-3.439,1,0.236,0.0743,0.00042,0.297,0.499,111.961,"20LZsv2s3dXvoBuPUEOlAv",4,219642,"Muñekita (with El Alfa & JT)","ORQUÍDEAS","C major"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.72,0.883,0,-4.973,1,0.0587,0.286,6.58e-05,0.284,0.725,89.963,"5ycn8M0WNGedabDuaH9mQT",4,195373,"Labios Mordidos (with KAROL G)","ORQUÍDEAS","C major"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.791,0.664,1,-6.183,0,0.057,0.0261,0,0.2,0.194,119.962,"16pNGHrUDtUq5Qg4LnueIi",4,188268,"No Hay Ley Parte 2 (with Rauw Alejandro)","ORQUÍDEAS","C# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.582,0.662,5,-5.103,0,0.0335,0.0814,0,0.319,0.538,85.972,"0xuR1uorCHBfBi0HDZPSYi",4,144135,"Heladito","ORQUÍDEAS","F minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5U20AVSsUvycGtWip4XQfo",2024,0.438,0.894,5,-4.36,0,0.122,0.0694,1.85e-06,0.15,0.925,149.854,"21RAJfkAbaq85RWJQWoxkx",4,215666,"Dame Beso // Muévete","ORQUÍDEAS","F minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5OZ44LaqZbpP3m9B3oT8br",2023,0.279,0.0416,5,-18.494,0,0.0406,0.776,2.93e-06,0.104,0.165,119.691,"40xfJg6ZZXr3jRJkxJJZ0O",4,25225,"in My Garden...","Red Moon In Venus","F minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5OZ44LaqZbpP3m9B3oT8br",2023,0.452,0.589,10,-8.371,0,0.0458,0.18,0.00048,0.139,0.315,141.692,"35SbrfbaSpGUBX7e5BPega",4,219954,"I Wish you Roses","Red Moon In Venus","A# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5OZ44LaqZbpP3m9B3oT8br",2023,0.583,0.544,0,-11.024,1,0.228,0.725,0,0.585,0.211,155.9,"6V91Cctseyb8yz67YQMDw3",4,150699,"Worth the Wait (feat. Omar Apollo)","Red Moon In Venus","C major"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5OZ44LaqZbpP3m9B3oT8br",2023,0.56,0.395,2,-11.236,0,0.0542,0.805,0.00264,0.102,0.414,130.782,"128I36bDgYHU9l2QcgEGcd",4,155083,"Love Between...","Red Moon In Venus","D minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5OZ44LaqZbpP3m9B3oT8br",2023,0.632,0.469,10,-8.683,0,0.0313,0.442,0.000132,0.124,0.541,94.347,"6TRjT37UyRUVrGg3gTlIqb",4,209063,"All Mine","Red Moon In Venus","A# minor"
"Kali Uchis","1U1el3k54VvEUzo3ybLPlM","5OZ44LaqZbpP3m9B3oT8br",2023,0.641,0.684,10,-6.119,0,0.0476,0.129,0.000288,0.141,0.188,104.036,"1dvqHhLNccePPBHq11TW7v",4,178274,"Fantasy (feat. Don Toliver)","Red Moon In Venus","A# minor"
