"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.768,0.771,1,-7.26,0,0.0986,0.293,0,0.332,0.707,110.039,"5KLAUdja5B2pSp6msNihlD",4,228013,"HUMAN MADE","INSANO (NITRO MEGA)","C# minor"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.745,0.716,2,-5.83,1,0.198,0.0161,0,0.0858,0.685,160.027,"0dE6bo63eqDDfIr8XZhZpN",4,161626,"DIAMONDS LIGHTS FAST CARS (feat. Wiz Khalifa)","INSANO (NITRO MEGA)","D major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.782,0.613,0,-6.924,0,0.0678,0.27,0,0.0846,0.627,130.005,"5zJc7HaHSABElZcL4WT3By",4,167266,"WIN OR LOSE (feat. Chip Tha Ripper)","INSANO (NITRO MEGA)","C minor"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.553,0.753,8,-7.455,1,0.0297,0.0165,0,0.227,0.674,179.95,"1QF0gucRbjYxmwBy9ZP48m",4,175133,"CHUNKY","INSANO (NITRO MEGA)","G# major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.67,0.781,0,-9.494,1,0.085,0.0164,0.0183,0.152,0.619,130.012,"2Gyge9sAcLi9EfYKWYQGWH",4,148853,"BABE AND I","INSANO (NITRO MEGA)","C major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.814,0.407,1,-7.147,1,0.334,0.215,0.00025,0.173,0.785,170.007,"171GowvfxC6r1WCHyb6fn3",3,244240,"WILLIS (feat. Chip Tha Ripper)","INSANO (NITRO MEGA)","C# major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.791,0.75,3,-7.245,1,0.161,0.0749,4.57e-06,0.477,0.461,100.015,"0uMsWm3xNlXkQ7q78Q0QKq",4,165573,"CRASH TEST CUDI","INSANO (NITRO MEGA)","D# major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.672,0.82,0,-5.704,1,0.256,0.203,0,0.802,0.768,155.016,"2nT0qgUbjnDVmKmnNP3vSp",4,192346,"EVERYBODY LIKE (feat. Pusha T)","INSANO (NITRO MEGA)","C major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.745,0.721,1,-4.85,1,0.0498,0.00265,0.00691,0.0337,0.573,127.998,"7qIbKygZWmVZ2ZJpgYHO19",4,217626,"ELECTROWAVEBABY 2.0","INSANO (NITRO MEGA)","C# major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.797,0.755,11,-8.704,1,0.14,0.433,0.0347,0.403,0.77,83.016,"24CuCoSd1I0wY1S92DuLnK",4,174946,"ANIMATE (feat. Chip Tha Ripper)","INSANO (NITRO MEGA)","B major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.724,0.687,5,-5.862,0,0.0661,0.247,0.00603,0.189,0.361,132.98,"79PO8wHcaDyxM0w1sKFQuY",4,226760,"ROUND N ROUND (feat. Lil Yachty)","INSANO (NITRO MEGA)","F minor"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.787,0.779,2,-7.334,1,0.23,0.553,0.00307,0.139,0.477,166.088,"30qfYM53MuNCME5QqUFpxp",4,214440,"DOSE OF DOPENESS (2007)","INSANO (NITRO MEGA)","D major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.571,0.879,4,-5.94,1,0.0873,0.227,3.79e-05,0.302,0.919,146.978,"05nX0HbRXAldu0xmwVcMTa",3,148946,"ROCKET (2011)","INSANO (NITRO MEGA)","E major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.88,0.4,10,-8.115,1,0.39,0.241,2.59e-05,0.297,0.893,123.033,"2YVkpynbH4lrZQZSJiaICM",4,172986,"ILL WHAT I BLEED","INSANO (NITRO MEGA)","A# major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.82,0.431,9,-9.615,0,0.0359,0.0454,0.00804,0.11,0.412,123.013,"33rvwaExs7zO6dbwpuf6lk",4,243346,"ALL MY LIFE","INSANO (NITRO MEGA)","A minor"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.825,0.623,9,-6.108,1,0.0502,0.0644,0,0.335,0.491,118.953,"2ObpOPtEzEHAGknf8phs9q",4,180733,"I JUST WANNA GET (feat. Layzie Bone, Krayzie Bone, Steve Aoki)","INSANO (NITRO MEGA)","A major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.739,0.641,1,-5.664,0,0.0303,0.00172,0.872,0.1,0.298,137.998,"7M1ngPJwK29DqFxbQUtWVa",4,188120,"MOON MAN SHIT","INSANO (NITRO MEGA)","C# minor"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","6ofMZXVeY7dABB00zHp8WV",2024,0.51,0.416,0,-9.249,1,0.0396,0.194,0,0.119,0.232,110.012,"4YtYrEB1utkTC75rvlsH97",4,307693,"SUPERBOY","INSANO (NITRO MEGA)","C major"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","0tpIUAzCeUkoV4u2r5NrQr",2024,0.459,0.611,5,-7.351,0,0.119,0.0479,0,0.173,0.23,148.218,"1TSO0ctzwVy2OPrbCvJDnR",4,149080,"OFTEN, I HAVE THESE DREAMZ (with DJ Drama)","INSANO","F minor"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","0tpIUAzCeUkoV4u2r5NrQr",2024,0.762,0.729,11,-7.697,0,0.0303,0.011,1.15e-06,0.101,0.782,127.968,"0vb7QySMXepNXxyhBhEJRA",4,176146,"KEEP BOUNCIN’","INSANO","B minor"
"Kid Cudi","0fA0VVWsXO9YnASrzqfmYu","0tpIUAzCeUkoV4u2r5NrQr",2024,0.78,0.41,5,-8.164,1,0.0451,0.0185,0,0.153,0.0585,121.919,"2Adxpr1j5lSihOCsmIfflJ",4,215240,"GET OFF ME (with Travis Scott)","INSANO","F major"
