"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.364,0.167,-12.168,0.0361,0.867,0.00116,0.358,0.143,121.218,"3KbOflJ5JqHWtmco4PiO3h",4,295201,"The Grants","Did you know that there's a tunnel under Ocean Blvd","G major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.457,0.343,-9.387,0.0305,0.805,0.0182,0.12,0.0562,119.94,"0HEzuLLojblUOaUSdmJ9gl",4,285050,"Did you know that there's a tunnel under Ocean Blvd","Did you know that there's a tunnel under Ocean Blvd","C major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.326,0.245,-12.337,0.0293,0.958,0.00389,0.157,0.0695,126.725,"6x8g6DxglrzCSwKhv2Q1ee",4,215295,"Sweet","Did you know that there's a tunnel under Ocean Blvd","C major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.421,0.247,-14.655,0.143,0.665,0.375,0.115,0.139,161.468,"5nW4z3pfZgJAJ2QTCz9AIE",4,433916,"A&W","Did you know that there's a tunnel under Ocean Blvd","A# major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.476,0.33,-10.48,0.102,0.96,4.39e-05,0.221,0.368,77.111,"4fFqFgMDP9lY8tqEoArFGq",4,276757,"Judah Smith Interlude","Did you know that there's a tunnel under Ocean Blvd","A major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.343,0.142,-16.432,0.0395,0.871,0.0103,0.0915,0.0799,116.295,"3MlEryrxCKZkcfX18ZLX96",4,314520,"Candy Necklace (feat. Jon Batiste)","Did you know that there's a tunnel under Ocean Blvd","B minor"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.291,0.319,-11.651,0.034,0.983,0.55,0.0627,0.0653,103.496,"2JFVBojvTHpSZLoyowuZys",4,213435,"Jon Batiste Interlude","Did you know that there's a tunnel under Ocean Blvd","A major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.447,0.0858,-15.806,0.042,0.984,0.00331,0.242,0.173,116.091,"4VL310GGX3b2ixL3sV0Je8",4,378951,"Kintsugi","Did you know that there's a tunnel under Ocean Blvd","A major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.439,0.192,-13.564,0.0418,0.924,0.000643,0.158,0.0786,124.232,"1BUckPDAi8NYfLN7EiQcQA",3,348256,"Fingertips","Did you know that there's a tunnel under Ocean Blvd","F major"
"Lana Del Rey","00FQb4jTyendYWaN8pK0wa","5HOHne1wzItQlIYmLXLYfZ",2023,0.315,0.102,-17.621,0.034,0.985,0.0512,0.109,0.185,169.69,"0Oqxt6JixieLHbwMfnJGWO",3,206722,"Paris, Texas (feat. SYML)","Did you know that there's a tunnel under Ocean Blvd","C minor"
