"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.582,0.788,11,-8.419,1,0.0511,0.0852,1.95e-05,0.0821,0.413,93.02,"4TMh5c99cynILg28a9N2eX",4,182720,"Atta Boy","Hey World","B major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.643,0.79,4,-6.079,1,0.0461,0.29,0,0.107,0.808,95.981,"6uyiyatWPCqC59Mm4rO8xL",4,188893,"One Of Them Girls","Hey World","E major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.537,0.802,6,-6.88,1,0.0471,0.0239,0,0.176,0.776,152.097,"5KbFxXtgCIceOab1vKNjVT",4,154386,"More Beer","Hey World","F# major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.617,0.704,6,-7.61,0,0.0258,0.171,0,0.0924,0.57,91.541,"1zYZs8Vbjhbzx5M3olcRnm",4,180616,"Memory I Don't Mess With","Hey World","F# minor"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.522,0.634,0,-8.133,1,0.0312,0.111,0,0.105,0.388,142.058,"4r8tnUcdD9kVETRZSTIa5E",4,201440,"Save The Roses","Hey World","C major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.603,0.834,7,-7.12,1,0.0359,0.0594,0,0.135,0.618,117.988,"292N7kbaC5DQcmlgd1rnjF",4,186186,"Good Ol' Boys","Hey World","G major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.575,0.656,7,-6.607,1,0.0362,0.136,0,0.117,0.59,121.052,"1ATvZTCBsBo7tL6YwHUc1m",3,192173,"Don't Need No Reason","Hey World","G major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.634,0.598,7,-8.281,1,0.0255,0.47,1.05e-06,0.105,0.653,98.014,"5Trtq53CG9vkuiiXZ22yHp",4,209893,"Do Not Disturb","Hey World","G major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.789,0.642,11,-8.304,1,0.0352,0.357,0,0.0985,0.755,121.003,"3vCUelLOtiuNF78p9LNWZF",4,167680,"Soul","Hey World","B major"
"Lee Brice","5Zq7R5qmi58ByYyBQTlNuk","7zhKZcqIJkkeqrswshd15r",2020,0.534,0.794,11,-7.632,0,0.0548,0.0435,0,0.36,0.675,90.025,"2iJtkYBmDeWSJBAUPLMEa4",4,185960,"Sons And Daughters","Hey World","B minor"
