"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","15h14WTWpQpFWjaw81uD0N",2023,0.311,0.496,11,-5.537,0,0.0526,0.00458,1.53e-05,0.0683,0.368,149.779,"5zNJ8sfjLHdmhRlJxNjGfl",4,129360,"in the car","Come Over When You're Sober, Pt. 2 (og version)","B minor"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.665,0.475,2,-6.933,1,0.0372,0.0574,6.27e-06,0.0827,0.089,135.952,"5LynGPH5aTxRaFcEb3mo6X",4,254106,"Smokin'","DIAMONDS","D major"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.604,0.638,2,-7.136,1,0.0799,0.0511,0,0.102,0.274,82.663,"0Cgkin0FQx7p0NkbFNaye7",4,189080,"IDGAF 2","DIAMONDS","D major"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.899,0.762,0,-4.387,0,0.0426,0.53,2.29e-06,0.118,0.802,123.026,"7CvQjUkQwxiPQhG1sMHupW",4,235146,"Favorite Drug","DIAMONDS","C minor"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.829,0.689,0,-5.534,0,0.0456,0.0187,0,0.0714,0.883,120.015,"0QFNkqFcqNvNWwl7neYWTB",4,224653,"Hypnotized","DIAMONDS","C minor"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.671,0.413,8,-8.241,1,0.253,0.464,0,0.101,0.135,160.187,"6NiY5n6U4DSvt3ODwio86t",4,150000,"Ballin'","DIAMONDS","G# major"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.611,0.561,0,-7.711,1,0.0718,0.381,0,0.514,0.243,150.07,"2y9jLjSE1fc8SO1X7CfImt",4,169613,"Really Loving You","DIAMONDS","C major"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.525,0.733,9,-4.915,0,0.0525,0.0606,0,0.137,0.241,74.947,"6jBCCagu3siLCLnUGdDpMB",4,155226,"November","DIAMONDS","A minor"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.481,0.804,6,-4.525,0,0.165,0.0216,0,0.116,0.396,169.941,"1Brr0eLX4P1hpUsbDb3HmS",4,186386,"Guiltiness","DIAMONDS","F# minor"
"Lil Peep","2kCcBybjl3SAtIcwdWpUe3","3kzwY2NyciGzUmvPOHciap",2023,0.897,0.687,0,-6.137,1,0.0937,0.0195,0,0.0999,0.441,150.009,"7xsZCOPVVcZTVQ36PvCpN5",4,269786,"Prove My Love","DIAMONDS","C major"
