"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.836,0.698,-7.356,0.102,0.206,0.000272,0.158,0.442,121.005,"5llZRv8yWPyy9Ypy217Hmc",4,196746,"No Limit","All Stand Together","D major"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.659,0.741,-8.425,0.0468,0.0381,0.00411,0.159,0.175,122.975,"21PF64NXwKLq60rpAYgrnb",4,195480,"All Stand Together","All Stand Together","C# minor"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.693,0.738,-7.642,0.0296,0.0767,1.66e-05,0.146,0.657,123.006,"7d8s1ckbiRSCTasakGGam1",4,161093,"Dive","All Stand Together","F minor"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.73,0.845,-6.702,0.131,0.304,1.12e-05,0.206,0.424,123.992,"1elmYn9vrSnQzs44rJcVY6",4,173888,"Head Down","All Stand Together","E minor"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.665,0.517,-8.289,0.0319,0.194,0,0.136,0.44,115.93,"4PdSICTVRI1xrXZM1sOSCe",4,156546,"Back To You","All Stand Together","C major"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.636,0.711,-8.283,0.106,0.4,0,0.0834,0.395,131.937,"25jTLospI6eYVZ5TDDQN7V",4,154386,"The Feeling","All Stand Together","G major"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.681,0.724,-6.975,0.0573,0.0292,0.000339,0.351,0.276,171.975,"30IS0yEJnQj6exjENsOjtw",4,164253,"Leave You In The Past","All Stand Together","G# minor"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.843,0.712,-6.991,0.0438,0.393,5.01e-05,0.108,0.0936,124.021,"679IlAgeRqPBMEmAEkzZJK",4,188680,"Just Wanna Know","All Stand Together","C major"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.762,0.632,-8.312,0.085,0.51,0.000205,0.18,0.282,121.031,"3mfER4ORePHvN35cbZ3dkV",4,149066,"Where Are You Now","All Stand Together","F# minor"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.604,0.692,-7.658,0.0569,0.394,2.73e-05,0.182,0.59,123.982,"3bRyWA7tDRImHKnSoGG95i",4,177813,"Questions","All Stand Together","B major"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.608,0.723,-6.872,0.0313,0.285,0,0.112,0.358,120.041,"1ovfVFW6hg0uQuxxvGlhCb",4,201813,"Gone","All Stand Together","A minor"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","6Kk0U3JRoniLtiSjypjEVL",2023,0.666,0.564,-10.224,0.0341,0.798,0.673,0.0974,0.177,124.014,"4ImQXHjZG79qCzysW8ySaR",4,396346,"Fall At Your Feet","All Stand Together","C minor"
"Lost Frequencies","7f5Zgnp2spUuuzKplmRkt7","0DRR6FRyYuEPUyGvloawS2",2020,0.729,0.604,-8.934,0.0449,0.727,0.128,0.117,0.152,120.02,"4JCjpOFuB93jNf8I2Ro56G",4,157141,"One More Night","Cup Of Beats (Deluxe)","G major"
