"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","4rii2OLIasjb8JnzA0Ylel",2024,0.535,0.099,10,-15.842,1,0.0562,0.533,0,0.0639,0.18,86.575,"5dh43BY8o411DndBftV3Y6",4,199000,"Unless","La Vie En Rose","A# major"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.593,0.287,1,-12.472,1,0.0469,0.764,0,0.153,0.639,77.117,"1fXBpXQjO3OtE1Oh5gJ2BZ",4,175986,"Sleigh Ride","Ella & Louis Wish You A Swinging Holiday","C# major"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.574,0.414,9,-7.16,0,0.0495,0.842,0,0.172,0.867,77.968,"0CnKQBAtUFxrdns0bC09MB",4,163040,"Let It Snow! Let It Snow! Let It Snow!","Ella & Louis Wish You A Swinging Holiday","A minor"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.609,0.247,7,-9.038,1,0.0425,0.961,2.41e-06,0.219,0.485,112.3,"5YUwdZUgsNrRqNZi4x1HQk",4,175840,"Have Yourself A Merry Little Christmas","Ella & Louis Wish You A Swinging Holiday","G major"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.379,0.173,1,-15.206,1,0.0755,0.845,0,0.121,0.306,75.606,"0UdWKgmdWtZPyfjXRBSlVw",4,182973,"The Christmas Song","Ella & Louis Wish You A Swinging Holiday","C# major"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.572,0.51,3,-6.857,1,0.0849,0.815,0,0.141,0.897,79.943,"6Q1dsMtjeYaVnaloQr1YaT",4,138306,"Santa Claus Is Coming To Town","Ella & Louis Wish You A Swinging Holiday","D# major"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.699,0.726,7,-5.364,1,0.0726,0.575,0,0.655,0.877,119.185,"1EUq3BZN2hq959iSFAVCxd",4,143093,"Jingle Bells","Ella & Louis Wish You A Swinging Holiday","G major"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.579,0.502,8,-7.57,1,0.0513,0.733,0,0.281,0.836,76.783,"5LGMlaLnxEVFBEkpHjPQhU",4,131733,"Frosty The Snowman","Ella & Louis Wish You A Swinging Holiday","G# major"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.527,0.343,2,-9.39,0,0.0447,0.838,0,0.619,0.611,112.872,"4UedMLVIyZdQbdZYEIjqFj",4,137880,"Christmas Island","Ella & Louis Wish You A Swinging Holiday","D minor"
"Louis Armstrong","19eLuQmk9aCobbVDHc6eek","3q1B9PagZJbdvRhw7ZXuJz",2023,0.35,0.253,1,-10.555,1,0.0415,0.983,2.88e-06,0.137,0.24,136.808,"7dRyrFbFUi3vBdYgcaDmqc",4,212106,"What Are You Doing New Year's Eve?","Ella & Louis Wish You A Swinging Holiday","C# major"
