"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.576,0.699,1,-8.627,1,0.0586,0.191,1.19e-05,0.168,0.367,89.973,"0TzPcGalV2nb2LqRNDk543",4,180003,"No Te Sientes Igual","2000","C# major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.702,0.62,2,-7.077,1,0.166,0.0477,3.03e-05,0.118,0.0669,123.008,"6JpUHnddHwv9cJ6sFD0nzM",4,221776,"Triste","2000","D major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.775,0.677,8,-4.703,0,0.0442,0.0313,0.00517,0.112,0.698,124.011,"6lpGP2JvV7grJ8LBZ5obQS",4,189668,"El Merengue","2000","G# minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.604,0.835,7,-2.546,1,0.222,0.132,0,0.131,0.3,171.918,"0iuvbEezJcCPASKTrQ1v76",4,187677,"Jamaica","2000","G major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.673,0.612,6,-6.536,1,0.279,0.278,0,0.158,0.71,137.998,"0l5dmY84NVWp8DXcsRUk11",4,152107,"U Lala","2000","F# major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.567,0.591,5,-3.733,0,0.382,0.194,0.000182,0.0711,0.403,169.903,"7M8BZVPwEvO66vJCZvBXOY",4,196974,"Verte de Nuevo","2000","F minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.722,0.631,0,-3.181,0,0.206,0.0234,0,0.116,0.445,88.039,"5PTaAIh8pOxJ7RPpyvrdVJ",4,166570,"Guayabo","2000","C minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.808,0.612,5,-5.301,1,0.104,0.328,0,0.11,0.757,137.986,"2wKCkLD4ZqSA4S7k3MZPLN",4,163911,"Inténtalo","2000","F major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,"3tt9i3Hhzq84dPS8H7iSiJ",4,162637,"La Bachata","2000","G minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.499,0.587,7,-7.073,1,0.222,0.541,0,0.109,0.433,166.192,"60mUFN9EkDRL3YGOnKcbQ7",4,188822,"Vacío","2000","G major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.734,0.708,1,-5.468,0,0.0522,0.483,1.18e-05,0.335,0.712,154.049,"7tsxLsQVyH14dXnx2L84Ti",3,148000,"Despecho","2000","C# minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.829,0.747,7,-3.511,1,0.149,0.276,0,0.339,0.576,98.03,"4bADyrVual0RgJodXqRQRu",4,191606,"Éxtasis","2000","G major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.704,0.698,0,-4.679,0,0.306,0.238,0,0.109,0.61,177.867,"4hd4OLVtZ3jR7FisUCztfE",4,211436,"Te Olvido","2000","C minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","7ubO2LZJZFpyhiWMZkRwcH",2023,0.587,0.679,11,-7.171,0,0.143,0.158,0.000602,0.0993,0.376,119.974,"5cFAp1e24SxjSeNC8gH5Hs",4,184737,"De 100 a 0","2000","B minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.787,0.648,4,-6.133,1,0.134,0.118,0.000967,0.0971,0.814,83.976,"5HHWykPjtlGoJpZpoy4zNH",4,172670,"Tiempo","Dopamina","E major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.859,0.67,7,-4.859,1,0.148,0.208,0.00105,0.226,0.667,96.013,"56hRNcWyNKZ2W5AT60hAe2",4,185000,"Caliente","Dopamina","G major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.823,0.772,0,-4.935,1,0.0591,0.243,0,0.118,0.582,96.001,"09WuqcTbf8iMRn8W4N8xBX",4,230728,"Mala Costumbre","Dopamina","C major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.795,0.852,11,-3.324,0,0.132,0.0545,0,0.0925,0.72,99.968,"2tyNJD6j586YvBywJ2KjQK",4,169290,"Kayak","Dopamina","B minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.946,0.729,6,-2.901,1,0.0952,0.106,0.00575,0.0733,0.65,108.011,"6W5FUxm7nuBCSCqMyq0jcL",4,157423,"Hoy Vuelvo a Beber","Dopamina","F# major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.736,0.632,11,-4.939,0,0.0648,0.18,0,0.349,0.503,92.03,"5VzNsUnLmYcRfRfxpQsusa",4,216107,"La Nota","Dopamina","B minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.773,0.64,3,-4.777,0,0.207,0.119,0,0.17,0.605,170.067,"2MaYHbpwybBOm9CrDBfChl",4,228720,"Cosas Malas","Dopamina","D# minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.635,0.623,8,-3.908,0,0.133,0.161,0,0.0932,0.454,187.903,"59tFutJa1AiOO2S1q4nSXk",4,166404,"Te Fallo","Dopamina","G# minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.865,0.652,7,-4.658,1,0.156,0.0612,0,0.305,0.508,96.967,"0GezDrH6eyTLWx8Zyu9W97",4,236791,"Ahora Eh","Dopamina","G major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.644,0.661,1,-4.877,0,0.451,0.369,0,0.0733,0.355,180.05,"0kRU83ecI57Iw1kPTeUwK5",4,199881,"Amor en Coma","Dopamina","C# minor"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.793,0.782,4,-3.945,1,0.0582,0.447,0,0.124,0.81,143.86,"1WH3iquIQXnSPwUzlROT8R",4,191945,"Quiéreme Mientras Se Pueda","Dopamina","E major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","2yYl7Q3GOoBjznGy0Rsc2f",2021,0.767,0.704,6,-3.837,1,0.0895,0.0622,4.4e-06,0.116,0.409,99.968,"54ZWl57vHZDBIj9nxrgpAu",4,165619,"Antes Que Te Vayas","Dopamina","F# major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","0CUMVFalkFhZM6Xo0ErxLi",2019,0.788,0.477,4,-7.348,1,0.0434,0.549,0,0.349,0.86,94.983,"5jf0PmPCHefQ78uAzqIqbj",4,213026,"Una Lady Como Tú","ADN","E major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","0CUMVFalkFhZM6Xo0ErxLi",2019,0.697,0.648,7,-7.123,1,0.128,0.425,0,0.191,0.313,186.125,"6DPp7xKJ4WS71HldGA038M",4,199813,"Esperándote","ADN","G major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","0CUMVFalkFhZM6Xo0ErxLi",2019,0.573,0.31,3,-11.134,1,0.296,0.94,5.65e-06,0.198,0.764,177.601,"2zufEOvbBeIzYnRktwYk1W",4,233929,"Culpables","ADN","D# major"
"Manuel Turizo","0tmwSHipWxN12fsoLcFU3B","0CUMVFalkFhZM6Xo0ErxLi",2019,0.704,0.706,11,-5.233,0,0.111,0.483,0,0.0965,0.856,92.965,"0KHhNlHN5lWn7q332PiPys",4,195044,"Sola","ADN","B minor"
