"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","3YtT3aMR7tyXJ1hqeYrzhr",2022,0.797,0.813,5,-4.576,0,0.309,0.35,0,0.124,0.902,134.923,"2u7XFQc7FkWkcuv43HRUnf",4,178209,"Depois Que Ela Entrar na Onda","Tamborzão Raiz (Deluxe)","F minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","3YtT3aMR7tyXJ1hqeYrzhr",2022,0.841,0.72,1,-3.92,0,0.467,0.577,0,0.223,0.488,134.952,"4reu1jQD1AQqES6LVkMJIh",4,119111,"Amor de Laço","Tamborzão Raiz (Deluxe)","C# minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","3YtT3aMR7tyXJ1hqeYrzhr",2022,0.696,0.897,7,-4.679,1,0.409,0.479,0,0.199,0.879,89.83,"5xVREHUcdqnrMh6v98q0AT",5,133333,"Crime e Putaria","Tamborzão Raiz (Deluxe)","G major"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","3YtT3aMR7tyXJ1hqeYrzhr",2022,0.528,0.728,0,-4.67,0,0.418,0.508,0,0.155,0.86,88.856,"3K1WkWOKwGAvnIro8W8t3U",5,193777,"Não Sou de Ninguém","Tamborzão Raiz (Deluxe)","C minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","3YtT3aMR7tyXJ1hqeYrzhr",2022,0.814,0.706,10,-5.646,0,0.0739,0.0766,0,0.35,0.706,144.992,"607HW8Uz3PS50TI38917iT",4,149275,"No Love","Tamborzão Raiz (Deluxe)","A# minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.77,0.645,5,-6.912,0,0.339,0.581,8.95e-05,0.343,0.66,134.858,"5WsM6qhZzRSD3oKbtorxzD",4,152888,"Aquecimento Senta Senta Suave","Tamborzão Raiz","F minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.689,0.612,11,-6.984,0,0.378,0.674,0,0.0868,0.261,134.925,"3MUobdrf1ZoMxO3B3iXg0d",4,160000,"Na Primeira Vez","Tamborzão Raiz","B minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.727,0.786,5,-5.755,0,0.291,0.491,1.52e-05,0.145,0.682,134.571,"3khLpwuyIjEOw8vfJ1oUIT",4,122666,"Papin","Tamborzão Raiz","F minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.797,0.813,5,-4.576,0,0.309,0.35,0,0.124,0.902,134.923,"1BkFA01wIvJG5uu92GAkYS",4,178209,"Depois Que Ela Entrar Na Onda","Tamborzão Raiz","F minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.841,0.72,1,-3.92,0,0.467,0.577,0,0.223,0.488,134.952,"7Ho8lN4akf2go12vQB0I8N",4,119111,"Amor De Laço","Tamborzão Raiz","C# minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.696,0.897,7,-4.679,1,0.409,0.479,0,0.199,0.879,89.83,"1UPHYKa1mrobWMlx01XGES",5,133333,"Crime E Putaria","Tamborzão Raiz","G major"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.612,0.755,0,-7.266,1,0.545,0.257,0,0.114,0.887,202.623,"6tKlHTRbXgP4bgsUoyH73X",3,165333,"Fala","Tamborzão Raiz","C major"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","7qwJFRvShWMVg39UKWafzW",2022,0.528,0.728,0,-4.67,0,0.418,0.508,0,0.155,0.86,88.856,"4MqQPTc8r6xSxmeWPA24h2",5,193777,"Não Sou De Ninguém","Tamborzão Raiz","C minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","48zl7depKidq6BMCzlVD6C",2022,0.893,0.461,3,-5.708,0,0.422,0.713,0.0406,0.117,0.864,135.136,"0jAAnWNbcHf6X1EXOtvOT7",4,239999,"Incendeia","Sonho de Garoto (Deluxe)","D# minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","48zl7depKidq6BMCzlVD6C",2022,0.852,0.394,8,-6.124,0,0.597,0.386,5.87e-05,0.0663,0.608,135.423,"2a3HBRyNqKzsfX4f5B9exN",4,135809,"Perversa","Sonho de Garoto (Deluxe)","G# minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","48zl7depKidq6BMCzlVD6C",2022,0.794,0.462,5,-6.279,0,0.319,0.206,0.00611,0.0882,0.692,149.892,"7FgX57dgGfWniqCtTlFVop",4,108783,"Clima Quente","Sonho de Garoto (Deluxe)","F minor"
"MC Kevin o Chris","2UMj7NCbuqy1yUZmiSYGjJ","48zl7depKidq6BMCzlVD6C",2022,0.565,0.356,8,-3.067,1,0.201,0.804,1.98e-06,0.169,0.861,170.356,"3Wi0FqiJp2zDr3t1w1Gq0W",4,127751,"Marquinha de Sol","Sonho de Garoto (Deluxe)","G# major"
