"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.556,0.43,11,-8.876,1,0.0998,0.835,0,0.0923,0.505,125.029,"31ruhXo3xWYJUfGk1uU77y",4,168959,"Me Chama Pelo Meu Vulgo","O Cara Do Momento, Vol. 2","B major"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.767,0.54,1,-7.96,1,0.0565,0.336,0,0.108,0.544,123.986,"5jrQZnYInM6YUjr2yFSa3E",4,243870,"Vem Desestressar","O Cara Do Momento, Vol. 2","C# major"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.687,0.575,3,-5.245,0,0.0447,0.834,0,0.111,0.514,112.025,"1pOELyz8t0Why9R1XtAO5r",5,211428,"LOVE LOVE","O Cara Do Momento, Vol. 2","D# minor"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.605,0.538,3,-7.714,0,0.225,0.788,0,0.177,0.656,75.161,"3tGiBHrLSYXuUtaDZ4jmXt",4,243200,"Dentro Da Mala","O Cara Do Momento, Vol. 2","D# minor"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.506,0.824,4,-5.203,0,0.336,0.487,0,0.326,0.801,85.056,"77HIoXpdLWwssaU19XZQDH",5,606720,"Modo Rajada","O Cara Do Momento, Vol. 2","E minor"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.822,0.716,10,-5.477,0,0.0457,0.606,0.0183,0.598,0.834,110.036,"759JQKhbfrQjs9wNcmyAfl",4,196363,"Só Quero Saber","O Cara Do Momento, Vol. 2","A# minor"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.739,0.611,5,-6.535,0,0.0572,0.531,0,0.105,0.638,138.918,"26awcWlmYwGaZQbZNWpWsY",4,583597,"Mãos Para o Alto","O Cara Do Momento, Vol. 2","F minor"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.721,0.815,8,-6.368,0,0.069,0.573,0.0061,0.375,0.736,90.001,"59LdBsCUDHTKfPEjHwQqGG",4,159999,"Meu Lugar","O Cara Do Momento, Vol. 2","G# minor"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","35C0UUdgV8mkuBaJrxbagf",2024,0.499,0.633,10,-7.255,0,0.0552,0.664,0,0.308,0.481,118.32,"2QOBVz53NYG3TySXgewhSn",5,177977,"Some da minha vida","O Cara Do Momento, Vol. 2","A# minor"
"MC PH","4PLdCloYxu2bMKfuuB9lI5","2GJl4ruFhOBOghvHKVv6wV",2023,0.536,0.658,11,-6.918,0,0.248,0.895,0.000146,0.309,0.623,126.297,"5eGgJrFYIZj4BEd0Inhzq0",3,139999,"Momentos (Introdução)","O Cara Do Momento","B minor"
