"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.603,0.358,-9.972,0.0284,0.808,0,0.0801,0.427,95.833,"7h3mCPlHYCPuSG93s7M3Xt",4,134948,"MEDIA LUNA","ESTRELLA","F# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.747,0.669,-5.781,0.0409,0.478,0,0.0792,0.34,130.028,"1uFAI2C6r3YBQmXCAPGzZv",4,149538,"PASAJERO","ESTRELLA","C# major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.765,0.628,-6.385,0.0505,0.463,0,0.0798,0.686,91.95,"3pQr8EhSzvKN3ZZlaL4Pae",4,185326,"PÓLVORA","ESTRELLA","C major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.722,0.519,-10.142,0.297,0.555,0,0.118,0.779,170.058,"0sfk352FO8bJUjWjIsyzSR",4,144427,"DONDE SE APRENDE A QUERER?","ESTRELLA","G# major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.724,0.578,-7.117,0.0819,0.632,1.06e-06,0.0943,0.757,167.985,"0QRHOAeU8JRaVVn3UoZBih",4,211879,"REINA","ESTRELLA","A# major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.746,0.777,-5.818,0.0565,0.348,1.46e-05,0.0932,0.757,129.862,"2v1EKQQn4UYC6qB13Vphaf",4,191847,"FANTASÍAS","ESTRELLA","F minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.787,0.572,-7.252,0.202,0.222,0,0.102,0.234,124.976,"4CQW7jSDYk3kRfv7708NGF",4,197787,"EL CHACAL","ESTRELLA","G major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.701,0.673,-6.691,0.0562,0.173,0,0.11,0.559,142.986,"0JLKzgJT62z3jNWsDt6znJ",4,246593,"LAGUNA","ESTRELLA","B minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.574,0.592,-6.475,0.0943,0.383,0,0.22,0.263,199.995,"5Bn7ZZ5EEwUKKN8WV6HmXZ",4,154154,"LOKITA","ESTRELLA","G# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.703,0.486,-7.611,0.164,0.275,0,0.102,0.629,79.804,"2tAwNLAIBtgXdzQOtVq6mL",4,207903,"PIDE","ESTRELLA","G# major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.813,0.483,-6.556,0.1,0.253,0,0.132,0.528,96.047,"2ECSDcH0Fk1yRO5KkVZwKn",4,218883,"UN DESEO","ESTRELLA","G major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.658,0.66,-6.076,0.0926,0.513,0,0.11,0.383,93.11,"6XjsXIb1DUhsmhflFAODv3",4,193367,"DIAMONDS","ESTRELLA","D major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.685,0.616,-7.518,0.0719,0.644,0,0.183,0.356,173.961,"0FCiBGB36gPUW49xuoZYJm",4,189001,"CÓRCEGA","ESTRELLA","G minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.82,0.571,-5.154,0.073,0.627,0,0.116,0.726,124.922,"5kp2Lc7zL9znAoU9XTm1l1",4,148082,"MAREA","ESTRELLA","G# major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0SoJvPHbKVhvmVJOp3kzp3",2023,0.488,0.534,-8.567,0.0538,0.362,0,0.232,0.261,111.249,"2GwQTPBJTnNfnZ2kHly8nw",5,317016,"AYER Y HOY","ESTRELLA","C# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.576,0.439,-11.281,0.0427,0.951,0.269,0.111,0.0765,122.136,"6v3fbkLKRH6jsa6dho9ocx",4,103963,"BIENVENIDA AL PARAÍSO","PARAÍSO","D minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.813,0.772,-4.921,0.117,0.121,0,0.0886,0.443,119.99,"0rvbMTIWwMZaMC9UnubDPb",4,190745,"DOMINGO DE BOTE","PARAÍSO","C major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.757,0.738,-4.913,0.22,0.712,9.67e-06,0.198,0.753,120.091,"3vKYvbzB7801a5qd47pxkm",4,199831,"APA","PARAÍSO","G# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.455,0.592,-7.069,0.227,0.45,1.03e-06,0.116,0.512,134.025,"3l9YiADzNmEvBfZVPEF49F",4,202967,"CALENTÓN","PARAÍSO","B minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.626,0.615,-4.526,0.145,0.351,0,0.137,0.596,171.964,"6eP29HuqLSONvO7xTb5dSH",4,195769,"COSITAS","PARAÍSO","C major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.749,0.601,-7.508,0.0743,0.716,5.01e-05,0.159,0.818,129.988,"3WdR6kP1JJm2kDLaL6nAyH",4,235431,"EN LA ORILLA","PARAÍSO","B minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.711,0.752,-7.574,0.2,0.191,0.0106,0.338,0.528,145.047,"559YUIWxUc8Mx4lsla13Ff",4,190496,"MODELITO","PARAÍSO","G minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.804,0.757,-5.494,0.0396,0.275,0,0.189,0.442,125.998,"3yIyUQXF050PehHtbkgaDu",4,183709,"CASUALIDAD","PARAÍSO","A minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.81,0.718,-4.799,0.0587,0.258,0,0.0822,0.5,90.934,"0fuyLaeHh0TvQ65m5ojgP2",4,185527,"AIRBNB","PARAÍSO","C major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.736,0.643,-5.248,0.0884,0.569,6.33e-06,0.107,0.576,91.998,"5RgSwK9Y13567fta5goKTz",4,170183,"TU SABES DONDE VIVO","PARAÍSO","B major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.742,0.57,-9.074,0.0482,0.789,0.00294,0.135,0.346,119.998,"3kcj2zzabr8qnR4MnMeWv2",4,200278,"EIVISSA","PARAÍSO","F major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.793,0.62,-3.769,0.0462,0.309,0,0.121,0.917,111.979,"5S7FewmYYyLNdMOfeEcB6P",4,127333,"COMO HAS ESTAU?","PARAÍSO","D# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.612,0.624,-4.977,0.13,0.156,0,0.0908,0.371,89.978,"6CTPAEcZHibzE7ojZKGojh",4,169129,"MALAFAMA","PARAÍSO","A minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","7b3PrkHcWx17AQwlI2M1Uc",2022,0.74,0.696,-6.583,0.0515,0.225,0,0.109,0.543,108.046,"1IidViHpUaEASL36jjPsK0",4,233552,"QUE HABILIDAD","PARAÍSO","F minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0QLDQG7Jx78rEUDW03IhHC",2022,0.704,0.489,-7.437,0.0959,0.2,0.000135,0.0574,0.343,119.082,"3t2ANh6j5JnTCDkVRBsukB",4,191596,"badtrip :(","MICRODOSIS","C# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0QLDQG7Jx78rEUDW03IhHC",2022,0.755,0.698,-5.554,0.106,0.14,0,0.12,0.678,176.022,"6XHBJ1LSOcVINYXAAd6KIH",4,171690,"2010","MICRODOSIS","A# major"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0QLDQG7Jx78rEUDW03IhHC",2022,0.771,0.707,-6.404,0.055,0.389,0,0.0745,0.317,127.963,"2hLXUbsOU9cDb9RFva9FYr",4,228750,"MEMORIAS","MICRODOSIS","D minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0QLDQG7Jx78rEUDW03IhHC",2022,0.548,0.688,-6.016,0.34,0.255,0,0.169,0.502,180.298,"3cR23eAZcjukbKtb9knlL4",4,174916,"ROBERT DE NIRO","MICRODOSIS","A# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0QLDQG7Jx78rEUDW03IhHC",2022,0.656,0.542,-6.616,0.244,0.683,0.00117,0.119,0.631,172.005,"4tw2afU1W4m0hgaL7XySKO",4,171976,"PECADO","MICRODOSIS","C# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0QLDQG7Jx78rEUDW03IhHC",2022,0.786,0.746,-5.142,0.0912,0.572,0,0.0945,0.811,91.939,"3mEoWn2r5tobVKgV0UP4Ck",4,144130,"LINDOR","MICRODOSIS","A# minor"
"Mora","0Q8NcsJwoCbZOHHW63su5S","0QLDQG7Jx78rEUDW03IhHC",2022,0.683,0.714,-4.898,0.252,0.181,1e-06,0.111,0.448,173.963,"30W8VKHrAZmHzObnwAoc1u",4,174482,"TUS LÁGRIMAS","MICRODOSIS","C# major"
