"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.546,0.787,0,-4.023,0,0.212,0.396,0,0.0619,0.497,100.559,"0EgLxY52mpGsXETyEsgVlP",3,264473,"HOPE","HOPE","C minor"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.685,0.882,0,-4.103,0,0.296,0.082,0,0.286,0.715,80.283,"0pHrAAe6sSVDeUeNe5IesY",4,217271,"MOTTO","HOPE","C minor"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.834,0.834,11,-4.035,0,0.0591,0.0671,0,0.373,0.344,130.024,"7FET9gtiECWn7llt0sfvtU",4,209500,"CAREFUL","HOPE","B minor"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.547,0.748,11,-3.848,1,0.414,0.284,0,0.113,0.0876,89.386,"1PvhuffRIPgvOYsa6tPEkr",4,208213,"MAMA","HOPE","B major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.732,0.855,7,-4.064,1,0.0415,0.306,0,0.12,0.221,106.004,"3ZEno9fORwMA1HPecdLi0R",4,242691,"HAPPY","HOPE","G major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.847,0.714,4,-4.42,0,0.115,0.44,0,0.271,0.302,98.996,"0fLGrGCrbziOu3dnjQMCWS",3,197006,"PANDEMONIUM","HOPE","E minor"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.583,0.51,1,-4.671,1,0.365,0.296,0,0.101,0.477,160.024,"6fMpW2jYiXS6tpx2WgMIys",4,265529,"SUFFICE","HOPE","C# major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.564,0.373,5,-6.218,1,0.0408,0.515,0,0.0995,0.458,80.088,"2LCGFBu1ej6zt4r1VGPjny",4,246118,"GONE","HOPE","F major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.668,0.883,6,-4.031,0,0.279,0.287,0,0.48,0.144,82.874,"3vBTFVEcGhmH13Y0Lj9UTN",4,222510,"BULLET","HOPE","F# minor"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.549,0.72,8,-3.993,1,0.27,0.223,0,0.11,0.355,95.962,"5yetwZ4BDlgCzd5typypWU",3,216097,"TURN MY BACK","HOPE","G# major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.834,0.414,4,-5.978,0,0.0411,0.642,0,0.159,0.391,110.048,"0rc9XLNs7KZXu2ASA3LbL8",4,215186,"MISTAKE","HOPE","E minor"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.583,0.676,4,-4.954,0,0.238,0.246,0,0.12,0.182,99.502,"6dijMqFUwi7Dfh1aw5IpoL",4,213577,"LET EM PRAY","HOPE","E minor"
"NF","6fOMl44jA4Sp5b9PpYCkzz","6zaisPwfcIAfdUGPj3mmGY",2023,0.549,0.601,5,-6.129,1,0.0852,0.258,0,0.168,0.296,145.552,"1l0wPhFZP1kWkZNQrrYrGy",4,253532,"RUNNING","HOPE","F major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","7eQGtkzCgrIWDOe76E9F8t",2021,0.788,0.652,1,-3.931,1,0.405,0.373,0,0.755,0.812,128.108,"1mvI5pGoh84IiFSbWxEkGH",4,243760,"CLOUDS","CLOUDS (THE MIXTAPE)","C# major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","7eQGtkzCgrIWDOe76E9F8t",2021,0.788,0.933,9,-2.664,1,0.298,0.599,0,0.685,0.6,139.016,"27a0ydWvFCt4jgl9m61lS1",4,229656,"THAT'S A JOKE","CLOUDS (THE MIXTAPE)","A major"
"NF","6fOMl44jA4Sp5b9PpYCkzz","7eQGtkzCgrIWDOe76E9F8t",2021,0.775,0.757,9,-4.607,0,0.228,0.489,0,0.28,0.541,140.044,"7tTRFVlFzk6yTnoMcParmi",4,251236,"JUST LIKE YOU","CLOUDS (THE MIXTAPE)","A minor"
