"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh",2024,0.847,0.912,11,-3.129,1,0.257,0.0781,0,0.142,0.88,81.486,"6UcHEiUIzWN4s7n1WRQycB",4,156894,"Final Warning","Certified","B major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh",2024,0.826,0.616,2,-5.479,1,0.328,0.241,0,0.287,0.612,127.925,"3TSXrYJlJ0iluqPTsOXrCw",4,181198,"Jumpin (feat. Polo G)","Certified","D major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh",2024,0.732,0.627,4,-5.693,0,0.16,0.346,0,0.261,0.332,81.481,"32CZEMRVWiJXopqpp5yxvX",4,135460,"Famous Hoes","Certified","E minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh",2024,0.614,0.953,2,-4.162,1,0.0688,0.119,0,0.331,0.593,154.969,"20hxZJQBUWzgDdRe2tmTRJ",4,192200,"Capo","Certified","D major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","3kKlvphz0K4uabkNcQQIMh",2024,0.698,0.791,10,-6.581,0,0.255,0.0135,0,0.361,0.838,87.497,"1fRHdaecyvKYpOnFn8SxxI",4,164832,"Free Youngboy","Certified","A# minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","6R8l6AT10mY3uuRugnQaLi",2024,0.746,0.526,1,-6.93,1,0.26,0.00388,0,0.296,0.392,131.792,"4hjpco3HMl6EyWlkBdsojA",4,132986,"Shotta Flow 2","Shotta Flow Series","C# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","6R8l6AT10mY3uuRugnQaLi",2024,0.859,0.596,11,-7.021,1,0.329,0.0194,0,0.0489,0.479,140.064,"5i3ua8rBBy0PY4vFnxiIAn",4,192147,"Shotta Flow 6","Shotta Flow Series","B major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","6R8l6AT10mY3uuRugnQaLi",2024,0.943,0.77,2,-4.665,1,0.237,0.0056,0,0.116,0.219,120.004,"4O6klCRi5E7s5X0jA9u7VR",4,165433,"Shotta Flow 7","Shotta Flow Series","D major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","5rhTH1NfLxnKaiLVrivX1c",2024,0.735,0.467,8,-8.866,1,0.225,0.00555,0,0.299,0.256,140.027,"3vKdhFKcIBJztyXqQZsW0D",4,145084,"Off The Muscle","The Chosen Ones","G# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","5rhTH1NfLxnKaiLVrivX1c",2024,0.819,0.373,1,-14.373,1,0.383,0.171,0.000564,0.101,0.335,170.014,"3Nu7yhot91p49rboiNTp1E",4,146880,"Big Homie","The Chosen Ones","C# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","5rhTH1NfLxnKaiLVrivX1c",2024,0.757,0.417,4,-10.205,0,0.47,0.0862,0,0.0976,0.645,150.158,"2Z8u7nNoKfikNJVvZJ7CDK",4,180871,"It's Up","The Chosen Ones","E minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","5rhTH1NfLxnKaiLVrivX1c",2024,0.726,0.525,10,-7.601,1,0.602,0.0169,0,0.326,0.387,84.272,"3A7kSRK5vNabmjT0kQZJnj",4,233063,"Switch The Beat Up","The Chosen Ones","A# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","5rhTH1NfLxnKaiLVrivX1c",2024,0.729,0.651,11,-9.17,1,0.475,0.132,0,0.369,0.303,134.005,"4hwKbMQY9OyEBOkpko3cOF",4,184485,"MEM","The Chosen Ones","B major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","5rhTH1NfLxnKaiLVrivX1c",2024,0.679,0.633,8,-6.405,1,0.312,0.0384,0,0.18,0.494,95.232,"0QJvuO2s5hMU0l6SETzqQp",4,203255,"From the Heart","The Chosen Ones","G# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","5rhTH1NfLxnKaiLVrivX1c",2024,0.609,0.654,6,-7.013,0,0.158,0.0169,0,0.123,0.167,139.933,"2J7lxdvID4CgrtFWkpX5Xx",4,190631,"Purge On Em","The Chosen Ones","F# minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","1ugjPDt5OYUeYmwYkgqEfQ",2023,0.675,0.416,5,-14.343,1,0.945,0.663,0,0.139,0.551,87.498,"6qSt4n7npVkBVtIJLCP5Dc",4,92040,"MESSAGE FROM WEEZY (feat. Lil Wayne)","Cottonwood 2 (Deluxe 2.0)","F major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","1ugjPDt5OYUeYmwYkgqEfQ",2023,0.815,0.733,0,-3.811,1,0.214,0.00484,0,0.0659,0.557,145.01,"47ZsXjz2eWMN73dllWQp6d",4,142968,"WE SEE YOU","Cottonwood 2 (Deluxe 2.0)","C major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","1ugjPDt5OYUeYmwYkgqEfQ",2023,0.908,0.757,11,-3.889,0,0.0606,0.015,0,0.0673,0.577,106.031,"7o9NyyroX5a9Hp0NKMnrYa",4,134424,"IT'S GETTING HOT","Cottonwood 2 (Deluxe 2.0)","B minor"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","1ugjPDt5OYUeYmwYkgqEfQ",2023,0.831,0.793,1,-4.127,1,0.369,0.0195,0,0.259,0.833,144.967,"3ScMs95OaNlkrZuRe7gyYa",4,149449,"PISTOL PACCIN","Cottonwood 2 (Deluxe 2.0)","C# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","1ugjPDt5OYUeYmwYkgqEfQ",2023,0.851,0.623,1,-3.793,1,0.253,0.0656,0,0.0946,0.426,142.09,"6ExluxmvxQYV20JlgxdnLu",4,173931,"SMOKIN ON THEM","Cottonwood 2 (Deluxe 2.0)","C# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","1ugjPDt5OYUeYmwYkgqEfQ",2023,0.812,0.615,8,-4.844,1,0.263,0.0385,0,0.401,0.565,130.934,"0irL2gY4pZZMNuD3O3Wfgm",4,161805,"CMON FREESTYLE","Cottonwood 2 (Deluxe 2.0)","G# major"
"NLE Choppa","0ErzCpIMyLcjPiwT4elrtZ","1ugjPDt5OYUeYmwYkgqEfQ",2023,0.828,0.814,2,-6.372,1,0.336,0.102,0,0.117,0.567,133.164,"4FNfw54WgPQmgTs56QtVNC",4,144341,"GOOD DAY","Cottonwood 2 (Deluxe 2.0)","D major"
