"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","3ZexesAv5PN4RPMiEkOEXC",2022,0.59,0.687,-7.725,0.101,0.658,0.00016,0.117,0.843,192.123,"4VUXAoJESfRV3ceUYtzfpQ",4,154119,"Endlessly","Ivory (Marfil)","C# major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","3ZexesAv5PN4RPMiEkOEXC",2022,0.781,0.661,-5.521,0.0525,0.0609,6.56e-06,0.128,0.365,92.026,"5Q4SaYmdH63hto9fxkd300",4,153258,"Highlight","Ivory (Marfil)","C major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","3ZexesAv5PN4RPMiEkOEXC",2022,0.676,0.338,-7.96,0.0284,0.372,5.57e-06,0.468,0.321,92.029,"5Cyy8UMG6ch51oXYenPGzN",4,168828,"Archetype","Ivory (Marfil)","A major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","3ZexesAv5PN4RPMiEkOEXC",2022,0.592,0.411,-10.304,0.226,0.831,0,0.15,0.495,84.532,"1lutu4hCWD5gp4GrOFJd3o",4,74767,"Saving All My Love","Ivory (Marfil)","B minor"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","3ZexesAv5PN4RPMiEkOEXC",2022,0.624,0.292,-11.242,0.0272,0.805,2.86e-06,0.101,0.617,94.151,"1E95q68SQxX1dDzYGjHJ1s",4,189797,"Pretty Boy","Ivory (Marfil)","D# major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.192,0.0746,-17.607,0.0381,0.977,0.000123,0.114,0.183,195.17,"4JaqygglHv9rWW6B2NfgF6",4,45960,"Ivory","Ivory","C major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.548,0.596,-8.514,0.0412,0.0127,0.455,0.351,0.427,189.957,"3wXft3pfqMptVjxzEDi8be",4,157146,"Talk","Ivory","A major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.73,0.591,-8.565,0.149,0.00925,2.7e-06,0.0895,0.811,110.741,"4RLl6YFuMKbHOhg9twznvJ",5,108626,"No Good Reason","Ivory","G# major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.555,0.474,-11.706,0.0668,0.224,0.00426,0.162,0.262,134.89,"7jhxagwOk9y1HC5ciRfmkQ",4,216160,"Invincible (feat. Daniel Caesar)","Ivory","F# minor"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.698,0.585,-10.995,0.256,0.975,0.93,0.15,0.758,95.942,"2QoDA4PQiLA5gZME35my0n",4,34133,"Endlessly Interlude","Ivory","E major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.861,0.27,-9.515,0.0616,0.301,0.00288,0.124,0.608,84.004,"5BhK8Mho223YLPQOLfzWNP",4,165320,"Killing Me","Ivory","F# minor"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.634,0.568,-7.757,0.0354,0.0426,1.85e-06,0.456,0.369,123.885,"1JNv9ICYbayNgqm8fKPLqP",4,207346,"Go Away","Ivory","F minor"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.857,0.435,-12.156,0.0478,0.724,0.000911,0.0986,0.538,113.932,"7204ajWyC38ZbcuCULCI3e",4,151840,"Waiting on You","Ivory","D major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.343,0.331,-9.528,0.035,0.313,1.7e-05,0.512,0.343,203.852,"0G41EUi3xiwUR6iOtXAQCz",4,197453,"Petrified","Ivory","D major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.507,0.323,-11.269,0.0358,0.788,0,0.128,0.473,79.377,"0j3tmysUmOvbXno7km0T2T",4,211880,"Personally","Ivory","C major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.632,0.198,-9.281,0.041,0.809,0,0.111,0.72,171.353,"46j76ZoimljoNL55h26U70",3,146786,"En El Olvido","Ivory","G major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.755,0.514,-6.942,0.173,0.083,0,0.128,0.553,133.1,"7sg9kDT8H2P0wPACXnWRdN",4,168920,"Tamagotchi","Ivory","B minor"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.664,0.0939,-19.739,0.0551,0.951,0.0214,0.109,0.304,86.523,"34gnKaObWMQxBQE7NPnuDM",5,62040,"Can't Get Over You","Ivory","C minor"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.697,0.336,-10.395,0.0424,0.598,0.00528,0.107,0.31,82.029,"2TktkzfozZifbQhXjT6I33",3,216680,"Evergreen (You Didn’t Deserve Me At All)","Ivory","A major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.42,0.193,-12.121,0.0331,0.787,0.00107,0.11,0.174,66.964,"0K02o2ZV5UCJbbCw67FtaY",5,197746,"Bad Life (feat. Kali Uchis)","Ivory","B minor"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","5z7TD11Qh81Gbf52hd5zAv",2022,0.637,0.298,-11.045,0.0322,0.165,0.0177,0.117,0.037,120.005,"5k9f5oNVRSBdDoGa5W9toI",4,166426,"Mr. Neighbor","Ivory","F# major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","7HlxxaJOHK0ArY4Ae4Qfc7",2020,0.838,0.475,-6.768,0.239,0.752,0,0.115,0.867,142.012,"5w4LtwuC1WuaObpLafjGZU",4,143160,"I'm Amazing","Apolonio","F# major"
"Omar Apollo","5FxD8fkQZ6KcsSYupDVoSO","7HlxxaJOHK0ArY4Ae4Qfc7",2020,0.705,0.734,-5.08,0.184,0.28,7.14e-05,0.093,0.457,94.996,"5uUjYnzcjEgiIFWR0av19g",4,210914,"Kamikaze","Apolonio","D minor"
