"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","2HD66IaGm71axXSA8hPyNg",2019,0.58,0.798,-5.673,0.0389,0.0732,0.8,0.912,0.849,146.55,"1cHIHTExDFGCg66uRwPeF4",4,189360,"Philly Dog","Live at the Monterey International Pop Festival","D# major"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","3mdKPgJ2hyDF9ToznWuCn1",2018,0.51,0.129,-18.786,0.0378,0.7,0,0.148,0.449,90.092,"7jHA0HkvehqN8XIJh0AUBz",4,182733,"Think About It","Dock of the Bay Sessions","C major"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","3mdKPgJ2hyDF9ToznWuCn1",2018,0.666,0.55,-8.672,0.0612,0.573,1.84e-06,0.122,0.961,95.552,"7FXuCkl1kfxwS5icDjTwbM",4,141000,"Hard to Handle","Dock of the Bay Sessions","A# major"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","3mdKPgJ2hyDF9ToznWuCn1",2018,0.389,0.277,-13.15,0.0279,0.495,0,0.138,0.402,141.75,"4C2jxg2GZsvttTiHpWP5ZL",3,195866,"I've Got Dreams to Remember","Dock of the Bay Sessions","A major"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","3mdKPgJ2hyDF9ToznWuCn1",2018,0.733,0.118,-18.628,0.0418,0.582,3.73e-05,0.0819,0.781,161.516,"2NdOuc56cqLlixjN5jbkcJ",4,181800,"Champagne and Wine","Dock of the Bay Sessions","F# minor"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","3mdKPgJ2hyDF9ToznWuCn1",2018,0.709,0.431,-13.916,0.0647,0.216,0.059,0.187,0.871,132.467,"1L6oZf1xqdt4BLPgEbfHUd",4,139440,"Pounds And Hundreds (LBS + 100s)","Dock of the Bay Sessions","B major"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","3mdKPgJ2hyDF9ToznWuCn1",2018,0.612,0.136,-12.687,0.117,0.572,0,0.234,0.535,101.785,"3uBtA78OM8o5HE2hTlKWfC",4,186440,"Amen","Dock of the Bay Sessions","G major"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","0WfED1nqBzTMxv0NvnUNjf",2016,0.744,0.478,-11.148,0.0368,0.209,0.000179,0.0651,0.911,109.526,"7n5ZqV1AOlfv3xV24S9POt",4,163880,"You Left The Water Running","Complete & Unbelievable: The Otis Redding Dictionary of Soul (50th Anniversary Edition)","F# major"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","0WfED1nqBzTMxv0NvnUNjf",2016,0.771,0.487,-10.911,0.0323,0.0246,0.000351,0.107,0.659,107.918,"647g0uFv9KbDfpjENjzIa6",4,197506,"Trick Or Treat (Outtake)","Complete & Unbelievable: The Otis Redding Dictionary of Soul (50th Anniversary Edition)","G# minor"
"Otis Redding","60df5JBRRPcnSpsIMxxwQm","0WfED1nqBzTMxv0NvnUNjf",2016,0.531,0.263,-13.337,0.0392,0.483,0.00012,0.559,0.27,98.791,"1Frb3OnUUlYOQN0vp7nZez",4,240706,"Try A Little Tenderness (Alternate Take 1)","Complete & Unbelievable: The Otis Redding Dictionary of Soul (50th Anniversary Edition)","G major"
