"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Pitbull","0TnOYISbd1XYRBk9myaseg","56jg3KJcYmfL7RzYmG2O1Q",2024,0.798,0.956,7,-3.445,1,0.0805,0.00329,0,0.0298,0.696,140.024,"1p2rqoRS8Ihmg2pjVSQILL",4,120974,"There It Is","Trackhouse (Daytona 500 Edition)","G major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","56jg3KJcYmfL7RzYmG2O1Q",2024,0.842,0.857,7,-5.317,1,0.212,0.0772,2.14e-05,0.309,0.911,128.068,"0rWkqnABWumuXpbKinmvrt",4,152894,"Get Get Get Down","Trackhouse (Daytona 500 Edition)","G major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","56jg3KJcYmfL7RzYmG2O1Q",2024,0.869,0.832,9,-3.338,1,0.131,0.0364,0,0.297,0.935,127.947,"1DCNHfM8zHUHUM1GMATwAZ",4,139881,"Good Life","Trackhouse (Daytona 500 Edition)","A major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","56jg3KJcYmfL7RzYmG2O1Q",2024,0.763,0.643,2,-5.355,1,0.043,0.0602,0,0.328,0.966,127.973,"4zDx5UlpsIQN1tm2Ezzc65",4,162134,"Tequila","Trackhouse (Daytona 500 Edition)","D major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","56jg3KJcYmfL7RzYmG2O1Q",2024,0.808,0.909,6,-4.123,1,0.124,0.0239,0,0.0946,0.806,111.996,"2p0VD8mwgVidhkioB1XNZm",4,165619,"Powerful Women","Trackhouse (Daytona 500 Edition)","F# major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","56jg3KJcYmfL7RzYmG2O1Q",2024,0.653,0.908,7,-4.703,1,0.049,0.000844,0,0.267,0.728,128.047,"4faNMjNcWITplikCBbhK5z",4,152121,"Thank God & Jimmy Buffett","Trackhouse (Daytona 500 Edition)","G major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","1l86t4bTNT2j1X0ZBCIv6R",2023,0.762,0.736,11,-4.819,0,0.0636,0.0672,0,0.869,0.566,100.101,"6lO43QMcwGkoGXaSbFIlt8",4,219040,"Lit In The City","Trackhouse","B minor"
"Pitbull","0TnOYISbd1XYRBk9myaseg","1l86t4bTNT2j1X0ZBCIv6R",2023,0.893,0.731,9,-7.869,1,0.0897,0.00214,3.42e-05,0.246,0.318,118.501,"0SSphmM2lJdNSb493ep3rk",4,144000,"JUMPIN","Trackhouse","A major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","1l86t4bTNT2j1X0ZBCIv6R",2023,0.709,0.963,11,-2.906,0,0.105,0.0213,0.0042,0.128,0.7,130.071,"6ZTTj1y8kEtADL3nMHoV4a",4,135348,"Suave","Trackhouse","B minor"
"Pitbull","0TnOYISbd1XYRBk9myaseg","1l86t4bTNT2j1X0ZBCIv6R",2023,0.59,0.88,6,-3.06,1,0.0724,0.00139,0,0.201,0.585,127.99,"0zw0afpJTaoyRptVh4ZaoS",4,139161,"Let's Take A Shot","Trackhouse","F# major"
"Pitbull","0TnOYISbd1XYRBk9myaseg","1l86t4bTNT2j1X0ZBCIv6R",2023,0.868,0.78,11,-3.92,1,0.0654,0.0521,1.51e-06,0.105,0.606,114.056,"1wMcy6FH8gDzNGulQHuauv",4,177667,"Me Pone Mal","Trackhouse","B major"
