"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","3CY1m3w0rn3MEiYrDEpiAv",2022,0.822,0.376,10,-11.402,0,0.073,0.0706,0.0177,0.0594,0.533,90.953,"4M5X8sncLu2XBpScgOipiN",4,248080,"My Baby Loves Me","The Miracle (Collector's Edition)","A# minor"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","3CY1m3w0rn3MEiYrDEpiAv",2022,0.346,0.179,7,-17.197,1,0.0366,0.805,0.00289,0.121,0.256,99.533,"3ont8wG8yp4ih68RGLefIs",4,113640,"You Know You Belong To Me","The Miracle (Collector's Edition)","G major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","3CY1m3w0rn3MEiYrDEpiAv",2022,0.576,0.565,7,-8.649,1,0.03,0.0375,6.02e-05,0.155,0.641,86.008,"7BuskCnQyGdp6m2fRdq1oZ",4,228280,"Dog With A Bone","The Miracle (Collector's Edition)","G major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","3CY1m3w0rn3MEiYrDEpiAv",2022,0.418,0.401,4,-12.59,0,0.0354,0.353,0.000223,0.093,0.354,143.935,"1b0sraww5e2cubW3K90kwf",4,247986,"Face It Alone","The Miracle (Collector's Edition)","E minor"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","3BHe7LbW5yRjyqXNJ3A6mW",2018,0.405,0.705,10,-5.596,1,0.106,0.561,0.0174,0.199,0.556,89.336,"73GPjzTe0NsBwOrYBGhDR0",4,25186,"20th Century Fox Fanfare","Bohemian Rhapsody (The Original Soundtrack)","A# major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","3BHe7LbW5yRjyqXNJ3A6mW",2018,0.807,0.414,4,-8.903,1,0.0352,0.105,2.57e-05,0.0813,0.502,108.944,"25H6P7a94WUr5102lC6TNI",4,223080,"I Want To Break Free","Bohemian Rhapsody (The Original Soundtrack)","E major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","3BHe7LbW5yRjyqXNJ3A6mW",2018,0.672,0.699,2,-7.831,1,0.0475,0.395,0,0.094,0.46,113.737,"5AZGbqiIK5t1jrWSPT7k8X",4,244484,"Under Pressure","Bohemian Rhapsody (The Original Soundtrack)","D major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","5IQU4NUxVKn0tdBpJjKCyd",1989,0.554,0.656,2,-10.868,1,0.0415,0.114,7.73e-05,0.0829,0.375,122.398,"258GwDXv3ZOoFuks50xKSj",4,225600,"Hang On In There","The Miracle","D major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","5IQU4NUxVKn0tdBpJjKCyd",1989,0.3,0.557,4,-13.499,1,0.1,0.497,0.807,0.139,0.0997,127.638,"1kwVa08bxj56mw0bgcTg6I",4,103933,"Chinese Torture","The Miracle","E major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","2YcZlfU3fVThUasW4hHI24",1984,0.255,0.915,9,-9.092,1,0.101,0.192,2.15e-05,0.314,0.363,172.235,"1fKfDzA9kf5men9KspqjPF",4,222133,"I Go Crazy","The Works","A major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","4c5Olye77P5ii9DEG7UlZX",1979,0.331,0.642,7,-11.849,1,0.0747,0.238,0.000612,0.449,0.355,136.797,"3goduURDLxG5xVKC1geLtB",4,213240,"Death On Two Legs","Live Killers","G major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","4Vqx3bD3CeW0LqQMiTz8lQ",1973,0.352,0.529,2,-9.972,0,0.0368,0.503,6.96e-05,0.166,0.267,101.235,"5KvOmjiGxUcpkJvKCzHufN",4,246440,"My Fairy King","At The BBC","D minor"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","4Vqx3bD3CeW0LqQMiTz8lQ",1973,0.504,0.729,9,-8.049,1,0.0544,0.234,0,0.0705,0.453,134.953,"6WKoOXecrcYW8RmerNCxFB",4,228333,"Keep Yourself Alive","At The BBC","A major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","4Vqx3bD3CeW0LqQMiTz8lQ",1973,0.316,0.32,9,-13.045,1,0.0387,0.408,6.72e-05,0.0925,0.294,74.163,"05GhiSRMv34B1N6BsixbmL",3,250933,"Doing All Right","At The BBC","A major"
"Queen","1dfeR4HaWDbWqFHLkxsg1d","4Vqx3bD3CeW0LqQMiTz8lQ",1973,0.302,0.65,2,-8.819,1,0.0801,0.0322,0.000127,0.361,0.377,146.834,"3qoA5l45BSTkLSalIxxuMt",4,388066,"Liar (At The BBC)","At The BBC","D major"
