"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.447,0.765,2,-5.457,0,0.0943,0.212,0,0.128,0.542,101.545,"5qP24CrDI0rmY5zwRvUfzU",3,171428,"AHORA QUÉ","DONDE QUIERO ESTAR","D minor"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.544,0.747,6,-4.659,1,0.194,0.389,6.81e-06,0.159,0.476,123.647,"0FirgnvrpCkkhdaq64Gfen",5,194400,"YANKEE","DONDE QUIERO ESTAR","F# major"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.759,0.561,0,-5.643,0,0.131,0.803,0.121,0.101,0.491,104.915,"5q86iSKkBtOoNkdgEDY5WV",4,180672,"VISTA AL MAR","DONDE QUIERO ESTAR","C minor"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.793,0.736,7,-3.254,0,0.0469,0.0822,0,0.109,0.656,112.993,"0Sfn2TYbpQtCGMBf6C0Y6T",4,237525,"PLAYA DEL INGLÉS","DONDE QUIERO ESTAR","G minor"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.822,0.851,11,-3.314,0,0.0422,0.333,0.00792,0.105,0.749,117.992,"3pjvkWO9fqiRRBE1tDLu3S",4,185084,"SIN SEÑAL","DONDE QUIERO ESTAR","B minor"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.742,0.508,4,-5.705,1,0.0539,0.368,2.72e-05,0.115,0.31,98.017,"5yocaqYG38qpSSxV1t0o3D",4,231428,"DAME","DONDE QUIERO ESTAR","E major"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.714,0.662,6,-6.626,0,0.152,0.222,5.03e-06,0.176,0.275,119.972,"6gN4xor5X60aNKrvyjMBPU",4,198000,"CUÉNTALE","DONDE QUIERO ESTAR","F# minor"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.659,0.704,1,-5.85,1,0.0409,0.253,2.18e-06,0.133,0.15,122.951,"24PUqZJcXUjByIybGftoHZ",4,160975,"LUCES AZULES","DONDE QUIERO ESTAR","C# major"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.751,0.761,11,-4.113,0,0.15,0.251,0.000238,0.0991,0.553,92.032,"4WiQA1AGWHFvaxBU6bHghs",4,151324,"PUNTO G","DONDE QUIERO ESTAR","B minor"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.729,0.68,4,-5.687,1,0.0554,0.393,0,0.239,0.466,114.928,"4SMeOd5Fb7Rp92ODZTWCHV",4,210750,"MUÑECA","DONDE QUIERO ESTAR","E major"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.724,0.631,4,-4.42,0,0.0686,0.249,0,0.213,0.957,176.076,"0Iozrbed8spxoBnmtBMshO",4,160909,"WANDA","DONDE QUIERO ESTAR","E minor"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.435,0.615,6,-5.632,1,0.0439,0.452,0,0.502,0.489,176.254,"4YBgxy0sK4ykesIYuLldxz",4,192496,"ME FALTA ALGO","DONDE QUIERO ESTAR","F# major"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.673,0.809,6,-3.426,1,0.0805,0.287,0,0.213,0.514,91.935,"50naDXYjnGlLgrE7yUxsok",4,151304,"LISBOA","DONDE QUIERO ESTAR","F# major"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.702,0.742,7,-3.894,1,0.177,0.151,0,0.112,0.587,89.923,"3otxqaLl04PmaRD4zmOJeO",4,174425,"ÉRAMOS DOS","DONDE QUIERO ESTAR","G major"
"Quevedo","52iwsT98xCoGgiGntTiR7K","156gxGFDxadwiIC3Bfwmj3",2023,0.638,0.732,4,-4.87,0,0.0647,0.293,0,0.119,0.0717,169.917,"7rJ1eWSl8VIoKW9Qj7ImSU",4,200470,"DONDE QUIERO ESTAR","DONDE QUIERO ESTAR","E minor"
