"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.481,0.879,-5.178,0.268,0.0073,1.72e-05,0.127,0.533,89.436,"1gGcKk7W1priUoTwotuoqT",4,301533,"Microphone Fiend","Renegades","B minor"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.673,0.887,-3.873,0.255,0.0243,4.1e-06,0.0654,0.726,92.553,"0lsDJ0EkccufmSM43P28TQ",4,196733,"Pistol Grip Pump","Renegades","F# minor"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.44,0.937,-2.418,0.0623,0.000422,2.35e-05,0.799,0.498,116.42,"2rqrgNkiWg072vbo81h02j",4,190693,"Kick out the Jams","Renegades","D major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.651,0.908,-4.019,0.0577,0.00184,0.000579,0.384,0.769,123.851,"5YBVDvTSSSiqv7KZDeUlXA",4,274160,"Renegades Of Funk","Renegades","D major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.556,0.227,-17.461,0.0396,0.83,0.00504,0.114,0.0348,84.388,"6DTSCjeK32PYp1Sap27vvY",4,154573,"Beautiful World","Renegades","A minor"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.277,0.836,-4.621,0.367,0.0122,6.32e-05,0.471,0.472,77.62,"4eDBENLsKIh5e4VvX7PXtf",4,296333,"I'm Housin'","Renegades","A major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.349,0.93,-3.575,0.114,0.00413,0.0517,0.506,0.466,113.05,"3CaGgDsUuBw69wSWtTA8gk",3,174333,"In My Eyes","Renegades","C major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.598,0.939,-3.663,0.105,0.00114,9.26e-06,0.288,0.63,95.884,"4K1DB7EedHPuVnhVrnvf2U",4,244693,"How I Could Just Kill a Man","Renegades","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.313,0.915,-4.86,0.345,0.016,5.11e-05,0.206,0.206,137.849,"3CCf4QWbFngXoIO1cLTj1L",4,338333,"The Ghost of Tom Joad","Renegades","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.557,0.954,-3.159,0.0781,0.00241,0.421,0.113,0.531,131.634,"1VdPpC0YxGo5uvOhbsWA8Z",4,218666,"Down On The Street","Renegades","A major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.424,0.997,-1.501,0.131,0.000249,0.014,0.326,0.123,131.424,"5JEZevevEmF725NxEBhfBT",4,281693,"Street Fighting Man","Renegades","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","6iVOwFVjFRoQPgj8GUwSsi",2000,0.412,0.838,-1.93,0.0427,0.0023,0.00344,0.152,0.483,86.604,"2t0tVmiSkHWvKgojpjO21Z",4,394400,"Maggie's Farm","Renegades","A major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.47,0.978,-5.399,0.0727,0.0261,1.09e-05,0.356,0.503,117.906,"7lmeHLHBe4nmXzuXc0HDjk",4,210133,"Testify","The Battle Of Los Angeles","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.599,0.957,-5.764,0.188,0.0129,7.06e-05,0.155,0.489,103.68,"1wsRitfRRtWyEapl0q22o8",4,206200,"Guerrilla Radio","The Battle Of Los Angeles","B major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.315,0.97,-5.424,0.483,0.0234,2.03e-06,0.122,0.37,149.749,"1hR0fIFK2qRG3f3RF70pb7",4,298893,"Calm Like a Bomb","The Battle Of Los Angeles","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.44,0.967,-5.83,0.237,0.163,3.64e-06,0.121,0.574,96.752,"2lbASgTSoDO7MTuLAXlTW0",4,213640,"Mic Check","The Battle Of Los Angeles","B minor"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.426,0.929,-6.729,0.0701,0.00162,0.105,0.0789,0.539,127.059,"1MQTmpYOZ6fcMQc56Hdo7T",4,205600,"Sleep Now In the Fire","The Battle Of Los Angeles","D major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.298,0.848,-5.947,0.0727,0.0538,0.00152,0.201,0.194,148.282,"2LXPNLSMAauNJfnC58lSqY",4,280960,"Born of a Broken Man","The Battle Of Los Angeles","D major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.417,0.976,-6.032,0.175,0.000427,0.000134,0.107,0.483,90.395,"3moeHk8eIajvUEzVocXukf",4,202040,"Born As Ghosts","The Battle Of Los Angeles","A major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.277,0.873,-6.571,0.0883,0.00694,5.4e-05,0.188,0.618,172.848,"4llunZfVXv3NvUzXVB3VVL",4,228093,"Maria","The Battle Of Los Angeles","B minor"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.441,0.882,-7.363,0.044,0.0195,0.00684,0.15,0.418,83.371,"21Mq0NzFoVRvOmLTOnJjng",4,151573,"Voice of the Voiceless","The Battle Of Los Angeles","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.448,0.861,-6.12,0.0676,0.00306,0,0.0987,0.761,92.777,"6s2FgJbnnMwFTpWJZzvb6z",4,224933,"New Millennium Homes","The Battle Of Los Angeles","A major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.456,0.704,-6.687,0.0982,0.0052,4.12e-06,0.0595,0.656,140.629,"7o2Razxnl33Jrgz4PpMYNa",4,277266,"Ashes In the Fall","The Battle Of Los Angeles","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","2eia0myWFgoHuttJytCxgX",1999,0.399,0.965,-5.901,0.143,0.00442,0.0314,0.367,0.174,98.464,"3Hxu3Ey1TV9mZ5XqMXckiS",4,216426,"War Within a Breath","The Battle Of Los Angeles","F# major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","24E6rDvGDuYFjlGewp4ntF",1996,0.53,0.871,-6.361,0.302,0.00407,0.0207,0.272,0.706,93.046,"3QjQp2bfAvLTCSi8Zhzqis",4,150066,"People of the Sun","Evil Empire","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","24E6rDvGDuYFjlGewp4ntF",1996,0.412,0.919,-7.291,0.184,0.0124,0.0601,0.424,0.572,166.367,"0tZ3mElWcr74OOhKEiNz1x",4,229466,"Bulls On Parade","Evil Empire","F major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","24E6rDvGDuYFjlGewp4ntF",1996,0.654,0.77,-6.443,0.106,0.0102,0.00827,0.35,0.668,107.781,"1lCC3flXDsXQrNPcvDojuI",4,277333,"Vietnow","Evil Empire","B minor"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","24E6rDvGDuYFjlGewp4ntF",1996,0.35,0.792,-8.214,0.0951,0.00876,0.0249,0.0661,0.156,138.38,"655gNlXQ7zb9jPrTuqJ4mf",4,327946,"Revolver","Evil Empire","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","24E6rDvGDuYFjlGewp4ntF",1996,0.553,0.883,-7.302,0.0618,0.00732,0.0488,0.0599,0.463,136.711,"5Ty1B6gHqh0joQx6ChbxiH",4,235400,"Snakecharmer","Evil Empire","G major"
"Rage Against The Machine","2d0hyoQ5ynDBnkvAbJKORj","24E6rDvGDuYFjlGewp4ntF",1996,0.282,0.869,-8.32,0.0833,0.000799,0.0668,0.514,0.281,164.38,"22AYE62irnblz8OMUzz6Qi",4,177733,"Tire Me","Evil Empire","D major"
