"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.53,0.322,-10.105,0.0532,0.869,1.69e-05,0.355,0.608,85.757,"2M3GwgWQ2Z0swHkap5gWCm",4,75415,"PLAYA SATURNO INTRO","PLAYA SATURNO","C# minor"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.794,0.756,-2.4,0.0641,0.327,0,0.334,0.568,99.977,"4OVHxReloGwGriqVFF2M79",4,166739,"CUANDO BAJE EL SOL","PLAYA SATURNO","A major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.688,0.682,-3.836,0.247,0.284,1.67e-06,0.11,0.709,104.992,"110wwp2SRousmXjvx8zIoI",4,242819,"AL CALLAO'","PLAYA SATURNO","B major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.767,0.809,-4.155,0.0439,0.057,0.00028,0.142,0.415,99.969,"3tYDYSZU2Wn7zudbFEJeko",4,165714,"CUKI","PLAYA SATURNO","G# major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.813,0.821,-2.871,0.0851,0.444,0.00455,0.137,0.847,91.009,"2BuCjLttbLSiPx8sJKBt9b",4,221607,"NO ME LA MOLESTE","PLAYA SATURNO","C# major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.617,0.655,-3.616,0.17,0.0934,6.17e-06,0.487,0.626,173.891,"05OnZaYopHpb0z7ktT2FIF",4,215172,"PICARDÍA","PLAYA SATURNO","D major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.511,0.866,-2.941,0.33,0.241,0,0.128,0.582,90.85,"1cNJ9ODOJF8b6AjhzoYdkv",4,242908,"PONTE NASTY","PLAYA SATURNO","G major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.798,0.644,-3.823,0.147,0.27,7.05e-05,0.0914,0.693,89.013,"4TL3dMZzEQZxVyZTfeRlav",4,222000,"INQUIETO","PLAYA SATURNO","C# minor"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.758,0.776,-2.224,0.0745,0.589,1.32e-06,0.12,0.532,91.936,"2jMt8GoQ4RGxAIMvWJyWeL",4,187826,"HOY AQUÍ","PLAYA SATURNO","D# major"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.82,0.825,-1.932,0.0673,0.127,0.000335,0.465,0.296,100.057,"4KrNCWx08dZr11kGIUHuuX",4,207150,"CELEBRANDO","PLAYA SATURNO","E minor"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.74,0.713,-4.391,0.0371,0.2,0.000118,0.325,0.835,139.938,"0s5FgdxYJm0tB68OICOglY",4,210994,"NO ME SORPRENDE","PLAYA SATURNO","F# minor"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.845,0.795,-3.502,0.0681,0.343,1.78e-05,0.224,0.681,94.969,"2kz1YOhJiNubjigR1gB1VX",4,197052,"DILUVIO","PLAYA SATURNO","A minor"
"Rauw Alejandro","1mcTU81TzQhprhouKaTkpq","6E7Awtyx6opYTbPXx6ApzB",2023,0.899,0.833,-2.515,0.0533,0.422,0.00288,0.184,0.559,115.008,"7kyLtcgYgQPrXkxtAb72iY",4,183652,"SI TE PEGAS","PLAYA SATURNO","B minor"
