"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.556,0.745,-10.578,0.0676,0.0819,0.441,0.118,0.196,156.09,"04oBrVYURdwGA2aAwcxtrV",4,141538,"CAN YOU SEE ME?","CAN YOU SEE ME?","G# major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.607,0.656,-3.708,0.0422,0.00511,0.773,0.0765,0.107,75.009,"44bbIyM2FEwwwMfxptIoTZ",4,185600,"Everywhere, Nowhere","CAN YOU SEE ME?","F minor"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.509,0.392,-5.58,0.0824,0.0185,0.196,0.332,0.191,146.955,"6gUUTek9fAM9UiEB58Oomd",4,260001,"Black Ice","CAN YOU SEE ME?","A major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.602,0.739,-8.569,0.147,0.0055,0.0985,0.295,0.324,125.476,"7wa5lBm1Nl0kcXb9psV2Sj",4,222219,"CUT ME OUT","CAN YOU SEE ME?","C# major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.599,0.753,-5.46,0.0953,0.00213,0.515,0.345,0.196,112.522,"6xIxr1N7UZaXiwOUNVScsn",3,187200,"The Descent","CAN YOU SEE ME?","A# major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.788,0.791,-2.823,0.0544,0.0492,0.77,0.147,0.534,137.961,"0O42pCLNJpakxWDvq3IiNZ",4,168913,"OPEN UR EYE","CAN YOU SEE ME?","B major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.58,0.837,-5.672,0.0489,0.0565,0.798,0.104,0.238,140.028,"60T7uuP0Tg2w789XZOgOJA",3,157637,"DYSPHORIA","CAN YOU SEE ME?","F minor"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.616,0.891,-4.358,0.0645,0.0742,0.305,0.11,0.0399,144.962,"0mkkoiaO5r2jKkkVNzEXyM",4,170503,"Maleficent","CAN YOU SEE ME?","A major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","6tQ1vjB7ZXy8sKkGEtHs1X",2024,0.558,0.697,-5.309,0.0796,0.000427,0.408,0.162,0.14,139.788,"256N5qzNTRlRGTXY0PqOy9",4,132000,"Exorcism","CAN YOU SEE ME?","C# major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.539,0.45,-15.344,0.479,0.884,0.00368,0.436,0.215,56.634,"2JnQgkqYaTZZmTkDvL9F3v",4,45843,"Intro","Nightmare On Rezz Street 2 Mix","D major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.505,0.641,-10.584,0.0353,0.0707,0.929,0.338,0.274,170.135,"6B2iGXREq0qb0N5thBN279",4,174906,"ID1","Nightmare On Rezz Street 2 Mix","D major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.549,0.556,-10.564,0.0741,0.00058,0.697,0.225,0.145,174.058,"4GdmVYQ6T8LAiovjAgkVcb",4,130000,"ID2","Nightmare On Rezz Street 2 Mix","C# major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.807,0.525,-9.903,0.0712,0.119,0.793,0.353,0.397,100.046,"2SYTcbHJyInGyG09ssoTPU",3,61250,"ID3","Nightmare On Rezz Street 2 Mix","D major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.493,0.526,-13.132,0.0752,0.605,0.873,0.0861,0.133,194.109,"0UoUKPG1i2khuRNFUjfBq4",4,175000,"ID4","Nightmare On Rezz Street 2 Mix","B minor"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.688,0.532,-13.445,0.102,0.00278,0.00102,0.0543,0.553,170.031,"0qu4gST7QxbwLisfJqpdGf",4,175500,"ID5","Nightmare On Rezz Street 2 Mix","D# major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.695,0.578,-11.057,0.111,0.147,0.853,0.141,0.379,180.199,"3T1vWqs8Uf56ZiOKjj7cgh",4,103500,"ID6","Nightmare On Rezz Street 2 Mix","F# major"
"Rezz","4aKdmOXdUKX07HVd3sGgzw","5aRRt9zSKDEQdWghFvkiEi",2022,0.7,0.731,-10.497,0.0523,0.573,0.793,0.0998,0.038,100.008,"2G2z8QzfDlkIkl1elau7Ld",4,176375,"ID7","Nightmare On Rezz Street 2 Mix","B minor"
