"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.569,0.189,9,-13.386,0,0.438,0.691,1e-05,0.359,0.265,145.402,"1O5HGqTyQwb0N87beG7mLC",3,101400,"Intro (feat. Alex Santos, Valentino Santos & Solano Santos)","Fórmula, Vol. 3","A minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.765,0.878,3,-3.649,0,0.0465,0.105,0,0.314,0.96,125.046,"7HsebNHZDGj8UhWIrZaMx6",4,235733,"Bebo","Fórmula, Vol. 3","D# minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.811,0.81,9,-3.748,0,0.0422,0.108,0,0.0627,0.75,124.053,"6mjhmQB61lSVhgcmOFJv9L",4,224426,"Ayúdame","Fórmula, Vol. 3","A minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.857,0.699,0,-5.493,0,0.0432,0.0498,0,0.112,0.905,130.031,"0ill3qz7eiLAswHanCCoeJ",4,247520,"Boomerang","Fórmula, Vol. 3","C minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.922,0.672,3,-3.322,0,0.0432,0.0392,4e-06,0.0565,0.886,126.038,"4iSF0oZYDXeFTGHG20NOOF",4,186160,"Sexo Con Ropa","Fórmula, Vol. 3","D# minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.765,0.79,0,-4.199,0,0.0664,0.382,0,0.371,0.66,124.051,"7fCvGG97wqAIqtOxX87Uv1",4,213786,"Ciudadana","Fórmula, Vol. 3","C minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.825,0.841,11,-4.714,0,0.0404,0.067,8.81e-06,0.305,0.876,131.89,"2QhwiiYs6JvW4NJIsJEKIJ",4,203640,"Mar","Fórmula, Vol. 3","B minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.839,0.71,8,-3.823,1,0.0409,0.0534,0,0.283,0.661,129.997,"7jfmlr5W2AQWUGLVhT8ofl",4,234786,"El Pañuelo","Fórmula, Vol. 3","G# major"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.682,0.871,8,-3.428,0,0.0851,0.0987,0,0.0434,0.873,123.934,"0X6sRADYbUDYutAulPllKN",4,271413,"15,500 Noches","Fórmula, Vol. 3","G# minor"
"Romeo Santos","5lwmRuXgjX8xIwlnauTZIP","3kGn13mW34Ookfj6yiY8BF",2022,0.873,0.68,1,-3.475,0,0.051,0.112,0,0.0885,0.813,124.027,"74o96bZLSIZFIG12H7ZwUm",4,213866,"Perro","Fórmula, Vol. 3","C# minor"
