"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.727,0.725,10,-4.725,0,0.0382,0.0911,0.00117,0.163,0.825,130.016,"52pkA4xqVoQfqNZXJxlGDn",4,194793,"Jumper (feat. Kareen Lomax)","Ground Control","A# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.774,0.921,7,-5.459,0,0.0497,0.0406,0.0351,0.11,0.642,123.937,"16mxzE8G96JyMSfcq1PQvW",4,208555,"Straight From the Heart (feat. Nørskov)","Ground Control","G minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.552,0.772,10,-6.568,0,0.0484,0.0348,0.00698,0.106,0.588,174.01,"1NN2rXbJDP2qp9zTBn6xRH",4,312445,"Remember Their Names (feat. Josh Barry)","Ground Control","A# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.505,0.722,1,-5.986,0,0.0499,0.0163,0.000574,0.144,0.118,167.86,"3y2n5NK00MY4S67NxAJjsV",4,224826,"Be Somebody","Ground Control","C# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.846,0.726,1,-3.376,1,0.0635,0.094,2e-06,0.0304,0.79,131.974,"1AMTAztgMzh0nIqji9lNs3",4,185530,"Be the One (feat. MORGAN, Digga D & TIKE)","Ground Control","C# major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.76,0.88,1,-5.432,1,0.0392,0.0171,0.000401,0.109,0.783,122.013,"4YPaoTx0qXow9HOZrfTKMX",4,208548,"Handle My Own (feat. Ella Henderson)","Ground Control","C# major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.639,0.463,11,-10.716,0,0.0532,0.446,0.135,0.133,0.601,129.931,"7n3y9TRWwBidg9I0uKPHIU",4,231896,"So Sorry","Ground Control","B minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.546,0.616,0,-7.79,0,0.0475,0.0172,2.24e-05,0.116,0.129,159.795,"5I1rknEiMyqe5qPDpEYFKo",4,232556,"Distance (feat. Maverick Sabre & Kojey Radical)","Ground Control","C minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.798,0.84,11,-5.731,1,0.119,0.002,0.000213,0.034,0.872,132.038,"5VVTPnqgj5cFRHVOA4HKkL",4,155478,"Instajets (feat. BackRoad Gee)","Ground Control","B major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.877,0.89,5,-5.247,0,0.0601,0.00879,0.687,0.0885,0.932,130.009,"05KePUETi6YCJsvHJuRXcz",4,165511,"Krazy (feat. Afronaut Zu)","Ground Control","F minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.789,0.719,11,-6.308,0,0.0554,0.0317,0.00456,0.0607,0.888,132.02,"0FB3GQ6hq2qlYFPtH2EgRm",4,200025,"Make You Move (feat. Nørskov & Keeya Keys)","Ground Control","B minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.679,0.803,8,-5.699,0,0.102,0.0294,7.92e-06,0.072,0.396,88.059,"6bg1ttQQudY6bLj24AakE7",4,189538,"Hostess (feat. MORGAN)","Ground Control","G# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.812,0.717,11,-7.626,0,0.143,0.115,0.000164,0.119,0.553,120.01,"1g9cY0XUcj4wVZz5OUWpSP",4,195026,"C’est Fini (feat. RV & Lowkey)","Ground Control","B minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","201chlVCJuhQvGZXB0wRn0",2021,0.715,0.711,8,-7.008,0,0.037,0.00658,0.00509,0.12,0.473,123.992,"51Orv85TmxFNYsVJJjKQqh",4,317444,"Keep Your Head Up (feat. Hamzaa & House Gospel Choir)","Ground Control","G# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.648,0.843,11,-4.953,0,0.343,0.298,0,0.123,0.62,186.041,"2QHzETWIGCisFVP04nb3nT",4,254773,"Toast to Our Differences (feat. Shungudzo, Protoje & Hak Baker)","Toast to Our Differences (Deluxe Edition)","B minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.635,0.801,4,-3.366,0,0.0593,0.0163,0,0.148,0.421,169.981,"2OKMeLj46lATfrVOP1enqg",4,268653,"Dark Clouds (feat. Jess Glynne & Chronixx)","Toast to Our Differences (Deluxe Edition)","E minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.576,0.719,11,-5.163,1,0.0397,0.156,0,0.305,0.545,94.921,"6cAob8TCfMx0uFJafVdpsf",4,205408,"Walk Alone (feat. Tom Walker)","Toast to Our Differences (Deluxe Edition)","B major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.436,0.325,0,-12.155,1,0.333,0.868,0,0.17,0.746,181.522,"6h7G2hqkXpxHKlPKPRSd65",4,47746,"Thula Ungakhlai (feat. Ladysmith Black Mambazo)","Toast to Our Differences (Deluxe Edition)","C major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.654,0.798,0,-4.084,1,0.0451,0.188,0,0.15,0.574,92.207,"7mkT9kS25nUIoNkm02Ww0n",4,211760,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Toast to Our Differences (Deluxe Edition)","C major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.619,0.858,10,-5.28,1,0.0929,0.00791,0,0.173,0.23,106.017,"1TpOr4cSHCxvW86fG2v5bM",4,232627,"Sun Comes Up (feat. James Arthur)","Toast to Our Differences (Deluxe Edition)","A# major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.679,0.794,5,-4.612,0,0.173,0.205,2.1e-06,0.0681,0.639,103.589,"680eO0fbJkX8337KWDlb7v",4,248813,"1by1 (feat. RAYE & Maleek Berry)","Toast to Our Differences (Deluxe Edition)","F minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.661,0.923,5,-5.769,0,0.0368,0.129,0.0528,0.13,0.522,121.97,"4RlzULwFEYBjTJNhc7frWm",4,239093,"Last Time (feat. Raphaella)","Toast to Our Differences (Deluxe Edition)","F minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.397,0.676,7,-5.823,0,0.245,0.365,0,0.0839,0.595,80.201,"3Z7fpLk7PWyMT00fGbYgW5",4,246146,"No Pain (feat. Maverick Sabre, Kojey Radical & Kabaka Pyramid)","Toast to Our Differences (Deluxe Edition)","G minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.721,0.691,5,-4.671,1,0.0536,0.0159,1.87e-06,0.286,0.343,118.018,"6Fh3kL77thIrdm0c3VbBwx",4,203000,"Scared of Love (feat. RAY BLK & Stefflon Don)","Toast to Our Differences (Deluxe Edition)","F major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.56,0.723,1,-6.263,1,0.0459,0.175,0.00315,0.149,0.282,159.915,"6dF3prlKCwJSOCqXbEDFg5",4,258140,"Summer Love","Toast to Our Differences (Deluxe Edition)","C# major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.424,0.482,8,-7.293,1,0.0676,0.0454,1.7e-05,0.067,0.406,180.034,"3vEoBqjc5ZmcD0IXp1cUFE",3,280946,"They Don't Care About Us (feat. Maverick Sabre & Yebba)","Toast to Our Differences (Deluxe Edition)","G# major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.628,0.526,1,-7.821,0,0.146,0.189,0.000232,0.569,0.707,173.906,"2KztpFnhuwItdFqPykkcqM",4,221373,"Do You Remember (feat. Kevin Garrett)","Toast to Our Differences (Deluxe Edition)","C# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.926,0.555,8,-7.977,0,0.038,0.0272,0.00101,0.108,0.587,123.011,"7qZnVlvISG6Nh7P0ET4jtU",4,266133,"Leave It for Tomorrow (feat. Elli Ingram)","Toast to Our Differences (Deluxe Edition)","G# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","1cujDxjZaAtJXnvyW7sl3U",2019,0.604,0.819,7,-5.034,0,0.0499,0.0134,0.0678,0.138,0.319,178.008,"1mR6MzJg79TAROh1lIsx3P",4,237706,"Adrenaline (feat. OLIVIA)","Toast to Our Differences (Deluxe Edition)","G minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","0sztwpDG0COJ1HoJRD74bn",2015,0.44,0.844,11,-4.591,1,0.0402,0.000878,0.000627,0.279,0.226,180.049,"34N3DG4wybP5LaCOsJ9Pbo",4,247690,"I Will for Love (feat. Will Heard)","We the Generation (Deluxe Edition)","B major"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","0sztwpDG0COJ1HoJRD74bn",2015,0.457,0.738,6,-6.647,0,0.0419,0.0033,0.0332,0.0719,0.284,174.956,"0ZFP1JrGNTWOA77pQoUDzV",4,234826,"Never Let You Go (feat. Foy Vance)","We the Generation (Deluxe Edition)","F# minor"
"Rudimental","4WN5naL3ofxrVBgFpguzKo","0sztwpDG0COJ1HoJRD74bn",2015,0.736,0.702,11,-6.635,0,0.0541,0.00693,0.00285,0.123,0.68,149.94,"6AU14DbCyqstpAy6BV6UnV",4,221586,"We the Generation (feat. Mahalia)","We the Generation (Deluxe Edition)","B minor"
