"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.698,0.653,9,-6.365,1,0.0521,0.424,0,0.321,0.381,100.976,"7uqS1gGcgWD0wiiKttEmyp",4,186610,"Wishing Well (feat. Olivia Sebastianelli)","Sunrise To Sunset","A major"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.64,0.738,0,-5.812,1,0.0318,0.428,5.53e-06,0.196,0.456,120.126,"739YZgrNRHLB0CDs2xfWFj",4,193500,"Alive (The Edge) [feat. ROOKIES]","Sunrise To Sunset","C major"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.62,0.641,0,-5.579,1,0.041,0.0503,1e-05,0.0592,0.576,104.888,"4kHRqC1atE9UOOr4jB51OL",4,171409,"Carry Me Home (feat. Sam Martin)","Sunrise To Sunset","C major"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.632,0.507,1,-10.148,1,0.032,0.684,0,0.0842,0.315,95.044,"6gQWmoWydnPgNW5JuijB1r",4,180331,"Exodus (feat. Otis Parker & Garrison Starr)","Sunrise To Sunset","C# major"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.591,0.67,6,-5.105,0,0.0443,0.233,0,0.109,0.547,104.81,"2J1ZxMyu3cWJxddF8pk7fF",4,162081,"Leave Me Alone (feat. George Shelley)","Sunrise To Sunset","F# minor"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.559,0.622,6,-7.632,0,0.0582,0.058,0.0012,0.2,0.443,151.803,"45aRYY74SoUAnIpcdrPj4M",4,177707,"Start Again","Sunrise To Sunset","F# minor"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.774,0.679,0,-5.843,1,0.0649,0.3,0,0.0444,0.641,100.005,"289pvR6VnSnq7agTYJZZER",4,168156,"Don't Say A Word","Sunrise To Sunset","C major"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.748,0.475,0,-11.256,1,0.0279,0.13,6.09e-05,0.0755,0.408,119.994,"7ipXvWl43mmCl2kgBZg9FR",4,176909,"Déjà Vu","Sunrise To Sunset","C major"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.749,0.52,10,-8.604,1,0.0456,0.224,0.000503,0.0982,0.759,96.023,"5uSrc15udTtdHXj9QWhfHD",4,151218,"Silverskin (feat. Dillon Dixon)","Sunrise To Sunset","A# major"
"Sam Feldt","20gsENnposVs2I4rQ5kvrf","4QyylR4pPcWRpp3U2gkPcd",2017,0.585,0.418,9,-9.586,0,0.0506,0.0832,3.11e-05,0.169,0.226,92.872,"4kVhQd5PK05rUpDzp4FUzq",4,217053,"Closure (feat. Valerie Broussard)","Sunrise To Sunset","A minor"
