"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.694,0.871,0,-5.264,0,0.044,0.0728,0,0.103,0.966,160.11,"2qTe4wuw6a8DDLCRjBs3Pm",4,199709,"Highest Tree","Little Yachty","C minor"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.73,0.882,7,-6.835,1,0.047,0.0163,0,0.609,0.71,103.978,"6PY5EvOaDadxPwI26RkP2v",4,205384,"Coconut Bay","Little Yachty","G major"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.635,0.727,10,-4.721,0,0.0888,0.0698,0,0.27,0.759,80.003,"2XfkW575Hu54W9N5e4GeyU",4,193017,"Good Good Lovin","Little Yachty","A# minor"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.414,0.763,2,-4.124,1,0.0367,0.0236,0,0.147,0.848,170.041,"0EiY60sXSZJaVzuGfz8inq",4,208536,"Trouble","Little Yachty","D major"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.584,0.871,11,-4.493,0,0.0308,0.000844,7.26e-06,0.0412,0.876,160.016,"7kT2lrsDPp27OIhB30k69R",4,213725,"Sunday Love","Little Yachty","B minor"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.556,0.424,0,-6.952,1,0.0284,0.187,0,0.313,0.47,116.132,"64AAKsWllj3xlXzvBBNbNG",4,150465,"Perfect Mornings","Little Yachty","C major"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.783,0.742,9,-5.306,1,0.0963,0.12,3.3e-06,0.0706,0.884,163.901,"5NpLMcTtKI4DvDKXL59wDL",4,231423,"All Of The Time","Little Yachty","A major"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.748,0.849,6,-3.866,1,0.0889,0.0598,0,0.0975,0.888,77.485,"1gPqntggK8xj952OK5IqBe",4,224147,"What The World Needs","Little Yachty","F# major"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.863,0.749,9,-4.932,1,0.0392,0.0586,0.00432,0.265,0.972,116.994,"7gScRsHkIyJ4jbyb5lyhKo",4,189282,"Make it Easy","Little Yachty","A major"
"Sugar Ray","4uN3DsfENc7dp0OLO0FEIb","6bpMlx3MBiBlyUvAasJ7Gs",2019,0.704,0.756,0,-6.066,1,0.0354,0.00352,2.6e-06,0.0845,0.75,142.04,"4JfKipcwTdwO0nyoZJ7FHl",4,244728,"Escape (The Pina Colada Song)","Little Yachty","C major"
