"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.349,0.97,6,-2.874,1,0.0892,0.005,3.31e-06,0.0432,0.299,159.779,"0dxPHMZTI8TWMYRucsAFNd",4,186466,"Attack","Hypnotize","F# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.19,0.979,5,-1.472,0,0.0545,0.0022,0,0.75,0.485,181.256,"4uCfGqrF2OHcav71k0bk9D",4,239866,"Dreaming","Hypnotize","F minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.288,0.987,4,-1.359,1,0.223,0.0168,0,0.264,0.336,184.519,"28TReO2Mxk9Q3GA4K98YSz",4,147960,"Kill Rock 'n Roll","Hypnotize","E major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.274,0.92,6,-4.096,1,0.0489,0.0303,0.000412,0.115,0.0397,154.016,"6oO7WMjD6kEvCITLbVj0mu",4,189440,"Hypnotize","Hypnotize","F# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.283,0.983,2,-2.513,1,0.06,0.000678,0,0.19,0.548,96.067,"0ELxqqeeisigIJhN6dsNHI",4,178000,"Stealing Society","Hypnotize","D major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.304,0.962,1,-2.076,0,0.0988,0.0448,0,0.37,0.0792,158.576,"11WZXXvGyrtUBp15TtojxA",4,216533,"Tentative","Hypnotize","C# minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.247,0.897,1,-2.402,1,0.0477,0.001,0.00458,0.106,0.232,151.335,"4mj2UMyJTBTaO7pffAK29j",4,328866,"Holy Mountains","Hypnotize","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.546,0.957,1,-3.189,1,0.164,0.0533,3.37e-06,0.683,0.514,109.775,"5uMTA9SIe0sE4dnHHSHaYz",4,171800,"Vicinity Of Obscenity","Hypnotize","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.414,0.905,6,-2.823,1,0.103,0.158,0,0.4,0.493,193.637,"3bcOxfqIiXj41AdUHfHfgj",4,164160,"She's Like Heroin","Hypnotize","F# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.47,0.796,8,-3.277,0,0.0336,0.362,1.1e-06,0.133,0.215,113.108,"1VNWaY3uNfoeWqb5U8x2QX",3,167906,"Lonely Day","Hypnotize","G# minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","3QxX3NbWyLlLG6lP1xveL3",2005,0.373,0.818,1,-1.691,0,0.0352,0.264,2.42e-06,0.119,0.176,76.474,"1ez4uWPnJwYufNhYTLVsJr",4,220266,"Soldier Side","Hypnotize","C# minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.538,0.981,1,-2.688,0,0.14,0.00662,0,0.219,0.711,101.414,"0EYOdF5FCkgOJJla8DI2Md",4,255466,"B.Y.O.B.","Mezmerize","C# minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.51,0.944,8,-2.174,1,0.0768,0.0016,0.000109,0.0686,0.44,140.043,"577mOFb1LAvSANIUZ4mbQ7",4,228026,"Revenga","Mezmerize","G# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.378,0.99,1,-1.594,1,0.0611,0.000469,5.75e-06,0.259,0.761,110.709,"47EqCQZG5v4o0WFMufGf5S",4,131706,"Cigaro","Mezmerize","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.358,0.921,6,-2.467,0,0.0695,0.171,7.64e-06,0.358,0.476,139.256,"41pOIT2t1rvr2Trg1HQChZ",4,249226,"Radio/Video","Mezmerize","F# minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.372,0.948,2,-2.865,1,0.0992,0.00308,9.68e-06,0.364,0.6,105.534,"0DVHR5FQ0Gp2dsZJz7hfdy",4,128240,"This Cocaine Makes Me Feel Like I'm On This Song","Mezmerize","D major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.459,0.958,6,-2.333,1,0.0877,0.0283,0,0.108,0.586,142.707,"249Z7XT6mf8B2zuI0RaeS0",4,211333,"Violent Pornography","Mezmerize","F# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.207,0.973,4,-3.21,0,0.185,0.00083,0.0158,0.318,0.364,180.683,"6y2DHyCYf6azhUfXmnuH6w",4,200600,"Question!","Mezmerize","E minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.26,0.938,6,-1.824,0,0.0605,0.00539,0,0.246,0.546,167.419,"1wGRSG94dLt8fIZWhR3rGG",4,205800,"Sad Statue","Mezmerize","F# minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.269,0.967,6,-2.744,1,0.096,0.000845,0,0.0541,0.598,162.812,"6iFVJGxSVdFkzYQJL7Rgdk",4,176866,"Old School Hollywood","Mezmerize","F# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","0cn6MHyx4YuZauaB7Pb66o",2005,0.283,0.797,8,-3.193,0,0.0307,0.596,0.000412,0.125,0.107,155.564,"0GrHWVTDsaWcD4nrCGr7VE",4,320693,"Lost In Hollywood","Mezmerize","G# minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.611,0.795,6,-3.428,1,0.04,0.0169,0,0.116,0.384,95.756,"11i33j50Gsr90pRoDJBrEA",4,143626,"Chic 'N' Stu","Steal This Album!","F# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.445,0.953,5,-2.267,0,0.099,0.000201,0.0244,0.357,0.233,120.013,"0Xmbtw7NhNiDnL4BWy5wDh",4,153773,"Innervision","Steal This Album!","F minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.428,0.88,1,-2.392,1,0.0703,0.000332,0.023,0.649,0.946,169.597,"4dJMoLxnO93Ys7SqZNIxlg",4,116893,"Bubbles","Steal This Album!","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.476,0.871,1,-2.672,1,0.041,0.000395,0.0244,0.118,0.302,154.568,"5en63QU81VfRQIsoqBcfde",4,134906,"Boom!","Steal This Album!","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.533,0.891,8,-2.599,1,0.0399,0.000409,6.72e-05,0.101,0.682,144.446,"0ognkBvJqaov2gWDgaMzvz",4,150360,"Nüguns","Steal This Album!","G# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.435,0.888,0,-2.888,1,0.0347,1.74e-05,0.391,0.0989,0.234,115.619,"7gZX4vZqjJJWsdosIB0h6P",4,197306,"A.D.D. (American Dream Denial)","Steal This Album!","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.306,0.709,0,-3.593,1,0.0376,8.2e-05,0.00452,0.101,0.0436,154.15,"4TYI2YExAWaIOpGP4y7AbI",4,249626,"Mr. Jack","Steal This Album!","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.479,0.96,0,-3.612,1,0.109,1.33e-05,0.87,0.182,0.728,188.433,"2TyFfQ1OuubEwfxFvapfzC",4,46333,"36","Steal This Album!","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.516,0.897,0,-2.45,1,0.0582,0.000271,0.468,0.165,0.579,154.857,"3A5E8GUX5bdPGxxJP1IrYx",4,126306,"Pictures","Steal This Album!","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.369,0.933,0,-2.853,1,0.0349,6.83e-05,0.397,0.528,0.521,146.805,"4TRPgtjVmqg7EAWZe1T94E",4,193626,"Highway Song","Steal This Album!","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.473,0.994,8,-1.884,1,0.104,0.00215,0.123,0.314,0.841,171.435,"5hjKYe3NOmWx2NVzVAeIGF",4,132733,"Fuck the System","Steal This Album!","G# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.29,0.774,7,-3.03,1,0.036,0.000118,0.00291,0.186,0.211,86.712,"2HVCLZ6dMDelXhloO5sAjV",4,201906,"Ego Brain","Steal This Album!","G major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.462,0.869,0,-2.726,1,0.0379,1.99e-05,0.0528,0.159,0.558,125.535,"6l17lK6a9LFqhOfh770wWg",4,156600,"Thetawaves","Steal This Album!","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.474,0.477,5,-7.528,0,0.0266,0.552,0.00729,0.133,0.227,129.014,"4sM7v7wyRAuV6ZTO2dvnCA",4,201200,"Roulette","Steal This Album!","F minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6lA1sGw7eCv27bcpd5E0wT",2002,0.395,0.855,0,-3.001,1,0.0356,0.000124,0.0333,0.16,0.472,130.87,"4YtuhhgpKwckVZNGzjpxBh",4,217600,"Streamline","Steal This Album!","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.493,0.974,1,-3.252,1,0.135,0.0202,8.31e-05,0.182,0.354,99.647,"3AwLxSqo1jOOMpNsgxqRNE",4,201160,"Prison Song","Toxicity","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.534,0.978,1,-3.113,1,0.0775,0.00112,0.000122,0.0543,0.525,94.278,"6V8oQXzymTzpEZOsiBiyJT",4,193573,"Needles","Toxicity","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.454,0.938,5,-3.594,0,0.123,0.0103,0.000892,0.311,0.795,160.157,"2SpGXD7EbexndFmmThrnsy",4,174933,"Deer Dance","Toxicity","F minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.418,0.964,8,-4.159,1,0.0387,0.000396,0.000316,0.399,0.928,96.316,"0a2kVvbCbk52gmeFQFHNaG",4,126400,"Jet Pilot","Toxicity","G# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.492,0.948,0,-3.549,1,0.0525,0.00118,0.00641,0.295,0.523,90.569,"4HIKcEKSijQLW5YNLsdLzt",4,118160,"X","Toxicity","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.417,0.934,7,-3.908,0,0.119,0.000278,0.0015,0.132,0.287,127.066,"2DlHlPMa4M17kufBvI2lEN",4,210240,"Chop Suey!","Toxicity","G minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.46,0.977,0,-3.853,0,0.0394,0.000245,0.201,0.283,0.89,92.666,"6dr2T6DRymdT1jfSUxDgut",4,114226,"Bounce","Toxicity","C minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.365,0.905,1,-4.153,1,0.0569,0.000125,0.00925,0.093,0.65,150.404,"1B5Y9I5wPfvD3C2A81A36C",4,240106,"Forest","Toxicity","C# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.376,0.787,5,-4.731,0,0.0394,0.00378,0,0.548,0.371,87.102,"6gCVA6ja6g0foIsWv0RuSZ",4,176200,"ATWA","Toxicity","F minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.504,0.849,0,-3.606,1,0.0329,0.000497,0.185,0.11,0.513,89.295,"58lcznIKSNlOVdmklrPA99",4,162666,"Science","Toxicity","C major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.433,0.961,2,-3.556,1,0.0459,0.000941,0.0266,0.0438,0.703,118.97,"1a3X8Y882vwSnlnHqf9ztF",4,110800,"Shimmy","Toxicity","D major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.413,0.873,8,-4.151,1,0.0536,0.000264,0.00249,0.204,0.48,116.68,"0snQkGI5qnAmohLE7jTsTn",3,218933,"Toxicity","Toxicity","G# major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.467,0.67,7,-4.063,1,0.0663,0.00162,1e-04,0.195,0.457,146.223,"6VzV6RI7641o57TuqfGRpj",4,225893,"Psycho","Toxicity","G major"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.364,0.922,0,-4.217,0,0.0567,0.000915,0.0346,0.0697,0.227,79.342,"4e9eGQYsOiBcftrWXwsVco",4,235053,"Aerials","Toxicity","C minor"
"System Of A Down","5eAWCfyUhZtHHtBdNk56l1","6jWde94ln40epKIQCd8XUh",2001,0.627,0.793,1,-11.767,1,0.0542,0.685,0.667,0.104,0.13,122.9,"0aueluj36PA9LNoj7d9SFb",4,133573,"Arto","Toxicity","C# major"
