"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.549,0.715,-7.01,0.0356,0.359,0,0.101,0.555,134.074,"55yQgka1wuEeSmrpW8NeG2",4,229773,"BRIGHTSIDE","BRIGHTSIDE","A# major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.469,0.562,-6.402,0.0343,0.568,0.000135,0.123,0.483,138.197,"0Hu1ylV8WuaLcLclixNgTV",4,237320,"A.M. RADIO","BRIGHTSIDE","C# major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.573,0.507,-8.084,0.0342,0.759,1.37e-06,0.377,0.363,123.183,"7l987hjMH9FBNXBE93Hrs7",4,172800,"WHERE WE ARE","BRIGHTSIDE","B major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.556,0.608,-6.572,0.0422,0.371,0,0.0675,0.524,78.433,"6B4wq5B6e0ocQWZ7GnqIqd",4,254160,"BIRTHDAY","BRIGHTSIDE","D major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.626,0.35,-7.03,0.0299,0.726,0,0.0975,0.225,72.522,"3UHNRo52Jrra0NfaIlYbk4",4,181040,"BIG SHOT","BRIGHTSIDE","C# major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.346,0.744,-4.507,0.0401,0.177,1.5e-05,0.179,0.684,197.834,"1lCsGCB3bPWKlCbrIFVsnn",4,181666,"NEVER REALLY MINE","BRIGHTSIDE","F major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.403,0.186,-12.188,0.0387,0.975,0.000867,0.0913,0.22,197.569,"6rEHgFrezCmpYhkckeXw10",4,228960,"ROLLERCOASTER","BRIGHTSIDE","F major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.637,0.162,-12.048,0.0335,0.617,1.22e-06,0.106,0.341,169.957,"55ERG6MH2HdUCfUgI1aqVi",4,112226,"REMINGTON","BRIGHTSIDE","E minor"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","3K8XmeN3jQvl6reRJcfakL",2022,0.6,0.512,-6.564,0.0236,0.611,0,0.101,0.27,80.027,"5d0itpPelP5VFSNtpF4Dgd",4,208413,"REPRISE","BRIGHTSIDE","C major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.49,0.247,-10.481,0.035,0.96,1.78e-05,0.119,0.282,134.121,"3ZkleTkBBKIPKJh9jIqT7s",4,185973,"Donna","III","E major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.743,0.57,-7.376,0.0335,0.506,5.18e-05,0.0994,0.273,97.005,"5WyL4ZuwJ06qVd8X5bf2b5",3,231360,"Life In The City","III","C major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.523,0.714,-6.021,0.0367,0.658,5.2e-06,0.0785,0.659,78.211,"5BkGp7FLUUpKgWl29jBK0J",4,216120,"Gloria","III","B major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.765,0.373,-5.321,0.0302,0.854,0,0.0949,0.379,89.099,"2qhfWLkKqWripwiw8DJdGU",4,214066,"It Wasn't Easy To Be Happy For You","III","D major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.46,0.437,-8.822,0.0416,0.804,1.65e-05,0.283,0.119,127.318,"4BzYMqZUzXpLz6TULBkAFI",5,354840,"Leader Of The Landslide","III","C# major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.737,0.118,-11.78,0.0338,0.908,5.21e-05,0.102,0.453,88.732,"6ZpbVWOyrNrTIQz2kZP3RS",4,196653,"Left For Denver","III","F major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.629,0.229,-9.29,0.029,0.922,0.000611,0.156,0.303,134.535,"5xhi6dgxwlMPs5IMWVs7b2",4,196280,"My Cell","III","G# major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.503,0.383,-8.026,0.0351,0.734,3.75e-05,0.332,0.193,108.988,"7lD7NtMkqQfzvxDCGnCrE1",4,355986,"Jimmy Sparks","III","C# major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.438,0.0311,-22.587,0.0562,0.99,0.904,0.086,0.104,179.442,"5GkLiVMMsFjvXNlPCfrAOC",4,50080,"April","III","C# minor"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.63,0.31,-9.253,0.028,0.704,0.0011,0.128,0.0712,93.067,"5EKqsMU2tn1iAYNQF8h0ll",4,270892,"Salt And The Sea","III","A major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.441,0.487,-8.367,0.0305,0.357,0,0.104,0.259,87.229,"3iFC25AYyUzc0hr8OqAbuu",4,404466,"Democracy (Bonus Track)","III","A major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.566,0.134,-15.662,0.0329,0.943,0.0796,0.104,0.268,142.136,"6EOqzUZDen3bgjASgcnxBA",4,257360,"Old Lady (Bonus Track)","III","A minor"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","0cGGGHvqwMD2J7bNz8TG3s",2019,0.684,0.538,-7.012,0.032,0.702,2.59e-06,0.347,0.353,119.957,"1WWHOomqa45vPjGp90ErwI",4,121460,"Soundtrack Song (Bonus Track)","III","G major"
"The Lumineers","16oZKvXb6WkQlVAjwo2Wbg","5fY8mYgYGkyaJ9XvVOzVQA",2016,0.389,0.431,-8.061,0.0344,0.249,0,0.13,0.275,142.14,"4uXDWsoGZXd39QP47NkGm5",4,211851,"Sleep On The Floor","Cleopatra (Deluxe)","G major"
