"artist_name","artist_id","album_id","album_release_year","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","2lcYWSZtcnNRXI7L1kNUke",2017,0.808,0.885,8,-5.99,0,0.23,0.0175,0.0211,0.416,0.634,99.497,"00laf97D30vEG24LdoXh5E",4,361333,"Pork","Bizarre Ride II The Pharcyde (25th Anniversary Edition)","G# minor"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","2lcYWSZtcnNRXI7L1kNUke",2017,0.742,0.783,7,-6.406,1,0.265,0.316,0,0.721,0.733,97.939,"4iIiKfpLz5tEmNWw2Mxqke",4,245733,"Panty Raid","Bizarre Ride II The Pharcyde (25th Anniversary Edition)","G major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","2lcYWSZtcnNRXI7L1kNUke",2017,0.654,0.899,2,-2.825,1,0.389,0.728,0,0.462,0.683,99.876,"1grdyfWDWSFyF5IehLskiS",4,232253,"Live @ Dodger Stadium","Bizarre Ride II The Pharcyde (25th Anniversary Edition)","D major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.627,0.775,7,-7.69,0,0.167,0.886,1.43e-05,0.102,0.741,93.933,"31jG6kVidZDP6N6pDLHYFl",4,138560,"Homegrown","Humboldt Beginnings","G minor"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.908,0.632,1,-4.142,1,0.0885,0.0338,0.192,0.0352,0.872,97.609,"7hWdZNKRDyKuwTjTn7rNRM",4,218146,"Storm","Humboldt Beginnings","C# major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.822,0.742,11,-5.384,1,0.24,0.126,0.00139,0.169,0.709,96.382,"5QCMroiJwdzRZpOxHio2pB",4,191146,"Knew U","Humboldt Beginnings","B major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.791,0.281,6,-16.415,0,0.943,0.942,0.000109,0.115,0.797,72.771,"0Y9oYrAHoSHqIexHFLY0gt",3,20133,"Thoughtfulness (skit)","Humboldt Beginnings","F# minor"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.679,0.858,11,-6.214,1,0.404,0.00412,4.48e-05,0.197,0.708,147.662,"11jjES5zXkaNCxTYDagZla",3,168106,"The Art Of Sharing","Humboldt Beginnings","B major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.763,0.848,10,-6.346,0,0.323,0.11,0,0.0616,0.83,99.033,"0hGIq7ms0RQApAl9E9B06M",4,232933,"Bongloads II","Humboldt Beginnings","A# minor"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.862,0.823,10,-6.978,0,0.116,0.0258,3.4e-06,0.0426,0.824,102.495,"1giDHz7I6yb749he1C5fAq",4,278880,"Rules & Regulations","Humboldt Beginnings","A# minor"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.749,0.674,6,-9.68,1,0.911,0.243,2.33e-05,0.169,0.829,84.895,"1OPiPgUJHjc3y0LRSeRRKR",3,15560,"Boss (skit)","Humboldt Beginnings","F# major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.79,0.843,11,-3.545,1,0.209,0.305,0,0.214,0.716,100.186,"6ejgOKM62eEBXtP9ifPvWB",4,226506,"Illusions","Humboldt Beginnings","B major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.728,0.771,1,-5.198,1,0.384,0.063,0,0.242,0.744,95.208,"2R2sWCgQs0edNUONt0wNVU",4,245360,"Mixedgreens","Humboldt Beginnings","C# major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.83,0.625,9,-7.785,0,0.257,0.287,3.44e-06,0.149,0.682,98.031,"6ifWMPEleyAvIJ5gkLE3P1",4,229840,"Right b4","Humboldt Beginnings","A minor"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.77,0.489,0,-7.766,1,0.04,0.25,0.155,0.114,0.39,94.583,"2Y7zy055tq6nC99tzGu5ta",4,115893,"Clouds","Humboldt Beginnings","C major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.65,0.302,0,-14.715,0,0.893,0.95,0,0.695,0.488,80.764,"1On3BLCSA1bh5yTAjTJSZY",5,41200,"Mr Lindsey (skit)","Humboldt Beginnings","C minor"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.8,0.907,1,-3.654,1,0.212,0.143,0,0.256,0.933,102.443,"1FqNlcwXoCABWNJnq8pJBx",4,216120,"The Bomb","Humboldt Beginnings","C# major"
"The Pharcyde","7yk35uHNQclPXFGFoTU44w","5GTLuFiDzCxguJGRUCqpEg",2004,0.726,0.857,9,-5.701,0,0.33,0.124,1.57e-05,0.203,0.51,80.891,"2vIMKzGh3C0FlPSrSGUxtj",4,247160,"The Climb/Paranoia","Humboldt Beginnings","A minor"
