"artist_name","artist_id","album_id","album_release_year","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","time_signature","duration_ms","track_name","album_name","key_mode"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.399,0.384,-6.981,0.0286,0.61,0,0.486,0.339,102.31,"0ZzE3KupbceBjr17DMhWAo",4,222373,"Night And Day","Love For Sale (Deluxe)","C major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.588,0.493,-7.331,0.104,0.71,0,0.0797,0.518,104.1,"4biVNJdcVpAljZjpiO9B4Z",4,220786,"Love For Sale","Love For Sale (Deluxe)","A# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.263,0.286,-7.986,0.0295,0.888,2.56e-06,0.34,0.18,61.842,"7fGcPsneoxIweHKdc14vlw",4,288280,"Do I Love You","Love For Sale (Deluxe)","G major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.646,0.478,-6.57,0.0349,0.804,0,0.311,0.715,129.443,"6jz5HzDmPuQ24U7u7KfKGw",4,185933,"I've Got You Under My Skin","Love For Sale (Deluxe)","D major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.552,0.58,-7.307,0.0339,0.539,3.3e-06,0.335,0.593,129.544,"1Z2el1XLsdJwt6Kefb2F5p",4,236800,"I Concentrate On You","Love For Sale (Deluxe)","F minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.462,0.452,-6.492,0.0511,0.811,0,0.0741,0.537,78.911,"6tANJIaIQAFhMxgnafAZd2",4,213960,"I Get A Kick Out Of You","Love For Sale (Deluxe)","G minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.431,0.396,-9.999,0.0284,0.778,5.21e-05,0.267,0.375,123.262,"3cvdaHJUFir8IQhHO0XD0j",4,271333,"So In Love","Love For Sale (Deluxe)","G# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.496,0.455,-6.746,0.0514,0.746,0,0.0792,0.426,130.009,"0dImZ1ZhnS1xfhYVkPPeqE",4,216493,"Let's Do It","Love For Sale (Deluxe)","F major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.452,0.447,-7.37,0.031,0.695,1.38e-06,0.207,0.31,132.049,"7kjzAKTVd9umvnChTkzTNd",4,256280,"Dream Dancing","Love For Sale (Deluxe)","G major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6hBQkPnq5u1BwZncSEDEgs",2021,0.573,0.579,-5.845,0.173,0.42,0,0.129,0.776,90.767,"5ueoGQzXQDQazPcPq5UvOQ",4,169400,"You're The Top","Love For Sale (Deluxe)","F major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","1Ls3IQbWcXIkMV6sBzpUVl",2021,0.379,0.0875,-12.906,0.0455,0.938,0,0.119,0.162,174.25,"7JIoefIo3Y4TcShxHHYvPy",3,205120,"Christmas In Herald Square","My Favorite Things: Christmas Songs","F major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","1Ls3IQbWcXIkMV6sBzpUVl",2021,0.569,0.331,-13.718,0.0354,0.942,5.11e-06,0.0912,0.693,63.109,"70ml5kyiVcq1lpj7kRJYCS",4,131760,"I Love The Winter Weather","My Favorite Things: Christmas Songs","A# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","1Ls3IQbWcXIkMV6sBzpUVl",2021,0.156,0.228,-12.087,0.0338,0.945,0.000208,0.38,0.0718,78.349,"319GCytVLcOt9bDepSXqjr",3,256560,"What Child is This","My Favorite Things: Christmas Songs","E minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","5jtm2pBwL956uKLwdqn8F7",2021,0.49,0.33,-15.975,0.0356,0.91,1.47e-05,0.525,0.573,70.2,"2cZc03BXUxgUeyX7PiFTMi",4,158394,"On The Road To Mandalay","I've Grown Accustomed To Her Face","C# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","5jtm2pBwL956uKLwdqn8F7",2021,0.406,0.211,-17.197,0.0336,0.97,0.022,0.649,0.29,102.21,"5deTSEtLvSv3yXvaZuLCRt",3,120579,"None But The Lonely Heart","I've Grown Accustomed To Her Face","C# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","5jtm2pBwL956uKLwdqn8F7",2021,0.376,0.152,-18.513,0.0318,0.91,0.0372,0.144,0.147,132.568,"0Ejn9WFXXgOKIqP6HuqnWo",4,170626,"Black Is The Color of My True Love's Hair","I've Grown Accustomed To Her Face","E major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","5jtm2pBwL956uKLwdqn8F7",2021,0.265,0.194,-16.247,0.03,0.976,2.7e-05,0.093,0.186,86.868,"1RYeeACRdk7ZaNles6jACr",3,140210,"Because You Come To Me","I've Grown Accustomed To Her Face","C# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","5jtm2pBwL956uKLwdqn8F7",2021,0.394,0.147,-20.615,0.0509,0.964,8.62e-05,0.272,0.443,73.865,"414rPfEGOTZHzR1KXSdEDY",1,107885,"Oh Marie","I've Grown Accustomed To Her Face","B major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","5jtm2pBwL956uKLwdqn8F7",2021,0.286,0.0379,-19.334,0.0329,0.987,7.67e-05,0.322,0.147,90.508,"6ggx1PHvrLCrdN2j43y6pS",3,170341,"When You Were Sweet Sixteen","I've Grown Accustomed To Her Face","B major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.546,0.244,-12.515,0.0435,0.885,9.21e-05,0.108,0.412,77.248,"4tqGZzY8YmngfaTqUAHENj",4,170186,"'S Wonderful","Love Is Here To Stay","G minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.671,0.262,-11.473,0.0388,0.879,1.88e-06,0.0957,0.233,114.461,"2BFogvYT7o55N6O63Tw9Ca",4,168680,"My One And Only","Love Is Here To Stay","F minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.52,0.0503,-14.661,0.0433,0.976,1.22e-06,0.123,0.296,105.371,"07vtuaY3Ym8jf76SJ8g7ar",3,185306,"But Not For Me","Love Is Here To Stay","F major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.608,0.291,-10.985,0.0344,0.891,7.7e-06,0.105,0.335,76.793,"6AOCmYjIuD10F5US5recGt",3,220320,"Somebody Loves Me","Love Is Here To Stay","G major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.608,0.196,-12.742,0.0352,0.921,0.000511,0.079,0.299,96.57,"4WYNqpf8OrO5jSMCjF69DO",4,173293,"Do It Again","Love Is Here To Stay","G# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.401,0.131,-12.738,0.0427,0.941,6.02e-06,0.112,0.144,173.272,"4trf04VhWM65NVBCFkpf1N",3,238573,"I’ve Got A Crush On You","Love Is Here To Stay","G minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.615,0.477,-9.554,0.0803,0.835,1.91e-06,0.0669,0.454,91.549,"1akmnuuKbBYmzz0Aej9SCb",4,161373,"Fascinating Rhythm","Love Is Here To Stay","G minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","7dj3N9Ue8kXeMjXyxesD2t",2018,0.668,0.148,-12.412,0.0382,0.937,1.52e-05,0.0878,0.147,99.53,"0F73NxI5rMBio3hk9HGPLp",4,203520,"They Can’t Take That Away From Me","Love Is Here To Stay","B major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.0728,0.412,-6.251,0.037,0.908,0.000429,0.943,0.0615,75.099,"2THkowLoyxEYu2NP3Nuffx",4,321840,"Ave María","Tony Bennett Celebrates 90","A# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.299,0.49,-7.584,0.0354,0.765,0,0.961,0.226,92.82,"3YZm03QPfnkCiYe4r1pHJr",3,250973,"The Very Thought of You / If I Ruled the World","Tony Bennett Celebrates 90","F major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.461,0.67,-7.733,0.0594,0.783,0,0.862,0.401,156.888,"6SgwnPHYN0vMUAiDSs1jyo",4,211453,"I've Got the World on a String","Tony Bennett Celebrates 90","F major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.369,0.764,-5.679,0.0627,0.64,9.46e-06,0.976,0.315,111.015,"1CZ0JP3v4x1k1Kjrvvd0xa",4,400453,"New York State of Mind","Tony Bennett Celebrates 90","F minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.311,0.329,-8.753,0.0359,0.779,4.04e-05,0.979,0.0931,51.346,"3seDctdI8WJlgbCzoCCIgh",4,389013,"I Can't Give You Anything but Love","Tony Bennett Celebrates 90","G# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.311,0.549,-6.458,0.0421,0.835,0.000186,0.698,0.264,123.848,"06OKft5I9gHLbW59Vp9F7k",4,262893,"Visions","Tony Bennett Celebrates 90","F# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.329,0.376,-7.203,0.047,0.792,0,0.961,0.304,120.052,"2ZiOaloJIe7VoAmreG5PNn",4,233853,"La Vie en Rose","Tony Bennett Celebrates 90","G# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.326,0.497,-6.101,0.0345,0.689,0,0.892,0.274,135.608,"1Rbdbumw7guL6Ufps9fdgP",4,241893,"Can You Feel the Love Tonight","Tony Bennett Celebrates 90","A# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.29,0.397,-9.641,0.04,0.872,3.1e-05,0.97,0.157,117.251,"24qcfwqqVeB3nsWG6VZivI",4,267026,"How Do You Keep the Music Playing?","Tony Bennett Celebrates 90","C minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","3fznq3g09X53pgwKg57KbJ",2016,0.574,0.88,-4.505,0.131,0.444,0,0.948,0.425,102.369,"7hPSdNcHSlApg3Vcf0Xh1k",4,193306,"Happy Birthday","Tony Bennett Celebrates 90","F major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.408,0.108,-14.64,0.0352,0.986,0.000391,0.107,0.125,135.148,"7dW9KIZvcQJnjQb3vy5Q6i",4,277226,"All The Things You Are","The Silver Lining - The Songs of Jerome Kern","A# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.653,0.279,-14.027,0.0645,0.925,1.52e-05,0.0802,0.469,122.646,"7GZpalxau5lZSYcak44jCy",4,175200,"Pick Yourself Up","The Silver Lining - The Songs of Jerome Kern","D major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.487,0.0614,-18.583,0.0533,0.986,0.000116,0.184,0.0726,66.492,"4smqLYAVeFO8dWwnmjTh2S",4,204373,"The Last Time I Saw Paris","The Silver Lining - The Songs of Jerome Kern","F minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.415,0.145,-15.605,0.0416,0.992,0.00207,0.141,0.182,165.96,"7p9j0o49OWgpREjjh6HC67",3,203693,"Long Ago and Far Away","The Silver Lining - The Songs of Jerome Kern","F# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.494,0.193,-15.96,0.0334,0.862,4.74e-05,0.106,0.355,116.402,"78DsZoo5sQqvUjJgfIYmF8",4,209040,"Dearly Beloved","The Silver Lining - The Songs of Jerome Kern","C# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.423,0.187,-15.908,0.0523,0.987,0.00363,0.113,0.204,173.051,"5BjoJMWI7iFCfF1zzz2OXw",3,235026,"The Song Is You","The Silver Lining - The Songs of Jerome Kern","A# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.383,0.0633,-19.479,0.0342,0.942,0.000234,0.159,0.0999,110.177,"5o9b6YWpn5HMkwztrbYwL8",4,289893,"They Didn't Believe Me","The Silver Lining - The Songs of Jerome Kern","G major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.567,0.135,-16.907,0.0356,0.92,0.000296,0.111,0.338,118.27,"2As1T5E8WGrsa2somOctqh",4,165653,"I'm Old Fashioned","The Silver Lining - The Songs of Jerome Kern","C minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.702,0.148,-13.591,0.0413,0.992,0.000296,0.106,0.4,124.144,"0VcEO2RfyYc1fF3w6IZ53o",4,138773,"Make Believe","The Silver Lining - The Songs of Jerome Kern","A# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","6HT89sSe135gyyxJhaLs2m",2015,0.381,0.132,-15.029,0.0433,0.987,0.00145,0.213,0.128,168.405,"7aNS9QCpBCDMZfdUPZFNvG",3,156320,"Look For the Silver Lining","The Silver Lining - The Songs of Jerome Kern","A# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","2VX9rp6NAC19TQN4IgkmYu",2014,0.569,0.423,-8.453,0.0861,0.838,0,0.144,0.514,93.956,"0UuRIovHyU6KeTzY4gS0L2",4,170546,"Cheek To Cheek","Cheek To Cheek (Deluxe)","C major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","2VX9rp6NAC19TQN4IgkmYu",2014,0.294,0.253,-11.134,0.028,0.949,0.00689,0.0883,0.289,92.385,"7sYJdgkkdcjN1Zr5Rgbpl8",4,248426,"Nature Boy","Cheek To Cheek (Deluxe)","A# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","2VX9rp6NAC19TQN4IgkmYu",2014,0.474,0.671,-8.264,0.187,0.701,0,0.226,0.515,195.656,"27I0k8fvpCDwY9A0uxqqd0",4,131826,"Goody Goody","Cheek To Cheek (Deluxe)","G major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","2VX9rp6NAC19TQN4IgkmYu",2014,0.401,0.129,-13.324,0.0324,0.963,4.93e-06,0.12,0.187,87.503,"25tzJjzIw1u2kntCVTJEzC",3,190293,"Ev'ry Time We Say Goodbye","Cheek To Cheek (Deluxe)","G major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","2VX9rp6NAC19TQN4IgkmYu",2014,0.537,0.496,-6.75,0.0563,0.733,1.8e-06,0.128,0.696,128.707,"4Sps76IJpIyyZqRTj7HCEi",4,236720,"I Won't Dance","Cheek To Cheek (Deluxe)","D# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","2VX9rp6NAC19TQN4IgkmYu",2014,0.273,0.169,-10.39,0.0361,0.93,0,0.112,0.115,81.268,"0i6JF8OHlrX1Rxe13GbDnC",3,254693,"Lush Life","Cheek To Cheek (Deluxe)","D# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","56uP6C9dDe31eLwhpfgIWT",2014,0.589,0.435,-8.443,0.0786,0.818,0,0.141,0.539,94.06,"6gmmK1JQf938kdVnOmZxic",4,170573,"Cheek To Cheek","Cheek To Cheek","C major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","56uP6C9dDe31eLwhpfgIWT",2014,0.294,0.261,-11.211,0.0301,0.946,0.00955,0.0941,0.288,135.362,"4JzNci7xUgC8YNLILyjxwa",4,248506,"Nature Boy","Cheek To Cheek","A# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","56uP6C9dDe31eLwhpfgIWT",2014,0.569,0.488,-6.772,0.0477,0.709,1.74e-06,0.0948,0.656,127.744,"0rRbRGzCQVJGkxcDH4xfGo",4,236680,"I Won't Dance","Cheek To Cheek","D# major"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","56uP6C9dDe31eLwhpfgIWT",2014,0.281,0.163,-10.529,0.0382,0.933,0,0.111,0.122,171.755,"16Y1cbao1j4kqnl6eksn1I",1,254706,"Lush Life","Cheek To Cheek","D# minor"
"Tony Bennett","2lolQgalUvZDfp5vvVtTYV","4bePJNQoFZ2FhPHgBPmvbv",2012,0.617,0.524,-6.363,0.0363,0.464,0,0.133,0.367,131.965,"6gRcWLdV2kDoClFaUchTk5",3,218013,"The Best Is Yet to Come (with Chayanne)","Viva Duets","C# major"
